State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Alabama,AL,1,1975,,100,49.75,36.11
Alabama,AL,1,1976,6.68,106.68,53.07,38.52
Alabama,AL,1,1977,10.04,117.39,58.4,42.39
Alabama,AL,1,1978,8.32,127.17,63.26,45.92
Alabama,AL,1,1979,10.7,140.77,70.03,50.83
Alabama,AL,1,1980,4.8,147.52,73.39,53.27
Alabama,AL,1,1981,4.39,153.99,76.61,55.6
Alabama,AL,1,1982,-0.12,153.8,76.52,55.53
Alabama,AL,1,1983,5.04,161.56,80.37,58.33
Alabama,AL,1,1984,5.31,170.13,84.64,61.43
Alabama,AL,1,1985,2.73,174.78,86.95,63.11
Alabama,AL,1,1986,4.73,183.05,91.06,66.09
Alabama,AL,1,1987,3.62,189.67,94.36,68.48
Alabama,AL,1,1988,2.47,194.35,96.69,70.18
Alabama,AL,1,1989,1.68,197.63,98.32,71.36
Alabama,AL,1,1990,1.71,201.01,100,72.58
Alabama,AL,1,1991,2.39,205.81,102.39,74.31
Alabama,AL,1,1992,2.78,211.54,105.24,76.38
Alabama,AL,1,1993,3.32,218.56,108.73,78.92
Alabama,AL,1,1994,3.35,225.89,112.38,81.56
Alabama,AL,1,1995,4.19,235.37,117.09,84.98
Alabama,AL,1,1996,3.33,243.2,120.99,87.81
Alabama,AL,1,1997,3.75,252.31,125.52,91.1
Alabama,AL,1,1998,3.8,261.89,130.29,94.56
Alabama,AL,1,1999,2.5,268.45,133.55,96.93
Alabama,AL,1,2000,3.17,276.96,137.78,100
Alabama,AL,1,2001,4.21,288.61,143.58,104.21
Alabama,AL,1,2002,2.17,294.88,146.7,106.47
Alabama,AL,1,2003,2.32,301.72,150.1,108.94
Alabama,AL,1,2004,3.26,311.55,155,112.49
Alabama,AL,1,2005,6.65,332.28,165.31,119.98
Alabama,AL,1,2006,7.75,358.03,178.12,129.27
Alabama,AL,1,2007,4.1,372.71,185.42,134.57
Alabama,AL,1,2008,0.83,375.81,186.96,135.69
Alabama,AL,1,2009,-2.26,367.3,182.73,132.62
Alabama,AL,1,2010,-4.29,351.54,174.89,126.93
Alabama,AL,1,2011,-3.38,339.65,168.97,122.63
Alabama,AL,1,2012,-1.48,334.6,166.46,120.81
Alabama,AL,1,2013,-0.57,332.68,165.51,120.12
Alabama,AL,1,2014,1.39,337.31,167.81,121.79
Alabama,AL,1,2015,2.27,344.96,171.62,124.55
Alabama,AL,1,2016,2.67,354.16,176.19,127.88
Alabama,AL,1,2017,3.13,365.24,181.71,131.88
Alabama,AL,1,2018,4.45,381.48,189.78,137.74
Alabama,AL,1,2019,4.49,398.62,198.31,143.93
Alabama,AL,1,2020,3.98,414.49,206.21,149.66
Alabama,AL,1,2021,10.35,457.4,227.55,165.15
Alabama,AL,1,2022,15.55,528.53,262.94,190.83
Alaska,AK,2,1975,,100,57.41,38.07
Alaska,AK,2,1976,9.12,109.12,62.65,41.54
Alaska,AK,2,1977,8.57,118.46,68.01,45.1
Alaska,AK,2,1978,10.03,130.35,74.83,49.63
Alaska,AK,2,1979,11.12,144.84,83.16,55.15
Alaska,AK,2,1980,-5.71,136.57,78.41,52
Alaska,AK,2,1981,21.22,165.55,95.05,63.03
Alaska,AK,2,1982,24.95,206.85,118.76,78.76
Alaska,AK,2,1983,5.9,219.06,125.77,83.4
Alaska,AK,2,1984,7,234.39,134.57,89.24
Alaska,AK,2,1985,-5.45,221.62,127.24,84.38
Alaska,AK,2,1986,-3.75,213.3,122.46,81.21
Alaska,AK,2,1987,-15.36,180.53,103.65,68.74
Alaska,AK,2,1988,6.32,191.94,110.2,73.08
Alaska,AK,2,1989,-10.09,172.58,99.08,65.71
Alaska,AK,2,1990,0.93,174.18,100,66.32
Alaska,AK,2,1991,12.93,196.69,112.93,74.89
Alaska,AK,2,1992,3.75,204.06,117.16,77.69
Alaska,AK,2,1993,1.52,207.17,118.94,78.88
Alaska,AK,2,1994,4.11,215.68,123.83,82.12
Alaska,AK,2,1995,4.81,226.05,129.78,86.07
Alaska,AK,2,1996,3.96,234.99,134.92,89.47
Alaska,AK,2,1997,2.92,241.86,138.86,92.08
Alaska,AK,2,1998,2.52,247.94,142.35,94.4
Alaska,AK,2,1999,3.69,257.1,147.61,97.89
Alaska,AK,2,2000,2.16,262.65,150.79,100
Alaska,AK,2,2001,5.06,275.95,158.43,105.06
Alaska,AK,2,2002,4.57,288.56,165.67,109.86
Alaska,AK,2,2003,3.33,298.15,171.18,113.52
Alaska,AK,2,2004,10.16,328.44,188.57,125.05
Alaska,AK,2,2005,12.62,369.9,212.37,140.83
Alaska,AK,2,2006,9.97,406.79,233.55,154.88
Alaska,AK,2,2007,3.33,420.33,241.32,160.04
Alaska,AK,2,2008,-0.26,419.23,240.69,159.61
Alaska,AK,2,2009,-1.24,414.03,237.7,157.63
Alaska,AK,2,2010,-0.44,412.19,236.65,156.93
Alaska,AK,2,2011,0.5,414.24,237.82,157.71
Alaska,AK,2,2012,0.19,415.01,238.27,158.01
Alaska,AK,2,2013,2.64,425.95,244.55,162.17
Alaska,AK,2,2014,2.49,436.57,250.65,166.22
Alaska,AK,2,2015,3.18,450.47,258.63,171.51
Alaska,AK,2,2016,1.86,458.83,263.42,174.69
Alaska,AK,2,2017,1.32,464.88,266.9,177
Alaska,AK,2,2018,1.4,471.38,270.63,179.47
Alaska,AK,2,2019,2.16,481.54,276.46,183.34
Alaska,AK,2,2020,2.35,492.85,282.96,187.65
Alaska,AK,2,2021,6.67,525.71,301.82,200.16
Alaska,AK,2,2022,12,588.78,338.03,224.17
Arizona,AZ,4,1975,,100,44.12,29.41
Arizona,AZ,4,1976,4.09,104.09,45.93,30.61
Arizona,AZ,4,1977,8.01,112.43,49.61,33.06
Arizona,AZ,4,1978,15.24,129.56,57.16,38.1
Arizona,AZ,4,1979,22.18,158.3,69.84,46.55
Arizona,AZ,4,1980,11.65,176.74,77.98,51.98
Arizona,AZ,4,1981,8.05,190.96,84.25,56.16
Arizona,AZ,4,1982,-4.74,181.91,80.26,53.5
Arizona,AZ,4,1983,10.25,200.55,88.48,58.98
Arizona,AZ,4,1984,4.38,209.34,92.36,61.56
Arizona,AZ,4,1985,3.44,216.55,95.54,63.68
Arizona,AZ,4,1986,5.45,228.36,100.76,67.16
Arizona,AZ,4,1987,1.04,230.75,101.81,67.86
Arizona,AZ,4,1988,-0.9,228.66,100.89,67.25
Arizona,AZ,4,1989,-0.52,227.47,100.36,66.9
Arizona,AZ,4,1990,-0.36,226.65,100,66.65
Arizona,AZ,4,1991,2.17,231.56,102.17,68.1
Arizona,AZ,4,1992,2.22,236.7,104.44,69.61
Arizona,AZ,4,1993,2.02,241.49,106.55,71.02
Arizona,AZ,4,1994,4.66,252.75,111.52,74.33
Arizona,AZ,4,1995,6.63,269.5,118.91,79.26
Arizona,AZ,4,1996,4.14,280.65,123.83,82.54
Arizona,AZ,4,1997,4.18,292.39,129,85.99
Arizona,AZ,4,1998,4.51,305.57,134.82,89.86
Arizona,AZ,4,1999,4.1,318.09,140.34,93.55
Arizona,AZ,4,2000,6.9,340.04,150.03,100
Arizona,AZ,4,2001,6.17,361.02,159.29,106.17
Arizona,AZ,4,2002,5.11,379.46,167.42,111.59
Arizona,AZ,4,2003,4.08,394.96,174.26,116.15
Arizona,AZ,4,2004,11.48,440.31,194.27,129.49
Arizona,AZ,4,2005,30.1,572.83,252.74,168.46
Arizona,AZ,4,2006,17.76,674.53,297.61,198.37
Arizona,AZ,4,2007,-0.6,670.48,295.82,197.18
Arizona,AZ,4,2008,-12.04,589.77,260.21,173.44
Arizona,AZ,4,2009,-18.5,480.64,212.06,141.35
Arizona,AZ,4,2010,-13.06,417.85,184.36,122.88
Arizona,AZ,4,2011,-10.15,375.46,165.66,110.42
Arizona,AZ,4,2012,4.32,391.66,172.8,115.18
Arizona,AZ,4,2013,11.79,437.82,193.17,128.76
Arizona,AZ,4,2014,10.08,481.97,212.65,141.74
Arizona,AZ,4,2015,5.59,508.89,224.53,149.66
Arizona,AZ,4,2016,7.08,544.91,240.42,160.25
Arizona,AZ,4,2017,7.4,585.21,258.2,172.1
Arizona,AZ,4,2018,7.72,630.4,278.14,185.39
Arizona,AZ,4,2019,6.93,674.06,297.4,198.23
Arizona,AZ,4,2020,6.75,719.59,317.49,211.62
Arizona,AZ,4,2021,18.3,851.27,375.59,250.35
Arizona,AZ,4,2022,20.38,1024.78,452.15,301.38
Arkansas,AR,5,1975,,100,49.62,36.09
Arkansas,AR,5,1976,9.87,109.87,54.52,39.65
Arkansas,AR,5,1977,11.31,122.3,60.68,44.14
