observation_date,CIVPART
1/1/1948,58.6
2/1/1948,58.9
3/1/1948,58.5
4/1/1948,59
5/1/1948,58.3
6/1/1948,59.2
7/1/1948,59.3
8/1/1948,58.9
9/1/1948,58.9
10/1/1948,58.7
11/1/1948,58.7
12/1/1948,59.1
1/1/1949,58.7
2/1/1949,59
3/1/1949,58.9
4/1/1949,58.8
5/1/1949,59
6/1/1949,58.6
7/1/1949,58.9
8/1/1949,59.2
9/1/1949,59.1
10/1/1949,59.6
11/1/1949,59.4
12/1/1949,59.2
1/1/1950,58.9
2/1/1950,58.9
3/1/1950,58.8
4/1/1950,59.2
5/1/1950,59.1
6/1/1950,59.4
7/1/1950,59.1
8/1/1950,59.5
9/1/1950,59.2
10/1/1950,59.4
11/1/1950,59.3
12/1/1950,59.2
1/1/1951,59.1
2/1/1951,59.1
3/1/1951,59.8
4/1/1951,59.1
5/1/1951,59.4
6/1/1951,59
7/1/1951,59.4
8/1/1951,59.2
9/1/1951,59.1
10/1/1951,59.4
11/1/1951,59.2
12/1/1951,59.6
1/1/1952,59.5
2/1/1952,59.5
3/1/1952,58.9
4/1/1952,58.8
5/1/1952,59.1
6/1/1952,59.1
7/1/1952,58.9
8/1/1952,58.7
9/1/1952,59.2
10/1/1952,58.7
11/1/1952,59.1
12/1/1952,59.2
1/1/1953,59.5
2/1/1953,59.5
3/1/1953,59.6
4/1/1953,59.1
5/1/1953,58.6
6/1/1953,58.9
7/1/1953,58.9
8/1/1953,58.6
9/1/1953,58.5
10/1/1953,58.5
11/1/1953,58.6
12/1/1953,58.3
1/1/1954,58.6
2/1/1954,59.3
3/1/1954,59.1
4/1/1954,59.2
5/1/1954,58.9
6/1/1954,58.5
7/1/1954,58.4
8/1/1954,58.7
9/1/1954,59.2
10/1/1954,58.8
11/1/1954,58.6
12/1/1954,58.1
1/1/1955,58.6
2/1/1955,58.4
3/1/1955,58.5
4/1/1955,59
5/1/1955,58.8
6/1/1955,58.8
7/1/1955,59.3
8/1/1955,59.7
9/1/1955,59.7
10/1/1955,59.8
11/1/1955,59.9
12/1/1955,60.2
1/1/1956,60.2
2/1/1956,59.9
3/1/1956,59.8
4/1/1956,59.9
5/1/1956,60.2
6/1/1956,60.1
7/1/1956,60.1
8/1/1956,60
9/1/1956,60
10/1/1956,59.8
11/1/1956,59.8
12/1/1956,59.8
1/1/1957,59.5
2/1/1957,59.9
3/1/1957,59.8
4/1/1957,59.5
5/1/1957,59.5
6/1/1957,59.8
7/1/1957,60
8/1/1957,59.3
9/1/1957,59.6
10/1/1957,59.5
11/1/1957,59.5
12/1/1957,59.6
1/1/1958,59.3
2/1/1958,59.3
3/1/1958,59.3
4/1/1958,59.6
5/1/1958,59.8
6/1/1958,59.5
7/1/1958,59.6
8/1/1958,59.8
9/1/1958,59.7
10/1/1958,59.6
11/1/1958,59.2
12/1/1958,59.2
1/1/1959,59.3
2/1/1959,59
