observation_date,CUSR0000SEHA
1/1/1981,84.7
2/1/1981,85.2
3/1/1981,85.9
4/1/1981,86.5
5/1/1981,87.1
6/1/1981,87.6
7/1/1981,87.9
8/1/1981,88.8
9/1/1981,89.5
10/1/1981,90
11/1/1981,90.6
12/1/1981,91.3
1/1/1982,91.9
2/1/1982,92.3
3/1/1982,92.9
4/1/1982,93.2
5/1/1982,93.8
6/1/1982,94.3
7/1/1982,95
8/1/1982,95.5
9/1/1982,95.7
10/1/1982,96.5
11/1/1982,97
12/1/1982,97.4
1/1/1983,98
2/1/1983,98.5
3/1/1983,98.8
4/1/1983,99.3
5/1/1983,99.5
6/1/1983,99.9
7/1/1983,100.2
8/1/1983,100.6
9/1/1983,101.1
10/1/1983,101.3
11/1/1983,101.7
12/1/1983,102.1
1/1/1984,102.5
2/1/1984,102.9
3/1/1984,103.5
4/1/1984,104.3
5/1/1984,104.6
6/1/1984,105.1
7/1/1984,105.6
8/1/1984,106.1
9/1/1984,106.5
10/1/1984,107
11/1/1984,107.4
12/1/1984,108.1
1/1/1985,108.5
2/1/1985,109.2
3/1/1985,109.7
4/1/1985,110.2
5/1/1985,111
6/1/1985,111.6
7/1/1985,112
8/1/1985,112.6
9/1/1985,113
10/1/1985,113.8
11/1/1985,114.6
12/1/1985,115
1/1/1986,115.4
2/1/1986,115.6
3/1/1986,116.4
4/1/1986,117.6
5/1/1986,117.8
6/1/1986,118.2
7/1/1986,118.9
8/1/1986,119
9/1/1986,119.4
10/1/1986,120
11/1/1986,120.4
12/1/1986,120.7
1/1/1987,121.2
2/1/1987,121.6
3/1/1987,122
4/1/1987,122.2
5/1/1987,122.5
6/1/1987,122.5
7/1/1987,123
8/1/1987,123.8
9/1/1987,124.2
10/1/1987,124.6
11/1/1987,124.6
12/1/1987,125.5
1/1/1988,125.9
2/1/1988,126.2
3/1/1988,126.6
4/1/1988,126.9
5/1/1988,127.2
6/1/1988,127.6
7/1/1988,127.9
8/1/1988,128.4
9/1/1988,128.9
10/1/1988,129.1
11/1/1988,129.5
12/1/1988,129.9
1/1/1989,130.4
2/1/1989,130.9
3/1/1989,131.2
4/1/1989,131.6
5/1/1989,132
6/1/1989,132.6
7/1/1989,133
8/1/1989,133.5
9/1/1989,133.7
10/1/1989,134.4
11/1/1989,135
12/1/1989,135.3
1/1/1990,135.8
2/1/1990,136.1
3/1/1990,136.7
4/1/1990,137.2
5/1/1990,137.6
6/1/1990,138.2
7/1/1990,138.7
8/1/1990,139.3
9/1/1990,139.7
10/1/1990,140.2
11/1/1990,140.5
12/1/1990,141
1/1/1991,141.2
2/1/1991,141.6
3/1/1991,142.1
4/1/1991,142.6
5/1/1991,143
6/1/1991,143.2
7/1/1991,143.7
8/1/1991,143.7
9/1/1991,144.4
10/1/1991,144.4
11/1/1991,144.8
12/1/1991,145.1
1/1/1992,145.4
2/1/1992,145.7
3/1/1992,146.5
4/1/1992,146.2
5/1/1992,146.5
6/1/1992,146.7
7/1/1992,147
8/1/1992,147
9/1/1992,147.1
10/1/1992,147.9
11/1/1992,148.4
12/1/1992,148.5
1/1/1993,148.9
2/1/1993,149.1
3/1/1993,149.1
4/1/1993,149.7
5/1/1993,150
6/1/1993,150.4
7/1/1993,150.4
8/1/1993,150.8
9/1/1993,151
10/1/1993,151.3
11/1/1993,151.5
12/1/1993,151.9
1/1/1994,152.2
2/1/1994,152.7
3/1/1994,153.2
4/1/1994,153.3
5/1/1994,153.4
6/1/1994,153.5
7/1/1994,154
8/1/1994,154.5
9/1/1994,155
10/1/1994,155.1
11/1/1994,155.5
12/1/1994,155.7
1/1/1995,156.1
2/1/1995,156.3
3/1/1995,156.6
4/1/1995,157
5/1/1995,157.3
6/1/1995,157.6
7/1/1995,158
8/1/1995,158.2
9/1/1995,158.5
10/1/1995,158.8
11/1/1995,159.2
12/1/1995,159.6
1/1/1996,159.9
2/1/1996,160.3
3/1/1996,160.6
4/1/1996,160.9
5/1/1996,161.3
6/1/1996,161.8
7/1/1996,162.3
8/1/1996,162.5
9/1/1996,162.9
10/1/1996,163.2
11/1/1996,163.6
12/1/1996,163.9
1/1/1997,164.3
2/1/1997,164.7
3/1/1997,165.1
4/1/1997,165.6
5/1/1997,166
6/1/1997,166.5
7/1/1997,166.9
8/1/1997,167.3
9/1/1997,167.8
10/1/1997,168.2
11/1/1997,168.6
12/1/1997,169
1/1/1998,169.4
2/1/1998,169.8
3/1/1998,170.3
4/1/1998,170.8
