observation_date,RRVRUSQ156N
1/1/1956,6.2
4/1/1956,5.9
7/1/1956,6.3
10/1/1956,5.8
1/1/1957,5.3
4/1/1957,5.3
7/1/1957,5.7
10/1/1957,5.8
1/1/1958,6.3
4/1/1958,6.5
7/1/1958,6.3
10/1/1958,6.6
1/1/1959,6.8
4/1/1959,7.3
7/1/1959,7.2
10/1/1959,7
1/1/1960,8
4/1/1960,8
7/1/1960,8.3
10/1/1960,8.4
1/1/1961,8.9
4/1/1961,8.8
7/1/1961,8.6
10/1/1961,8.5
1/1/1962,8.5
4/1/1962,8.1
7/1/1962,8
10/1/1962,8.1
1/1/1963,8
4/1/1963,8.2
7/1/1963,8.3
10/1/1963,8.3
1/1/1964,8.1
4/1/1964,8.1
7/1/1964,8.4
10/1/1964,8.3
1/1/1965,8.5
4/1/1965,8.2
7/1/1965,7.8
10/1/1965,8.5
1/1/1966,8.3
4/1/1966,7.4
7/1/1966,7.4
10/1/1966,7.7
1/1/1967,7.3
4/1/1967,6.9
7/1/1967,7
10/1/1967,6.2
1/1/1968,6.1
4/1/1968,6.2
7/1/1968,5.9
10/1/1968,5.4
1/1/1969,5.6
4/1/1969,5.7
7/1/1969,5.5
10/1/1969,5.1
1/1/1970,5.4
4/1/1970,5.4
7/1/1970,5.3
10/1/1970,5.2
1/1/1971,5.3
4/1/1971,5.3
7/1/1971,5.6
10/1/1971,5.6
1/1/1972,5.3
4/1/1972,5.5
7/1/1972,5.8
10/1/1972,5.6
1/1/1973,5.7
4/1/1973,5.8
7/1/1973,5.8
10/1/1973,5.8
1/1/1974,6.2
4/1/1974,6.3
7/1/1974,6.2
10/1/1974,6
1/1/1975,6.1
4/1/1975,6.3
7/1/1975,6.2
10/1/1975,5.4
1/1/1976,5.5
4/1/1976,5.8
7/1/1976,5.7
10/1/1976,5.3
1/1/1977,5.1
4/1/1977,5.3
7/1/1977,5.4
10/1/1977,5.1
1/1/1978,5
4/1/1978,5.1
7/1/1978,5
10/1/1978,5
1/1/1979,5.1
4/1/1979,5.5
7/1/1979,5.7
10/1/1979,5.4
1/1/1980,5.2
4/1/1980,5.6
7/1/1980,5.7
10/1/1980,5
1/1/1981,5.2
4/1/1981,5
7/1/1981,5
10/1/1981,5
1/1/1982,5.3
4/1/1982,5.1
7/1/1982,5.3
10/1/1982,5.5
1/1/1983,5.7
4/1/1983,5.5
7/1/1983,5.8
10/1/1983,5.5
1/1/1984,5.6
4/1/1984,5.5
7/1/1984,6
10/1/1984,6.3
1/1/1985,6.3
