DATE,AKSTHPI
1975-01-01,62.05
1975-04-01,63.94
1975-07-01,68.16
1975-10-01,68.24
1976-01-01,71.34
1976-04-01,71.54
1976-07-01,77.47
1976-10-01,74.0
1977-01-01,78.24
1977-04-01,76.89
1977-07-01,78.54
1977-10-01,79.39
1978-01-01,81.58
1978-04-01,86.0
1978-07-01,87.67
1978-10-01,87.04
1979-01-01,89.0
1979-04-01,98.75
1979-07-01,96.42
1979-10-01,95.45
1980-01-01,100.00
1980-04-01,82.81
1980-07-01,73.76
1980-10-01,94.67
1981-01-01,89.45
1981-04-01,108.45
1981-07-01,116.28
1981-10-01,129.04
1982-01-01,136.17
1982-04-01,130.95
1982-07-01,140.71
1982-10-01,136.75
1983-01-01,138.72
1983-04-01,140.03
1983-07-01,146.51
1983-10-01,145.91
1984-01-01,149.87
1984-04-01,147.69
1984-07-01,154.28
1984-10-01,152.29
1985-01-01,144.52
1985-04-01,145.13
1985-07-01,145.71
1985-10-01,141.57
1986-01-01,142.53
1986-04-01,144.91
1986-07-01,140.31
1986-10-01,137.0
1987-01-01,133.57
1987-04-01,124.14
1987-07-01,115.93
1987-10-01,104.98
1988-01-01,120.74
1988-04-01,115.15
1988-07-01,126.22
1988-10-01,131.93
1989-01-01,128.47
1989-04-01,104.24
1989-07-01,104.01
1989-10-01,102.03
1990-01-01,98.67
1990-04-01,112.35
1990-07-01,121.81
1990-10-01,119.91
1991-01-01,124.09
1991-04-01,127.19
1991-07-01,131.11
1991-10-01,131.24
1992-01-01,133.08
1992-04-01,134.29
1992-07-01,134.97
1992-10-01,135.47
1993-01-01,135.33
1993-04-01,135.87
1993-07-01,138.31
1993-10-01,139.11
1994-01-01,140.25
1994-04-01,143.49
1994-07-01,145.33
1994-10-01,144.38
1995-01-01,146.62
1995-04-01,149.15
1995-07-01,150.64
1995-10-01,151.16
1996-01-01,153.52
1996-04-01,156.02
1996-07-01,156.5
1996-10-01,158.53
1997-01-01,158.35
1997-04-01,159.71
1997-07-01,160.95
1997-10-01,163.04
1998-01-01,162.8
1998-04-01,165.51
1998-07-01,167.05
1998-10-01,166.81
1999-01-01,168.71
1999-04-01,172.35
1999-07-01,172.02
1999-10-01,172.07
2000-01-01,171.88
2000-04-01,174.23
2000-07-01,175.21
2000-10-01,175.65
2001-01-01,178.78
2001-04-01,182.48
2001-07-01,185.04
2001-10-01,185.43
2002-01-01,188.27
2002-04-01,193.7
2002-07-01,194.95
2002-10-01,194.5
2003-01-01,195.79
2003-04-01,198.91
2003-07-01,203.43
2003-10-01,211.41
2004-01-01,212.68
2004-04-01,217.79
2004-07-01,229.09
2004-10-01,231.46
2005-01-01,237.26
2005-04-01,246.0
2005-07-01,254.89
2005-10-01,262.66
2006-01-01,267.0
2006-04-01,273.42
2006-07-01,278.7
2006-10-01,280.26
2007-01-01,284.14
2007-04-01,286.96
2007-07-01,285.97
2007-10-01,285.4
2008-01-01,285.25
2008-04-01,285.73
2008-07-01,282.17
2008-10-01,284.62
2009-01-01,285.34
2009-04-01,282.54
2009-07-01,281.32
2009-10-01,282.75
2010-01-01,278.48
2010-04-01,280.89
2010-07-01,282.71
2010-10-01,283.41
2011-01-01,283.27
2011-04-01,282.58
2011-07-01,283.54
2011-10-01,285.53
2012-01-01,283.59
2012-04-01,282.67
2012-07-01,285.79
2012-10-01,287.99
2013-01-01,291.2
2013-04-01,291.95
2013-07-01,294.72
2013-10-01,296.1
2014-01-01,293.34
2014-04-01,299.35
2014-07-01,303.11
2014-10-01,302.16
2015-01-01,304.94
2015-04-01,308.19
2015-07-01,312.03
2015-10-01,312.73
2016-01-01,313.36
2016-04-01,315.59
2016-07-01,317.49
2016-10-01,315.39
2017-01-01,316.99
2017-04-01,317.86
2017-07-01,321.43
2017-10-01,321.68
2018-01-01,321.09
2018-04-01,323.36
2018-07-01,323.5
2018-10-01,323.0
2019-01-01,325.96
2019-04-01,329.89
2019-07-01,332.4
2019-10-01,332.19
2020-01-01,335.86
2020-04-01,339.15
2020-07-01,343.25
2020-10-01,346.58
2021-01-01,350.08
2021-04-01,363.09
2021-07-01,380.16
2021-10-01,385.34
2022-01-01,395.66
2022-04-01,417.45
2022-07-01,421.76
2022-10-01,414.35
