DATE,ALSTHPI
1975-01-01,75.02
1975-04-01,72.22
1975-07-01,74.62
1975-10-01,71.7
1976-01-01,77.1
1976-04-01,74.22
1976-07-01,77.26
1976-10-01,79.7
1977-01-01,81.21
1977-04-01,83.69
1977-07-01,88.34
1977-10-01,89.16
1978-01-01,88.57
1978-04-01,88.53
1978-07-01,96.67
1978-10-01,96.29
1979-01-01,99.45
1979-04-01,100.18
1979-07-01,101.76
1979-10-01,107.82
1980-01-01,100.00
1980-04-01,103.0
1980-07-01,109.87
1980-10-01,108.89
1981-01-01,105.39
1981-04-01,109.01
1981-07-01,112.4
1981-10-01,106.66
1982-01-01,109.18
1982-04-01,107.02
1982-07-01,107.63
1982-10-01,115.5
1983-01-01,114.62
1983-04-01,114.44
1983-07-01,116.81
1983-10-01,113.74
1984-01-01,123.5
1984-04-01,120.17
1984-07-01,124.78
1984-10-01,121.22
1985-01-01,121.36
1985-04-01,124.59
1985-07-01,127.34
1985-10-01,128.25
1986-01-01,129.5
1986-04-01,131.86
1986-07-01,133.32
1986-10-01,135.91
1987-01-01,138.05
1987-04-01,139.1
1987-07-01,139.68
1987-10-01,138.32
1988-01-01,141.98
1988-04-01,143.03
1988-07-01,142.64
1988-10-01,141.27
1989-01-01,141.48
1989-04-01,143.35
1989-07-01,145.52
1989-10-01,146.59
1990-01-01,145.47
1990-04-01,146.67
1990-07-01,147.26
1990-10-01,147.42
1991-01-01,148.7
1991-04-01,150.89
1991-07-01,151.75
1991-10-01,154.2
1992-01-01,155.46
1992-04-01,155.63
1992-07-01,158.59
1992-10-01,159.94
1993-01-01,161.01
1993-04-01,162.75
1993-07-01,165.66
1993-10-01,167.11
1994-01-01,168.19
1994-04-01,170.23
1994-07-01,170.94
1994-10-01,171.09
1995-01-01,172.64
1995-04-01,176.09
1995-07-01,178.87
1995-10-01,180.23
1996-01-01,183.4
1996-04-01,183.38
1996-07-01,183.76
1996-10-01,185.89
1997-01-01,188.02
1997-04-01,189.23
1997-07-01,192.16
1997-10-01,194.65
1998-01-01,197.86
1998-04-01,199.42
1998-07-01,201.58
1998-10-01,204.09
1999-01-01,204.74
1999-04-01,205.55
1999-07-01,205.92
1999-10-01,207.56
2000-01-01,208.3
2000-04-01,210.02
2000-07-01,211.68
2000-10-01,214.38
2001-01-01,220.62
2001-04-01,221.54
2001-07-01,223.13
2001-10-01,225.66
2002-01-01,226.04
2002-04-01,227.21
2002-07-01,230.58
2002-10-01,233.25
2003-01-01,235.64
2003-04-01,237.71
2003-07-01,239.32
2003-10-01,240.9
2004-01-01,243.13
2004-04-01,244.68
2004-07-01,249.18
2004-10-01,252.88
2005-01-01,256.17
2005-04-01,262.3
2005-07-01,267.83
2005-10-01,273.29
2006-01-01,278.78
2006-04-01,283.37
2006-07-01,287.94
2006-10-01,293.45
2007-01-01,295.37
2007-04-01,299.47
2007-07-01,300.19
2007-10-01,302.49
2008-01-01,304.41
2008-04-01,303.19
2008-07-01,300.91
2008-10-01,302.47
2009-01-01,304.67
2009-04-01,301.36
2009-07-01,294.18
2009-10-01,293.28
2010-01-01,289.07
2010-04-01,284.77
2010-07-01,288.62
2010-10-01,286.2
2011-01-01,278.72
2011-04-01,274.98
2011-07-01,277.15
2011-10-01,279.28
2012-01-01,276.36
2012-04-01,274.45
2012-07-01,276.35
2012-10-01,276.85
2013-01-01,274.08
2013-04-01,274.73
2013-07-01,274.14
2013-10-01,273.09
2014-01-01,274.86
2014-04-01,275.57
2014-07-01,278.57
2014-10-01,279.93
2015-01-01,282.9
2015-04-01,283.71
2015-07-01,285.4
2015-10-01,287.31
2016-01-01,287.96
2016-04-01,292.04
2016-07-01,296.65
2016-10-01,295.67
2017-01-01,297.32
2017-04-01,300.91
2017-07-01,303.86
2017-10-01,305.73
2018-01-01,309.24
2018-04-01,313.79
2018-07-01,316.78
2018-10-01,317.5
2019-01-01,323.34
2019-04-01,327.69
2019-07-01,332.56
2019-10-01,336.41
2020-01-01,340.25
2020-04-01,345.23
2020-07-01,351.78
2020-10-01,359.14
2021-01-01,366.53
2021-04-01,383.96
2021-07-01,405.46
2021-10-01,422.28
2022-01-01,434.35
2022-04-01,461.26
2022-07-01,475.39
2022-10-01,476.45
