DATE,ARSTHPI
1975-01-01,66.58
1975-04-01,60.23
1975-07-01,64.97
1975-10-01,62.83
1976-01-01,66.86
1976-04-01,68.67
1976-07-01,71.4
1976-10-01,72.18
1977-01-01,72.79
1977-04-01,74.92
1977-07-01,78.19
1977-10-01,80.91
1978-01-01,80.8
1978-04-01,83.51
1978-07-01,86.12
1978-10-01,86.16
1979-01-01,91.64
1979-04-01,94.62
1979-07-01,99.18
1979-10-01,101.37
1980-01-01,100.00
1980-04-01,100.85
1980-07-01,106.56
1980-10-01,108.9
1981-01-01,109.62
1981-04-01,106.31
1981-07-01,108.97
1981-10-01,102.79
1982-01-01,102.55
1982-04-01,105.92
1982-07-01,110.76
1982-10-01,108.36
1983-01-01,113.0
1983-04-01,116.22
1983-07-01,117.87
1983-10-01,118.08
1984-01-01,120.37
1984-04-01,118.74
1984-07-01,119.4
1984-10-01,120.83
1985-01-01,120.96
1985-04-01,119.69
1985-07-01,123.8
1985-10-01,124.11
1986-01-01,125.38
1986-04-01,128.45
1986-07-01,126.37
1986-10-01,127.94
1987-01-01,128.9
1987-04-01,130.44
1987-07-01,127.43
1987-10-01,123.95
1988-01-01,126.27
1988-04-01,127.28
1988-07-01,126.56
1988-10-01,125.98
1989-01-01,126.94
1989-04-01,126.64
1989-07-01,127.83
1989-10-01,126.88
1990-01-01,127.57
1990-04-01,127.78
1990-07-01,128.51
1990-10-01,128.02
1991-01-01,129.29
1991-04-01,129.97
1991-07-01,131.16
1991-10-01,133.42
1992-01-01,134.48
1992-04-01,133.85
1992-07-01,136.19
1992-10-01,136.83
1993-01-01,138.03
1993-04-01,140.29
1993-07-01,142.87
1993-10-01,144.6
1994-01-01,147.38
1994-04-01,148.63
1994-07-01,150.46
1994-10-01,151.51
1995-01-01,152.3
1995-04-01,156.47
1995-07-01,158.4
1995-10-01,159.2
1996-01-01,161.53
1996-04-01,161.82
1996-07-01,161.62
1996-10-01,163.28
1997-01-01,164.8
1997-04-01,166.3
1997-07-01,167.21
1997-10-01,169.46
1998-01-01,171.27
1998-04-01,171.26
1998-07-01,174.02
1998-10-01,175.95
1999-01-01,176.74
1999-04-01,176.96
1999-07-01,177.6
1999-10-01,178.27
2000-01-01,179.13
2000-04-01,180.83
2000-07-01,181.9
2000-10-01,184.35
2001-01-01,188.99
2001-04-01,190.09
2001-07-01,192.05
2001-10-01,193.99
2002-01-01,194.73
2002-04-01,195.59
2002-07-01,198.78
2002-10-01,201.25
2003-01-01,202.77
2003-04-01,204.07
2003-07-01,206.52
2003-10-01,209.66
2004-01-01,212.29
2004-04-01,215.79
2004-07-01,219.33
2004-10-01,223.19
2005-01-01,226.32
2005-04-01,231.56
2005-07-01,236.7
2005-10-01,239.94
2006-01-01,243.45
2006-04-01,246.82
2006-07-01,249.51
2006-10-01,251.69
2007-01-01,254.0
2007-04-01,255.5
2007-07-01,255.23
2007-10-01,256.35
2008-01-01,256.11
2008-04-01,255.35
2008-07-01,252.32
2008-10-01,253.64
2009-01-01,255.85
2009-04-01,252.67
2009-07-01,248.59
2009-10-01,247.56
2010-01-01,244.22
2010-04-01,244.99
2010-07-01,245.8
2010-10-01,244.74
2011-01-01,240.83
2011-04-01,239.12
2011-07-01,241.3
2011-10-01,242.51
2012-01-01,241.92
2012-04-01,239.5
2012-07-01,242.84
2012-10-01,244.36
2013-01-01,245.06
2013-04-01,245.46
2013-07-01,246.17
2013-10-01,245.76
2014-01-01,247.15
2014-04-01,247.05
2014-07-01,249.33
2014-10-01,252.06
2015-01-01,252.17
2015-04-01,252.99
2015-07-01,256.51
2015-10-01,258.53
2016-01-01,257.2
2016-04-01,261.06
2016-07-01,263.85
2016-10-01,265.14
2017-01-01,268.07
2017-04-01,269.45
2017-07-01,272.36
2017-10-01,274.56
2018-01-01,277.34
2018-04-01,280.0
2018-07-01,282.45
2018-10-01,284.65
2019-01-01,287.06
2019-04-01,290.43
2019-07-01,293.58
2019-10-01,296.16
2020-01-01,297.96
2020-04-01,300.57
2020-07-01,305.0
2020-10-01,312.44
2021-01-01,318.0
2021-04-01,334.29
2021-07-01,352.71
2021-10-01,368.11
2022-01-01,378.74
2022-04-01,403.65
2022-07-01,417.51
2022-10-01,417.84
