DATE,AZSTHPI
1975-01-01,60.65
1975-04-01,59.9
1975-07-01,59.46
1975-10-01,56.35
1976-01-01,58.98
1976-04-01,62.85
1976-07-01,61.12
1976-10-01,61.79
1977-01-01,63.63
1977-04-01,63.91
1977-07-01,66.2
1977-10-01,70.15
1978-01-01,71.42
1978-04-01,74.14
1978-07-01,78.98
1978-10-01,83.08
1979-01-01,87.17
1979-04-01,92.61
1979-07-01,95.4
1979-10-01,98.93
1980-01-01,100.00
1980-04-01,98.35
1980-07-01,106.93
1980-10-01,107.69
1981-01-01,108.79
1981-04-01,111.91
1981-07-01,116.47
1981-10-01,109.78
1982-01-01,105.34
1982-04-01,109.12
1982-07-01,101.42
1982-10-01,108.7
1983-01-01,118.94
1983-04-01,119.08
1983-07-01,115.3
1983-10-01,112.86
1984-01-01,117.52
1984-04-01,121.75
1984-07-01,122.84
1984-10-01,122.51
1985-01-01,125.07
1985-04-01,125.52
1985-07-01,127.23
1985-10-01,128.8
1986-01-01,131.42
1986-04-01,135.37
1986-07-01,135.36
1986-10-01,132.91
1987-01-01,137.72
1987-04-01,136.64
1987-07-01,135.68
1987-10-01,133.54
1988-01-01,134.92
1988-04-01,136.12
1988-07-01,134.11
1988-10-01,134.33
1989-01-01,133.12
1989-04-01,132.6
1989-07-01,134.64
1989-10-01,133.93
1990-01-01,133.68
1990-04-01,132.89
1990-07-01,134.07
1990-10-01,132.73
1991-01-01,134.76
1991-04-01,135.73
1991-07-01,135.19
1991-10-01,139.13
1992-01-01,139.82
1992-04-01,139.55
1992-07-01,140.48
1992-10-01,141.33
1993-01-01,141.45
1993-04-01,143.17
1993-07-01,144.31
1993-10-01,146.22
1994-01-01,148.2
1994-04-01,150.34
1994-07-01,152.27
1994-10-01,153.93
1995-01-01,155.88
1995-04-01,158.73
1995-07-01,161.78
1995-10-01,163.88
1996-01-01,166.45
1996-04-01,166.78
1996-07-01,168.34
1996-10-01,169.75
1997-01-01,171.62
1997-04-01,172.5
1997-07-01,175.53
1997-10-01,178.19
1998-01-01,180.7
1998-04-01,182.21
1998-07-01,184.68
1998-10-01,186.82
1999-01-01,188.7
1999-04-01,191.11
1999-07-01,193.74
1999-10-01,195.62
2000-01-01,200.06
2000-04-01,202.25
2000-07-01,204.96
2000-10-01,208.08
2001-01-01,212.74
2001-04-01,216.02
2001-07-01,219.14
2001-10-01,221.26
2002-01-01,224.27
2002-04-01,227.25
2002-07-01,231.12
2002-10-01,233.79
2003-01-01,236.58
2003-04-01,239.04
2003-07-01,242.73
2003-10-01,250.88
2004-01-01,255.27
2004-04-01,264.39
2004-07-01,279.82
2004-10-01,291.29
2005-01-01,308.97
2005-04-01,340.81
2005-07-01,369.81
2005-10-01,395.53
2006-01-01,410.28
2006-04-01,419.0
2006-07-01,422.63
2006-10-01,426.28
2007-01-01,424.48
2007-04-01,420.85
2007-07-01,411.52
2007-10-01,404.62
2008-01-01,391.22
2008-04-01,368.64
2008-07-01,341.66
2008-10-01,329.62
2009-01-01,328.59
2009-04-01,305.13
2009-07-01,289.37
2009-10-01,280.77
2010-01-01,272.93
2010-04-01,263.35
2010-07-01,263.02
2010-10-01,256.47
2011-01-01,242.03
2011-04-01,230.11
2011-07-01,232.02
2011-10-01,237.18
2012-01-01,236.15
2012-04-01,239.06
2012-07-01,248.81
2012-10-01,256.29
2013-01-01,262.57
2013-04-01,274.42
2013-07-01,282.56
2013-10-01,290.46
2014-01-01,295.97
2014-04-01,301.27
2014-07-01,304.36
2014-10-01,309.41
2015-01-01,312.02
2015-04-01,318.7
2015-07-01,325.16
2015-10-01,329.69
2016-01-01,333.61
2016-04-01,340.6
2016-07-01,346.27
2016-10-01,351.91
2017-01-01,357.06
2017-04-01,366.22
2017-07-01,373.97
2017-10-01,378.36
2018-01-01,386.19
2018-04-01,394.28
2018-07-01,403.41
2018-10-01,408.06
2019-01-01,413.32
2019-04-01,421.52
2019-07-01,427.85
2019-10-01,435.22
2020-01-01,443.97
2020-04-01,451.71
2020-07-01,462.76
2020-10-01,479.09
2021-01-01,500.47
2021-04-01,540.26
2021-07-01,585.1
2021-10-01,614.88
2022-01-01,644.52
2022-04-01,695.19
2022-07-01,705.33
2022-10-01,682.98
