DATE,CASTHPI
1975-01-01,41.71
1975-04-01,42.74
1975-07-01,44.29
1975-10-01,45.76
1976-01-01,47.79
1976-04-01,50.27
1976-07-01,53.56
1976-10-01,55.57
1977-01-01,58.01
1977-04-01,63.0
1977-07-01,67.96
1977-10-01,70.68
1978-01-01,73.21
1978-04-01,75.98
1978-07-01,78.62
1978-10-01,81.81
1979-01-01,84.85
1979-04-01,88.64
1979-07-01,93.09
1979-10-01,96.4
1980-01-01,100.00
1980-04-01,102.85
1980-07-01,106.54
1980-10-01,108.38
1981-01-01,110.4
1981-04-01,112.94
1981-07-01,116.32
1981-10-01,117.53
1982-01-01,104.23
1982-04-01,107.37
1982-07-01,104.84
1982-10-01,115.85
1983-01-01,116.7
1983-04-01,117.42
1983-07-01,117.23
1983-10-01,117.75
1984-01-01,119.49
1984-04-01,120.12
1984-07-01,121.7
1984-10-01,122.79
1985-01-01,124.51
1985-04-01,126.31
1985-07-01,129.17
1985-10-01,130.58
1986-01-01,132.26
1986-04-01,134.81
1986-07-01,137.76
1986-10-01,141.11
1987-01-01,144.73
1987-04-01,148.29
1987-07-01,152.95
1987-10-01,157.26
1988-01-01,163.04
1988-04-01,169.74
1988-07-01,177.8
1988-10-01,187.53
1989-01-01,196.32
1989-04-01,205.97
1989-07-01,217.88
1989-10-01,224.72
1990-01-01,227.49
1990-04-01,228.22
1990-07-01,230.16
1990-10-01,228.62
1991-01-01,228.54
1991-04-01,227.13
1991-07-01,227.13
1991-10-01,228.8
1992-01-01,227.59
1992-04-01,225.23
1992-07-01,224.79
1992-10-01,222.7
1993-01-01,219.25
1993-04-01,217.37
1993-07-01,215.52
1993-10-01,214.25
1994-01-01,212.13
1994-04-01,206.98
1994-07-01,203.93
1994-10-01,201.04
1995-01-01,199.71
1995-04-01,201.61
1995-07-01,203.95
1995-10-01,203.63
1996-01-01,203.6
1996-04-01,201.0
1996-07-01,200.63
1996-10-01,201.68
1997-01-01,202.62
1997-04-01,204.67
1997-07-01,208.71
1997-10-01,212.36
1998-01-01,216.99
1998-04-01,221.73
1998-07-01,227.59
1998-10-01,231.98
1999-01-01,235.47
1999-04-01,239.48
1999-07-01,244.97
1999-10-01,250.17
2000-01-01,261.05
2000-04-01,268.07
2000-07-01,277.06
2000-10-01,285.63
2001-01-01,296.67
2001-04-01,305.75
2001-07-01,312.17
2001-10-01,316.56
2002-01-01,325.02
2002-04-01,336.05
2002-07-01,348.7
2002-10-01,358.9
2003-01-01,367.18
2003-04-01,374.07
2003-07-01,386.75
2003-10-01,411.48
2004-01-01,424.75
2004-04-01,451.36
2004-07-01,497.23
2004-10-01,516.35
2005-01-01,538.92
2005-04-01,570.49
2005-07-01,598.99
2005-10-01,625.72
2006-01-01,638.7
2006-04-01,644.56
2006-07-01,646.66
2006-10-01,642.91
2007-01-01,634.15
2007-04-01,623.51
2007-07-01,600.22
2007-10-01,575.75
2008-01-01,543.46
2008-04-01,498.58
2008-07-01,460.74
2008-10-01,444.87
2009-01-01,440.87
2009-04-01,420.76
2009-07-01,411.47
2009-10-01,412.78
2010-01-01,409.75
2010-04-01,408.53
2010-07-01,410.77
2010-10-01,406.25
2011-01-01,391.74
2011-04-01,385.46
2011-07-01,387.06
2011-10-01,385.88
2012-01-01,381.59
2012-04-01,382.23
2012-07-01,391.15
2012-10-01,399.47
2013-01-01,407.89
2013-04-01,426.62
2013-07-01,447.62
2013-10-01,462.47
2014-01-01,472.1
2014-04-01,484.88
2014-07-01,495.02
2014-10-01,500.63
2015-01-01,505.86
2015-04-01,517.22
2015-07-01,530.4
2015-10-01,537.72
2016-01-01,544.76
2016-04-01,554.4
2016-07-01,566.54
2016-10-01,573.37
2017-01-01,579.34
2017-04-01,591.37
2017-07-01,603.12
2017-10-01,611.78
2018-01-01,622.23
2018-04-01,634.09
2018-07-01,642.1
2018-10-01,642.02
2019-01-01,646.14
2019-04-01,652.73
2019-07-01,659.62
2019-10-01,663.9
2020-01-01,670.15
2020-04-01,677.82
2020-07-01,685.75
2020-10-01,699.88
2021-01-01,719.43
2021-04-01,762.19
2021-07-01,801.78
2021-10-01,834.33
2022-01-01,868.78
2022-04-01,924.12
2022-07-01,918.64
2022-10-01,897.36
