DATE,COSTHPI
1975-01-01,54.16
1975-04-01,54.86
1975-07-01,54.77
1975-10-01,54.98
1976-01-01,55.01
1976-04-01,59.83
1976-07-01,59.59
1976-10-01,62.09
1977-01-01,64.98
1977-04-01,65.51
1977-07-01,68.99
1977-10-01,72.95
1978-01-01,76.06
1978-04-01,79.96
1978-07-01,84.03
1978-10-01,87.36
1979-01-01,91.7
1979-04-01,94.46
1979-07-01,97.47
1979-10-01,99.33
1980-01-01,100.00
1980-04-01,102.26
1980-07-01,107.14
1980-10-01,106.63
1981-01-01,106.5
1981-04-01,108.56
1981-07-01,114.49
1981-10-01,110.36
1982-01-01,119.6
1982-04-01,120.7
1982-07-01,122.49
1982-10-01,126.4
1983-01-01,126.16
1983-04-01,125.13
1983-07-01,126.31
1983-10-01,121.94
1984-01-01,126.14
1984-04-01,125.45
1984-07-01,125.69
1984-10-01,123.39
1985-01-01,126.31
1985-04-01,125.47
1985-07-01,126.51
1985-10-01,124.15
1986-01-01,128.76
1986-04-01,129.47
1986-07-01,128.61
1986-10-01,127.93
1987-01-01,129.66
1987-04-01,128.14
1987-07-01,125.43
1987-10-01,124.36
1988-01-01,125.42
1988-04-01,125.02
1988-07-01,123.79
1988-10-01,123.41
1989-01-01,123.43
1989-04-01,124.31
1989-07-01,126.85
1989-10-01,126.36
1990-01-01,126.98
1990-04-01,128.03
1990-07-01,128.99
1990-10-01,129.31
1991-01-01,130.75
1991-04-01,132.41
1991-07-01,133.58
1991-10-01,135.84
1992-01-01,137.74
1992-04-01,140.83
1992-07-01,143.9
1992-10-01,146.61
1993-01-01,149.29
1993-04-01,152.95
1993-07-01,157.27
1993-10-01,161.16
1994-01-01,165.88
1994-04-01,173.52
1994-07-01,177.81
1994-10-01,179.3
1995-01-01,182.61
1995-04-01,186.23
1995-07-01,189.93
1995-10-01,192.82
1996-01-01,195.19
1996-04-01,197.7
1996-07-01,199.9
1996-10-01,202.65
1997-01-01,204.77
1997-04-01,207.44
1997-07-01,210.76
1997-10-01,214.04
1998-01-01,217.06
1998-04-01,219.67
1998-07-01,223.68
1998-10-01,226.42
1999-01-01,230.8
1999-04-01,237.88
1999-07-01,245.73
1999-10-01,249.98
2000-01-01,259.42
2000-04-01,265.8
2000-07-01,272.75
2000-10-01,278.86
2001-01-01,286.67
2001-04-01,292.5
2001-07-01,297.9
2001-10-01,300.32
2002-01-01,303.82
2002-04-01,307.16
2002-07-01,311.53
2002-10-01,313.45
2003-01-01,314.32
2003-04-01,315.69
2003-07-01,317.11
2003-10-01,320.73
2004-01-01,323.15
2004-04-01,325.65
2004-07-01,330.16
2004-10-01,333.36
2005-01-01,336.88
2005-04-01,341.81
2005-07-01,347.17
2005-10-01,350.56
2006-01-01,351.59
2006-04-01,353.44
2006-07-01,354.99
2006-10-01,358.32
2007-01-01,359.18
2007-04-01,360.16
2007-07-01,357.82
2007-10-01,358.73
2008-01-01,360.63
2008-04-01,358.48
2008-07-01,351.44
2008-10-01,352.48
2009-01-01,359.01
2009-04-01,353.13
2009-07-01,344.81
2009-10-01,343.89
2010-01-01,340.01
2010-04-01,336.07
2010-07-01,340.28
2010-10-01,338.76
2011-01-01,330.19
2011-04-01,324.37
2011-07-01,327.67
2011-10-01,330.62
2012-01-01,328.84
2012-04-01,329.68
2012-07-01,335.1
2012-10-01,338.13
2013-01-01,342.28
2013-04-01,349.27
2013-07-01,357.76
2013-10-01,360.81
2014-01-01,365.84
2014-04-01,378.41
2014-07-01,386.78
2014-10-01,392.52
2015-01-01,400.03
2015-04-01,416.63
2015-07-01,431.61
2015-10-01,437.6
2016-01-01,445.43
2016-04-01,461.09
2016-07-01,473.64
2016-10-01,480.43
2017-01-01,488.59
2017-04-01,505.69
2017-07-01,513.78
2017-10-01,520.91
2018-01-01,534.78
2018-04-01,548.52
2018-07-01,556.86
2018-10-01,558.48
2019-01-01,566.15
2019-04-01,575.09
2019-07-01,580.37
2019-10-01,585.21
2020-01-01,591.55
2020-04-01,598.53
2020-07-01,607.95
2020-10-01,620.38
2021-01-01,637.03
2021-04-01,683.03
2021-07-01,723.56
2021-10-01,744.01
2022-01-01,775.55
2022-04-01,836.92
2022-07-01,828.74
2022-10-01,811.12
