DATE,CTSTHPI
1975-01-01,62.28
1975-04-01,62.83
1975-07-01,61.83
1975-10-01,62.08
1976-01-01,64.81
1976-04-01,64.18
1976-07-01,67.25
1976-10-01,68.02
1977-01-01,64.06
1977-04-01,68.51
1977-07-01,71.48
1977-10-01,72.26
1978-01-01,73.64
1978-04-01,79.57
1978-07-01,87.05
1978-10-01,88.13
1979-01-01,95.4
1979-04-01,97.47
1979-07-01,100.39
1979-10-01,101.79
1980-01-01,100.00
1980-04-01,101.61
1980-07-01,103.76
1980-10-01,104.83
1981-01-01,104.4
1981-04-01,109.7
1981-07-01,114.27
1981-10-01,111.5
1982-01-01,111.77
1982-04-01,112.18
1982-07-01,111.06
1982-10-01,112.93
1983-01-01,118.7
1983-04-01,121.06
1983-07-01,122.46
1983-10-01,126.21
1984-01-01,131.1
1984-04-01,134.57
1984-07-01,140.24
1984-10-01,141.77
1985-01-01,148.36
1985-04-01,155.45
1985-07-01,160.03
1985-10-01,168.8
1986-01-01,174.49
1986-04-01,185.35
1986-07-01,199.34
1986-10-01,212.65
1987-01-01,224.87
1987-04-01,237.27
1987-07-01,250.07
1987-10-01,257.46
1988-01-01,263.31
1988-04-01,267.51
1988-07-01,265.73
1988-10-01,266.27
1989-01-01,261.68
1989-04-01,261.44
1989-07-01,262.31
1989-10-01,261.28
1990-01-01,257.4
1990-04-01,249.54
1990-07-01,246.98
1990-10-01,240.28
1991-01-01,239.86
1991-04-01,236.45
1991-07-01,233.75
1991-10-01,236.05
1992-01-01,237.06
1992-04-01,232.39
1992-07-01,233.22
1992-10-01,233.02
1993-01-01,229.41
1993-04-01,230.03
1993-07-01,230.01
1993-10-01,230.61
1994-01-01,228.65
1994-04-01,223.5
1994-07-01,220.57
1994-10-01,217.79
1995-01-01,216.6
1995-04-01,219.38
1995-07-01,224.69
1995-10-01,224.94
1996-01-01,227.88
1996-04-01,225.01
1996-07-01,221.74
1996-10-01,223.1
1997-01-01,224.41
1997-04-01,225.47
1997-07-01,228.04
1997-10-01,230.33
1998-01-01,235.83
1998-04-01,235.93
1998-07-01,239.41
1998-10-01,242.52
1999-01-01,245.79
1999-04-01,248.79
1999-07-01,253.58
1999-10-01,256.65
2000-01-01,261.39
2000-04-01,268.52
2000-07-01,274.3
2000-10-01,278.09
2001-01-01,284.96
2001-04-01,291.08
2001-07-01,298.22
2001-10-01,303.41
2002-01-01,309.91
2002-04-01,318.77
2002-07-01,327.46
2002-10-01,334.34
2003-01-01,338.57
2003-04-01,344.15
2003-07-01,352.37
2003-10-01,365.27
2004-01-01,371.61
2004-04-01,383.68
2004-07-01,403.1
2004-10-01,410.88
2005-01-01,421.32
2005-04-01,435.38
2005-07-01,447.54
2005-10-01,456.53
2006-01-01,462.52
2006-04-01,464.81
2006-07-01,465.22
2006-10-01,467.92
2007-01-01,471.04
2007-04-01,467.39
2007-07-01,463.6
2007-10-01,462.84
2008-01-01,462.36
2008-04-01,451.46
2008-07-01,437.54
2008-10-01,433.85
2009-01-01,437.28
2009-04-01,423.11
2009-07-01,412.4
2009-10-01,411.06
2010-01-01,406.26
2010-04-01,401.81
2010-07-01,406.3
2010-10-01,406.98
2011-01-01,396.53
2011-04-01,389.2
2011-07-01,390.36
2011-10-01,393.42
2012-01-01,386.84
2012-04-01,382.87
2012-07-01,383.9
2012-10-01,385.2
2013-01-01,383.36
2013-04-01,381.61
2013-07-01,381.13
2013-10-01,378.08
2014-01-01,376.7
2014-04-01,379.77
2014-07-01,382.41
2014-10-01,382.04
2015-01-01,386.91
2015-04-01,388.06
2015-07-01,385.76
2015-10-01,385.25
2016-01-01,385.48
2016-04-01,387.32
2016-07-01,390.78
2016-10-01,390.9
2017-01-01,385.53
2017-04-01,390.98
2017-07-01,393.46
2017-10-01,393.3
2018-01-01,391.67
2018-04-01,394.63
2018-07-01,398.22
2018-10-01,396.29
2019-01-01,398.35
2019-04-01,404.77
2019-07-01,409.31
2019-10-01,411.71
2020-01-01,413.32
2020-04-01,417.66
2020-07-01,426.83
2020-10-01,438.36
2021-01-01,449.99
2021-04-01,473.0
2021-07-01,498.93
2021-10-01,509.29
2022-01-01,522.76
2022-04-01,555.99
2022-07-01,566.63
2022-10-01,564.03
