DATE,DCSTHPI
1975-01-01,46.59
1975-04-01,47.6
1975-07-01,47.32
1975-10-01,54.67
1976-01-01,53.08
1976-04-01,53.01
1976-07-01,59.15
1976-10-01,57.65
1977-01-01,59.71
1977-04-01,63.97
1977-07-01,66.72
1977-10-01,72.3
1978-01-01,69.34
1978-04-01,77.92
1978-07-01,81.79
1978-10-01,80.84
1979-01-01,89.51
1979-04-01,88.67
1979-07-01,92.39
1979-10-01,98.8
1980-01-01,100.00
1980-04-01,96.28
1980-07-01,98.89
1980-10-01,101.86
1981-01-01,91.92
1981-04-01,106.24
1981-07-01,95.86
1981-10-01,103.49
1982-01-01,76.98
1982-04-01,104.73
1982-07-01,81.77
1982-10-01,101.75
1983-01-01,95.72
1983-04-01,97.59
1983-07-01,102.76
1983-10-01,100.66
1984-01-01,102.51
1984-04-01,104.51
1984-07-01,106.58
1984-10-01,108.76
1985-01-01,108.12
1985-04-01,111.35
1985-07-01,112.96
1985-10-01,114.91
1986-01-01,114.65
1986-04-01,120.27
1986-07-01,123.58
1986-10-01,128.72
1987-01-01,133.73
1987-04-01,136.58
1987-07-01,141.12
1987-10-01,147.31
1988-01-01,155.54
1988-04-01,162.92
1988-07-01,166.15
1988-10-01,171.15
1989-01-01,180.74
1989-04-01,182.52
1989-07-01,184.51
1989-10-01,188.04
1990-01-01,193.53
1990-04-01,193.43
1990-07-01,188.86
1990-10-01,189.34
1991-01-01,191.45
1991-04-01,192.88
1991-07-01,190.85
1991-10-01,194.57
1992-01-01,197.33
1992-04-01,197.28
1992-07-01,196.81
1992-10-01,195.4
1993-01-01,194.29
1993-04-01,194.92
1993-07-01,195.67
1993-10-01,196.2
1994-01-01,197.57
1994-04-01,190.15
1994-07-01,190.33
1994-10-01,182.48
1995-01-01,185.38
1995-04-01,184.79
1995-07-01,189.81
1995-10-01,192.91
1996-01-01,195.51
1996-04-01,191.61
1996-07-01,189.35
1996-10-01,190.64
1997-01-01,190.81
1997-04-01,192.57
1997-07-01,190.49
1997-10-01,190.92
1998-01-01,198.47
1998-04-01,199.81
1998-07-01,201.22
1998-10-01,206.97
1999-01-01,209.07
1999-04-01,213.6
1999-07-01,220.03
1999-10-01,226.16
2000-01-01,236.09
2000-04-01,244.76
2000-07-01,252.39
2000-10-01,257.09
2001-01-01,267.91
2001-04-01,280.25
2001-07-01,291.89
2001-10-01,300.78
2002-01-01,310.31
2002-04-01,321.58
2002-07-01,336.46
2002-10-01,346.49
2003-01-01,354.36
2003-04-01,361.2
2003-07-01,372.57
2003-10-01,392.34
2004-01-01,407.65
2004-04-01,428.08
2004-07-01,457.79
2004-10-01,482.28
2005-01-01,504.16
2005-04-01,533.78
2005-07-01,565.88
2005-10-01,594.05
2006-01-01,603.32
2006-04-01,610.98
2006-07-01,616.7
2006-10-01,627.07
2007-01-01,632.61
2007-04-01,632.34
2007-07-01,633.8
2007-10-01,626.66
2008-01-01,614.23
2008-04-01,598.29
2008-07-01,584.39
2008-10-01,577.79
2009-01-01,580.0
2009-04-01,562.83
2009-07-01,557.83
2009-10-01,565.44
2010-01-01,559.0
2010-04-01,561.53
2010-07-01,570.25
2010-10-01,569.9
2011-01-01,562.21
2011-04-01,570.52
2011-07-01,572.61
2011-10-01,579.14
2012-01-01,583.1
2012-04-01,586.74
2012-07-01,596.71
2012-10-01,607.94
2013-01-01,617.83
2013-04-01,635.91
2013-07-01,656.84
2013-10-01,659.87
2014-01-01,674.44
2014-04-01,690.29
2014-07-01,697.42
2014-10-01,713.36
2015-01-01,719.47
2015-04-01,730.92
2015-07-01,747.62
2015-10-01,763.19
2016-01-01,769.24
2016-04-01,785.82
2016-07-01,791.6
2016-10-01,805.68
2017-01-01,803.05
2017-04-01,823.22
2017-07-01,833.89
2017-10-01,839.54
2018-01-01,849.71
2018-04-01,862.98
2018-07-01,867.85
2018-10-01,879.17
2019-01-01,884.79
2019-04-01,890.4
2019-07-01,904.51
2019-10-01,910.49
2020-01-01,918.12
2020-04-01,919.88
2020-07-01,930.77
2020-10-01,951.29
2021-01-01,961.14
2021-04-01,1001.81
2021-07-01,1025.57
2021-10-01,1036.13
2022-01-01,1061.73
2022-04-01,1109.83
2022-07-01,1096.76
2022-10-01,1073.26
