DATE,DESTHPI
1975-01-01,77.03
1975-04-01,89.59
1975-07-01,115.7
1975-10-01,71.68
1976-01-01,79.55
1976-04-01,84.44
1976-07-01,80.4
1976-10-01,86.84
1977-01-01,89.83
1977-04-01,77.81
1977-07-01,82.43
1977-10-01,82.69
1978-01-01,85.16
1978-04-01,89.17
1978-07-01,85.33
1978-10-01,83.57
1979-01-01,86.24
1979-04-01,86.85
1979-07-01,95.01
1979-10-01,96.03
1980-01-01,100.00
1980-04-01,106.63
1980-07-01,109.67
1980-10-01,106.46
1981-01-01,109.13
1981-04-01,104.08
1981-07-01,115.95
1981-10-01,107.27
1982-01-01,102.22
1982-04-01,113.03
1982-07-01,113.09
1982-10-01,115.84
1983-01-01,116.36
1983-04-01,118.77
1983-07-01,122.19
1983-10-01,127.7
1984-01-01,125.12
1984-04-01,128.35
1984-07-01,131.6
1984-10-01,133.6
1985-01-01,136.64
1985-04-01,140.59
1985-07-01,143.02
1985-10-01,145.52
1986-01-01,150.85
1986-04-01,154.29
1986-07-01,159.03
1986-10-01,164.41
1987-01-01,170.91
1987-04-01,175.03
1987-07-01,182.13
1987-10-01,186.96
1988-01-01,189.72
1988-04-01,195.31
1988-07-01,200.93
1988-10-01,205.96
1989-01-01,209.3
1989-04-01,216.0
1989-07-01,221.12
1989-10-01,222.47
1990-01-01,225.85
1990-04-01,225.08
1990-07-01,223.45
1990-10-01,223.35
1991-01-01,226.74
1991-04-01,227.51
1991-07-01,227.54
1991-10-01,230.68
1992-01-01,230.68
1992-04-01,229.09
1992-07-01,230.26
1992-10-01,232.29
1993-01-01,230.95
1993-04-01,231.95
1993-07-01,231.47
1993-10-01,232.14
1994-01-01,231.16
1994-04-01,228.57
1994-07-01,226.22
1994-10-01,225.37
1995-01-01,225.99
1995-04-01,226.89
1995-07-01,230.59
1995-10-01,230.31
1996-01-01,233.38
1996-04-01,230.79
1996-07-01,231.74
1996-10-01,233.76
1997-01-01,233.66
1997-04-01,234.02
1997-07-01,236.1
1997-10-01,237.84
1998-01-01,241.65
1998-04-01,242.41
1998-07-01,243.63
1998-10-01,244.99
1999-01-01,248.91
1999-04-01,250.62
1999-07-01,254.72
1999-10-01,256.07
2000-01-01,260.24
2000-04-01,264.73
2000-07-01,269.78
2000-10-01,273.32
2001-01-01,279.18
2001-04-01,283.93
2001-07-01,289.57
2001-10-01,293.54
2002-01-01,298.64
2002-04-01,306.28
2002-07-01,314.09
2002-10-01,319.16
2003-01-01,323.88
2003-04-01,330.74
2003-07-01,338.35
2003-10-01,351.12
2004-01-01,362.17
2004-04-01,370.14
2004-07-01,392.37
2004-10-01,404.34
2005-01-01,415.57
2005-04-01,433.08
2005-07-01,452.72
2005-10-01,462.24
2006-01-01,471.62
2006-04-01,480.68
2006-07-01,485.26
2006-10-01,494.17
2007-01-01,494.42
2007-04-01,498.06
2007-07-01,493.13
2007-10-01,493.75
2008-01-01,490.45
2008-04-01,483.8
2008-07-01,472.66
2008-10-01,467.18
2009-01-01,469.56
2009-04-01,455.62
2009-07-01,444.72
2009-10-01,440.77
2010-01-01,437.91
2010-04-01,433.28
2010-07-01,432.94
2010-10-01,429.62
2011-01-01,419.03
2011-04-01,406.99
2011-07-01,403.07
2011-10-01,408.23
2012-01-01,405.06
2012-04-01,396.56
2012-07-01,399.51
2012-10-01,402.22
2013-01-01,402.6
2013-04-01,402.78
2013-07-01,404.27
2013-10-01,407.16
2014-01-01,406.3
2014-04-01,409.91
2014-07-01,414.83
2014-10-01,413.43
2015-01-01,420.26
2015-04-01,419.22
2015-07-01,421.97
2015-10-01,423.81
2016-01-01,424.76
2016-04-01,428.94
2016-07-01,433.38
2016-10-01,436.85
2017-01-01,435.24
2017-04-01,438.17
2017-07-01,438.93
2017-10-01,443.03
2018-01-01,449.32
2018-04-01,452.18
2018-07-01,453.95
2018-10-01,458.07
2019-01-01,461.06
2019-04-01,468.41
2019-07-01,473.88
2019-10-01,476.82
2020-01-01,483.13
2020-04-01,486.56
2020-07-01,496.69
2020-10-01,504.47
2021-01-01,519.97
2021-04-01,541.73
2021-07-01,567.87
2021-10-01,588.01
2022-01-01,605.21
2022-04-01,643.28
2022-07-01,648.34
2022-10-01,650.45
