DATE,FLSTHPI
1975-01-01,65.94
1975-04-01,83.43
1975-07-01,66.8
1975-10-01,68.21
1976-01-01,67.93
1976-04-01,75.98
1976-07-01,68.98
1976-10-01,70.27
1977-01-01,71.0
1977-04-01,79.02
1977-07-01,72.59
1977-10-01,74.79
1978-01-01,78.33
1978-04-01,83.33
1978-07-01,83.01
1978-10-01,84.62
1979-01-01,89.71
1979-04-01,92.41
1979-07-01,93.74
1979-10-01,97.97
1980-01-01,100.00
1980-04-01,99.69
1980-07-01,105.83
1980-10-01,108.68
1981-01-01,110.02
1981-04-01,112.24
1981-07-01,108.1
1981-10-01,104.7
1982-01-01,112.76
1982-04-01,114.63
1982-07-01,104.51
1982-10-01,112.66
1983-01-01,121.35
1983-04-01,123.71
1983-07-01,124.15
1983-10-01,124.47
1984-01-01,125.68
1984-04-01,126.79
1984-07-01,128.05
1984-10-01,126.38
1985-01-01,127.85
1985-04-01,128.16
1985-07-01,128.06
1985-10-01,129.82
1986-01-01,131.19
1986-04-01,134.66
1986-07-01,135.57
1986-10-01,135.76
1987-01-01,136.42
1987-04-01,138.59
1987-07-01,138.78
1987-10-01,139.81
1988-01-01,141.24
1988-04-01,144.21
1988-07-01,145.32
1988-10-01,146.53
1989-01-01,147.68
1989-04-01,148.63
1989-07-01,151.11
1989-10-01,152.25
1990-01-01,152.98
1990-04-01,152.46
1990-07-01,153.39
1990-10-01,152.82
1991-01-01,154.55
1991-04-01,155.01
1991-07-01,154.76
1991-10-01,157.45
1992-01-01,159.31
1992-04-01,157.9
1992-07-01,160.55
1992-10-01,160.62
1993-01-01,160.87
1993-04-01,162.58
1993-07-01,163.9
1993-10-01,165.5
1994-01-01,165.29
1994-04-01,164.16
1994-07-01,164.43
1994-10-01,164.4
1995-01-01,164.98
1995-04-01,167.23
1995-07-01,170.37
1995-10-01,171.71
1996-01-01,173.55
1996-04-01,172.49
1996-07-01,173.04
1996-10-01,173.99
1997-01-01,175.94
1997-04-01,175.91
1997-07-01,178.2
1997-10-01,181.28
1998-01-01,184.8
1998-04-01,184.6
1998-07-01,186.97
1998-10-01,189.7
1999-01-01,190.81
1999-04-01,192.31
1999-07-01,194.58
1999-10-01,196.93
2000-01-01,200.84
2000-04-01,204.4
2000-07-01,208.72
2000-10-01,213.08
2001-01-01,219.24
2001-04-01,224.75
2001-07-01,229.92
2001-10-01,235.45
2002-01-01,240.14
2002-04-01,247.46
2002-07-01,254.45
2002-10-01,260.21
2003-01-01,265.77
2003-04-01,272.18
2003-07-01,278.71
2003-10-01,291.67
2004-01-01,300.55
2004-04-01,314.68
2004-07-01,334.39
2004-10-01,349.68
2005-01-01,368.36
2005-04-01,395.92
2005-07-01,423.51
2005-10-01,445.77
2006-01-01,463.2
2006-04-01,473.09
2006-07-01,476.45
2006-10-01,479.71
2007-01-01,476.78
2007-04-01,470.54
2007-07-01,453.68
2007-10-01,442.35
2008-01-01,424.62
2008-04-01,395.31
2008-07-01,363.23
2008-10-01,344.68
2009-01-01,350.41
2009-04-01,332.46
2009-07-01,313.39
2009-10-01,305.48
2010-01-01,299.68
2010-04-01,291.34
2010-07-01,294.76
2010-10-01,289.48
2011-01-01,275.66
2011-04-01,267.28
2011-07-01,270.11
2011-10-01,272.52
2012-01-01,267.09
2012-04-01,265.12
2012-07-01,271.53
2012-10-01,275.26
2013-01-01,279.03
2013-04-01,288.3
2013-07-01,295.68
2013-10-01,303.22
2014-01-01,307.56
2014-04-01,315.9
2014-07-01,322.68
2014-10-01,328.57
2015-01-01,335.95
2015-04-01,344.16
2015-07-01,352.66
2015-10-01,359.61
2016-01-01,366.34
2016-04-01,375.65
2016-07-01,385.93
2016-10-01,392.32
2017-01-01,399.59
2017-04-01,409.38
2017-07-01,416.61
2017-10-01,424.67
2018-01-01,433.22
2018-04-01,441.57
2018-07-01,448.95
2018-10-01,452.37
2019-01-01,459.41
2019-04-01,465.39
2019-07-01,473.03
2019-10-01,479.15
2020-01-01,486.44
2020-04-01,492.62
2020-07-01,501.05
2020-10-01,514.49
2021-01-01,531.18
2021-04-01,565.84
2021-07-01,607.79
2021-10-01,642.29
2022-01-01,678.17
2022-04-01,735.83
2022-07-01,767.66
2022-10-01,768.11
