DATE,GASTHPI
1975-01-01,73.84
1975-04-01,71.93
1975-07-01,74.25
1975-10-01,73.74
1976-01-01,71.43
1976-04-01,73.04
1976-07-01,79.05
1976-10-01,78.32
1977-01-01,76.83
1977-04-01,76.27
1977-07-01,78.69
1977-10-01,78.62
1978-01-01,84.17
1978-04-01,81.71
1978-07-01,85.33
1978-10-01,86.33
1979-01-01,87.96
1979-04-01,91.14
1979-07-01,92.21
1979-10-01,95.63
1980-01-01,100.00
1980-04-01,100.46
1980-07-01,102.05
1980-10-01,102.88
1981-01-01,107.19
1981-04-01,107.82
1981-07-01,108.62
1981-10-01,112.87
1982-01-01,113.56
1982-04-01,115.55
1982-07-01,114.37
1982-10-01,116.45
1983-01-01,117.69
1983-04-01,118.48
1983-07-01,121.07
1983-10-01,120.79
1984-01-01,124.36
1984-04-01,126.6
1984-07-01,124.26
1984-10-01,129.27
1985-01-01,131.72
1985-04-01,128.75
1985-07-01,135.16
1985-10-01,137.79
1986-01-01,140.1
1986-04-01,141.95
1986-07-01,143.66
1986-10-01,146.02
1987-01-01,148.45
1987-04-01,150.13
1987-07-01,151.8
1987-10-01,152.52
1988-01-01,154.68
1988-04-01,156.55
1988-07-01,156.86
1988-10-01,156.74
1989-01-01,157.8
1989-04-01,158.28
1989-07-01,160.32
1989-10-01,161.45
1990-01-01,160.94
1990-04-01,159.49
1990-07-01,160.54
1990-10-01,159.41
1991-01-01,161.18
1991-04-01,161.71
1991-07-01,161.28
1991-10-01,163.05
1992-01-01,164.09
1992-04-01,164.39
1992-07-01,167.64
1992-10-01,167.94
1993-01-01,168.3
1993-04-01,170.18
1993-07-01,171.35
1993-10-01,172.62
1994-01-01,173.17
1994-04-01,174.25
1994-07-01,174.86
1994-10-01,175.56
1995-01-01,176.5
1995-04-01,179.86
1995-07-01,182.26
1995-10-01,185.08
1996-01-01,187.24
1996-04-01,188.17
1996-07-01,189.81
1996-10-01,191.37
1997-01-01,193.5
1997-04-01,195.72
1997-07-01,198.99
1997-10-01,201.84
1998-01-01,205.43
1998-04-01,207.26
1998-07-01,211.07
1998-10-01,214.2
1999-01-01,217.06
1999-04-01,220.35
1999-07-01,224.26
1999-10-01,226.84
2000-01-01,229.87
2000-04-01,233.62
2000-07-01,237.44
2000-10-01,241.29
2001-01-01,248.05
2001-04-01,251.11
2001-07-01,254.32
2001-10-01,257.62
2002-01-01,259.83
2002-04-01,261.79
2002-07-01,266.07
2002-10-01,269.14
2003-01-01,271.21
2003-04-01,273.04
2003-07-01,274.7
2003-10-01,278.27
2004-01-01,282.11
2004-04-01,283.99
2004-07-01,287.86
2004-10-01,292.4
2005-01-01,296.2
2005-04-01,300.12
2005-07-01,305.19
2005-10-01,309.22
2006-01-01,312.39
2006-04-01,314.25
2006-07-01,316.78
2006-10-01,322.73
2007-01-01,325.35
2007-04-01,326.41
2007-07-01,324.35
2007-10-01,326.49
2008-01-01,326.81
2008-04-01,321.83
2008-07-01,313.0
2008-10-01,311.67
2009-01-01,318.48
2009-04-01,308.74
2009-07-01,296.18
2009-10-01,291.88
2010-01-01,286.26
2010-04-01,280.08
2010-07-01,282.93
2010-10-01,279.14
2011-01-01,268.94
2011-04-01,257.35
2011-07-01,258.9
2011-10-01,258.27
2012-01-01,251.65
2012-04-01,247.23
2012-07-01,250.33
2012-10-01,253.32
2013-01-01,253.67
2013-04-01,259.63
2013-07-01,263.08
2013-10-01,266.5
2014-01-01,270.36
2014-04-01,276.84
2014-07-01,282.15
2014-10-01,284.15
2015-01-01,288.34
2015-04-01,295.21
2015-07-01,298.9
2015-10-01,301.42
2016-01-01,304.3
2016-04-01,312.65
2016-07-01,318.5
2016-10-01,321.19
2017-01-01,323.34
2017-04-01,331.93
2017-07-01,336.92
2017-10-01,340.35
2018-01-01,348.05
2018-04-01,356.29
2018-07-01,362.15
2018-10-01,364.22
2019-01-01,369.59
2019-04-01,377.14
2019-07-01,382.54
2019-10-01,386.32
2020-01-01,392.16
2020-04-01,396.25
2020-07-01,403.88
2020-10-01,412.38
2021-01-01,424.61
2021-04-01,449.07
2021-07-01,476.42
2021-10-01,500.89
2022-01-01,525.14
2022-04-01,564.16
2022-07-01,580.48
2022-10-01,581.5
