DATE,HISTHPI
1975-01-01,67.97
1975-04-01,53.76
1975-07-01,58.97
1975-10-01,54.95
1976-01-01,53.83
1976-04-01,57.03
1976-07-01,54.99
1976-10-01,56.77
1977-01-01,56.25
1977-04-01,59.1
1977-07-01,61.07
1977-10-01,63.0
1978-01-01,66.12
1978-04-01,65.3
1978-07-01,66.97
1978-10-01,75.07
1979-01-01,74.21
1979-04-01,82.18
1979-07-01,89.66
1979-10-01,92.85
1980-01-01,100.00
1980-04-01,101.73
1980-07-01,101.3
1980-10-01,107.63
1981-01-01,102.21
1981-04-01,98.1
1981-07-01,86.82
1981-10-01,49.23
1982-01-01,112.72
1982-04-01,104.15
1982-07-01,100.4
1982-10-01,85.16
1983-01-01,102.36
1983-04-01,106.38
1983-07-01,112.37
1983-10-01,106.27
1984-01-01,108.48
1984-04-01,113.5
1984-07-01,110.18
1984-10-01,109.2
1985-01-01,114.72
1985-04-01,113.04
1985-07-01,116.98
1985-10-01,118.01
1986-01-01,119.83
1986-04-01,120.17
1986-07-01,121.04
1986-10-01,123.96
1987-01-01,127.99
1987-04-01,131.01
1987-07-01,133.08
1987-10-01,136.09
1988-01-01,144.69
1988-04-01,151.66
1988-07-01,155.59
1988-10-01,166.82
1989-01-01,179.29
1989-04-01,183.85
1989-07-01,196.23
1989-10-01,203.13
1990-01-01,218.11
1990-04-01,231.65
1990-07-01,242.49
1990-10-01,251.81
1991-01-01,257.55
1991-04-01,260.15
1991-07-01,260.14
1991-10-01,264.02
1992-01-01,263.36
1992-04-01,262.85
1992-07-01,264.55
1992-10-01,265.44
1993-01-01,264.78
1993-04-01,266.08
1993-07-01,265.13
1993-10-01,266.47
1994-01-01,267.24
1994-04-01,264.31
1994-07-01,265.76
1994-10-01,258.87
1995-01-01,257.5
1995-04-01,261.19
1995-07-01,261.3
1995-10-01,262.59
1996-01-01,257.14
1996-04-01,251.63
1996-07-01,243.04
1996-10-01,239.66
1997-01-01,236.84
1997-04-01,230.4
1997-07-01,230.5
1997-10-01,229.81
1998-01-01,231.24
1998-04-01,231.1
1998-07-01,231.96
1998-10-01,231.11
1999-01-01,229.97
1999-04-01,228.17
1999-07-01,224.51
1999-10-01,224.51
2000-01-01,231.05
2000-04-01,230.65
2000-07-01,233.68
2000-10-01,239.11
2001-01-01,246.96
2001-04-01,250.58
2001-07-01,254.79
2001-10-01,258.82
2002-01-01,262.77
2002-04-01,268.64
2002-07-01,276.92
2002-10-01,280.54
2003-01-01,288.58
2003-04-01,295.58
2003-07-01,304.02
2003-10-01,321.27
2004-01-01,336.38
2004-04-01,355.68
2004-07-01,389.53
2004-10-01,403.74
2005-01-01,423.02
2005-04-01,447.91
2005-07-01,475.74
2005-10-01,502.71
2006-01-01,520.81
2006-04-01,525.51
2006-07-01,535.42
2006-10-01,533.63
2007-01-01,540.6
2007-04-01,541.99
2007-07-01,538.7
2007-10-01,536.71
2008-01-01,531.73
2008-04-01,520.67
2008-07-01,505.1
2008-10-01,495.99
2009-01-01,492.98
2009-04-01,472.38
2009-07-01,458.86
2009-10-01,452.38
2010-01-01,451.82
2010-04-01,448.84
2010-07-01,451.51
2010-10-01,451.75
2011-01-01,442.47
2011-04-01,442.93
2011-07-01,446.08
2011-10-01,445.96
2012-01-01,447.67
2012-04-01,444.35
2012-07-01,452.73
2012-10-01,457.15
2013-01-01,459.87
2013-04-01,469.99
2013-07-01,478.72
2013-10-01,490.01
2014-01-01,493.61
2014-04-01,501.01
2014-07-01,511.31
2014-10-01,518.13
2015-01-01,529.96
2015-04-01,533.54
2015-07-01,541.01
2015-10-01,548.18
2016-01-01,562.43
2016-04-01,565.41
2016-07-01,576.61
2016-10-01,582.24
2017-01-01,582.57
2017-04-01,590.66
2017-07-01,599.53
2017-10-01,603.01
2018-01-01,609.18
2018-04-01,615.49
2018-07-01,619.71
2018-10-01,622.78
2019-01-01,630.14
2019-04-01,632.06
2019-07-01,637.91
2019-10-01,643.49
2020-01-01,643.47
2020-04-01,651.79
2020-07-01,645.09
2020-10-01,655.8
2021-01-01,665.11
2021-04-01,699.46
2021-07-01,727.22
2021-10-01,763.32
2022-01-01,801.31
2022-04-01,846.34
2022-07-01,901.92
2022-10-01,897.35
