DATE,IASTHPI
1975-01-01,59.35
1975-04-01,63.27
1975-07-01,63.46
1975-10-01,65.17
1976-01-01,67.65
1976-04-01,70.13
1976-07-01,73.96
1976-10-01,71.09
1977-01-01,76.11
1977-04-01,78.06
1977-07-01,79.69
1977-10-01,83.06
1978-01-01,85.36
1978-04-01,89.64
1978-07-01,90.83
1978-10-01,95.06
1979-01-01,95.89
1979-04-01,99.07
1979-07-01,102.32
1979-10-01,101.05
1980-01-01,100.00
1980-04-01,100.61
1980-07-01,101.35
1980-10-01,97.18
1981-01-01,94.68
1981-04-01,93.09
1981-07-01,87.86
1981-10-01,102.32
1982-01-01,95.41
1982-04-01,96.51
1982-07-01,86.08
1982-10-01,94.29
1983-01-01,97.86
1983-04-01,98.79
1983-07-01,98.4
1983-10-01,98.17
1984-01-01,98.35
1984-04-01,100.34
1984-07-01,99.04
1984-10-01,100.65
1985-01-01,101.23
1985-04-01,101.2
1985-07-01,102.74
1985-10-01,101.93
1986-01-01,102.98
1986-04-01,103.54
1986-07-01,103.98
1986-10-01,103.6
1987-01-01,105.18
1987-04-01,105.17
1987-07-01,105.2
1987-10-01,101.79
1988-01-01,104.22
1988-04-01,105.86
1988-07-01,108.05
1988-10-01,107.52
1989-01-01,109.54
1989-04-01,110.72
1989-07-01,112.8
1989-10-01,113.74
1990-01-01,115.32
1990-04-01,116.77
1990-07-01,118.33
1990-10-01,119.31
1991-01-01,120.88
1991-04-01,122.23
1991-07-01,123.31
1991-10-01,125.18
1992-01-01,125.56
1992-04-01,127.62
1992-07-01,129.27
1992-10-01,130.41
1993-01-01,131.59
1993-04-01,133.5
1993-07-01,136.19
1993-10-01,137.76
1994-01-01,140.35
1994-04-01,143.91
1994-07-01,146.65
1994-10-01,146.72
1995-01-01,148.4
1995-04-01,151.64
1995-07-01,153.78
1995-10-01,155.18
1996-01-01,157.35
1996-04-01,158.64
1996-07-01,160.09
1996-10-01,161.08
1997-01-01,162.66
1997-04-01,164.5
1997-07-01,166.93
1997-10-01,168.35
1998-01-01,170.54
1998-04-01,172.73
1998-07-01,174.6
1998-10-01,176.75
1999-01-01,178.37
1999-04-01,180.99
1999-07-01,182.09
1999-10-01,183.29
2000-01-01,185.21
2000-04-01,187.66
2000-07-01,190.15
2000-10-01,191.56
2001-01-01,195.65
2001-04-01,197.75
2001-07-01,199.05
2001-10-01,201.51
2002-01-01,203.28
2002-04-01,204.26
2002-07-01,206.85
2002-10-01,208.6
2003-01-01,209.93
2003-04-01,211.51
2003-07-01,214.12
2003-10-01,217.48
2004-01-01,219.12
2004-04-01,221.41
2004-07-01,224.48
2004-10-01,226.96
2005-01-01,229.6
2005-04-01,232.37
2005-07-01,236.1
2005-10-01,237.87
2006-01-01,237.83
2006-04-01,239.3
2006-07-01,240.75
2006-10-01,242.67
2007-01-01,243.53
2007-04-01,245.65
2007-07-01,245.54
2007-10-01,246.9
2008-01-01,248.29
2008-04-01,246.9
2008-07-01,245.01
2008-10-01,246.11
2009-01-01,248.51
2009-04-01,246.94
2009-07-01,245.53
2009-10-01,244.9
2010-01-01,242.97
2010-04-01,243.84
2010-07-01,246.15
2010-10-01,246.13
2011-01-01,243.83
2011-04-01,242.32
2011-07-01,244.61
2011-10-01,245.7
2012-01-01,245.66
2012-04-01,245.58
2012-07-01,247.53
2012-10-01,248.56
2013-01-01,248.98
2013-04-01,250.62
2013-07-01,251.62
2013-10-01,251.76
2014-01-01,251.55
2014-04-01,254.94
2014-07-01,257.66
2014-10-01,258.91
2015-01-01,259.92
2015-04-01,263.27
2015-07-01,265.72
2015-10-01,267.3
2016-01-01,268.9
2016-04-01,271.59
2016-07-01,275.48
2016-10-01,276.74
2017-01-01,278.67
2017-04-01,282.41
2017-07-01,285.86
2017-10-01,286.98
2018-01-01,288.19
2018-04-01,293.66
2018-07-01,295.76
2018-10-01,296.41
2019-01-01,298.16
2019-04-01,301.89
2019-07-01,304.95
2019-10-01,306.88
2020-01-01,309.04
2020-04-01,310.66
2020-07-01,313.61
2020-10-01,318.35
2021-01-01,321.68
2021-04-01,337.12
2021-07-01,351.6
2021-10-01,358.7
2022-01-01,366.15
2022-04-01,391.32
2022-07-01,399.4
2022-10-01,396.67
