DATE,IDSTHPI
1975-01-01,69.99
1975-04-01,65.07
1975-07-01,57.82
1975-10-01,62.2
1976-01-01,57.57
1976-04-01,74.58
1976-07-01,65.3
1976-10-01,62.59
1977-01-01,72.91
1977-04-01,79.64
1977-07-01,79.65
1977-10-01,81.71
1978-01-01,89.87
1978-04-01,89.16
1978-07-01,92.21
1978-10-01,89.46
1979-01-01,98.89
1979-04-01,95.99
1979-07-01,99.22
1979-10-01,101.37
1980-01-01,100.00
1980-04-01,101.73
1980-07-01,106.22
1980-10-01,102.66
1981-01-01,110.17
1981-04-01,101.71
1981-07-01,103.03
1981-10-01,118.22
1982-01-01,94.14
1982-04-01,109.58
1982-07-01,104.48
1982-10-01,110.91
1983-01-01,110.57
1983-04-01,106.87
1983-07-01,106.83
1983-10-01,108.61
1984-01-01,110.31
1984-04-01,109.07
1984-07-01,110.56
1984-10-01,113.49
1985-01-01,108.36
1985-04-01,114.02
1985-07-01,115.14
1985-10-01,112.7
1986-01-01,115.33
1986-04-01,112.87
1986-07-01,114.69
1986-10-01,115.06
1987-01-01,116.28
1987-04-01,114.07
1987-07-01,110.6
1987-10-01,110.5
1988-01-01,113.16
1988-04-01,114.17
1988-07-01,111.99
1988-10-01,111.85
1989-01-01,115.18
1989-04-01,116.05
1989-07-01,117.71
1989-10-01,118.48
1990-01-01,120.53
1990-04-01,125.15
1990-07-01,127.96
1990-10-01,126.88
1991-01-01,130.45
1991-04-01,130.82
1991-07-01,133.63
1991-10-01,136.76
1992-01-01,138.26
1992-04-01,139.65
1992-07-01,142.93
1992-10-01,146.81
1993-01-01,148.05
1993-04-01,152.82
1993-07-01,156.99
1993-10-01,159.89
1994-01-01,160.94
1994-04-01,166.76
1994-07-01,168.69
1994-10-01,169.59
1995-01-01,170.68
1995-04-01,174.78
1995-07-01,177.81
1995-10-01,179.91
1996-01-01,182.22
1996-04-01,180.59
1996-07-01,181.24
1996-10-01,182.72
1997-01-01,184.49
1997-04-01,184.75
1997-07-01,187.69
1997-10-01,190.0
1998-01-01,192.09
1998-04-01,192.88
1998-07-01,193.91
1998-10-01,195.28
1999-01-01,197.12
1999-04-01,198.04
1999-07-01,196.39
1999-10-01,195.77
2000-01-01,198.89
2000-04-01,198.8
2000-07-01,200.47
2000-10-01,202.56
2001-01-01,207.82
2001-04-01,210.1
2001-07-01,211.18
2001-10-01,213.66
2002-01-01,214.05
2002-04-01,215.13
2002-07-01,218.42
2002-10-01,220.65
2003-01-01,222.71
2003-04-01,224.58
2003-07-01,226.39
2003-10-01,229.45
2004-01-01,232.22
2004-04-01,238.29
2004-07-01,246.43
2004-10-01,252.78
2005-01-01,258.97
2005-04-01,270.72
2005-07-01,286.8
2005-10-01,299.94
2006-01-01,310.5
2006-04-01,322.32
2006-07-01,331.22
2006-10-01,339.37
2007-01-01,344.32
2007-04-01,345.11
2007-07-01,345.57
2007-10-01,345.73
2008-01-01,347.14
2008-04-01,339.16
2008-07-01,329.74
2008-10-01,329.71
2009-01-01,330.62
2009-04-01,319.48
2009-07-01,305.72
2009-10-01,300.54
2010-01-01,290.79
2010-04-01,285.9
2010-07-01,284.9
2010-10-01,278.0
2011-01-01,262.81
2011-04-01,253.23
2011-07-01,258.35
2011-10-01,262.85
2012-01-01,260.73
2012-04-01,257.71
2012-07-01,263.44
2012-10-01,267.1
2013-01-01,269.74
2013-04-01,272.52
2013-07-01,281.1
2013-10-01,281.29
2014-01-01,285.63
2014-04-01,291.23
2014-07-01,295.3
2014-10-01,296.6
2015-01-01,302.04
2015-04-01,307.41
2015-07-01,313.9
2015-10-01,318.62
2016-01-01,323.11
2016-04-01,328.93
2016-07-01,339.84
2016-10-01,341.41
2017-01-01,348.12
2017-04-01,361.64
2017-07-01,369.55
2017-10-01,375.2
2018-01-01,387.41
2018-04-01,404.71
2018-07-01,416.65
2018-10-01,424.06
2019-01-01,432.73
2019-04-01,447.82
2019-07-01,457.93
2019-10-01,468.72
2020-01-01,479.15
2020-04-01,488.15
2020-07-01,506.93
2020-10-01,530.75
2021-01-01,559.17
2021-04-01,618.5
2021-07-01,669.74
2021-10-01,692.97
2022-01-01,717.73
2022-04-01,771.04
2022-07-01,771.42
2022-10-01,742.37
