DATE,ILSTHPI
1975-01-01,66.57
1975-04-01,62.2
1975-07-01,64.06
1975-10-01,66.68
1976-01-01,67.78
1976-04-01,70.28
1976-07-01,73.41
1976-10-01,73.18
1977-01-01,80.26
1977-04-01,83.73
1977-07-01,83.17
1977-10-01,88.72
1978-01-01,90.89
1978-04-01,98.12
1978-07-01,99.45
1978-10-01,102.06
1979-01-01,97.49
1979-04-01,102.49
1979-07-01,101.16
1979-10-01,99.47
1980-01-01,100.00
1980-04-01,100.92
1980-07-01,102.39
1980-10-01,95.6
1981-01-01,101.76
1981-04-01,106.6
1981-07-01,103.0
1981-10-01,104.36
1982-01-01,94.94
1982-04-01,94.73
1982-07-01,87.04
1982-10-01,102.45
1983-01-01,100.84
1983-04-01,104.25
1983-07-01,105.53
1983-10-01,106.68
1984-01-01,107.45
1984-04-01,110.21
1984-07-01,110.85
1984-10-01,112.4
1985-01-01,113.24
1985-04-01,114.6
1985-07-01,115.99
1985-10-01,117.95
1986-01-01,119.73
1986-04-01,122.37
1986-07-01,125.09
1986-10-01,128.02
1987-01-01,130.46
1987-04-01,135.16
1987-07-01,138.34
1987-10-01,140.24
1988-01-01,143.26
1988-04-01,147.82
1988-07-01,151.16
1988-10-01,152.45
1989-01-01,155.49
1989-04-01,158.46
1989-07-01,162.01
1989-10-01,163.92
1990-01-01,165.8
1990-04-01,167.65
1990-07-01,169.61
1990-10-01,170.08
1991-01-01,172.13
1991-04-01,173.95
1991-07-01,175.17
1991-10-01,177.56
1992-01-01,178.76
1992-04-01,180.34
1992-07-01,182.07
1992-10-01,183.7
1993-01-01,184.83
1993-04-01,186.52
1993-07-01,188.45
1993-10-01,190.12
1994-01-01,192.74
1994-04-01,195.47
1994-07-01,197.17
1994-10-01,197.51
1995-01-01,199.48
1995-04-01,202.35
1995-07-01,204.79
1995-10-01,206.66
1996-01-01,208.85
1996-04-01,209.58
1996-07-01,210.51
1996-10-01,212.57
1997-01-01,213.95
1997-04-01,215.49
1997-07-01,217.69
1997-10-01,219.7
1998-01-01,221.6
1998-04-01,222.48
1998-07-01,224.61
1998-10-01,226.3
1999-01-01,228.33
1999-04-01,231.04
1999-07-01,234.43
1999-10-01,236.77
2000-01-01,241.45
2000-04-01,245.58
2000-07-01,249.63
2000-10-01,252.46
2001-01-01,255.76
2001-04-01,260.21
2001-07-01,265.04
2001-10-01,267.5
2002-01-01,272.12
2002-04-01,276.94
2002-07-01,280.51
2002-10-01,283.69
2003-01-01,286.67
2003-04-01,289.59
2003-07-01,293.68
2003-10-01,302.85
2004-01-01,306.14
2004-04-01,313.12
2004-07-01,323.41
2004-10-01,328.02
2005-01-01,334.75
2005-04-01,342.59
2005-07-01,349.78
2005-10-01,356.14
2006-01-01,360.82
2006-04-01,363.65
2006-07-01,366.39
2006-10-01,370.46
2007-01-01,372.7
2007-04-01,371.49
2007-07-01,368.48
2007-10-01,369.69
2008-01-01,368.1
2008-04-01,360.62
2008-07-01,348.48
2008-10-01,347.34
2009-01-01,345.88
2009-04-01,335.98
2009-07-01,325.4
2009-10-01,322.21
2010-01-01,316.93
2010-04-01,313.23
2010-07-01,316.47
2010-10-01,314.32
2011-01-01,303.6
2011-04-01,297.34
2011-07-01,299.51
2011-10-01,299.42
2012-01-01,295.62
2012-04-01,291.83
2012-07-01,295.21
2012-10-01,295.26
2013-01-01,293.35
2013-04-01,295.17
2013-07-01,295.78
2013-10-01,296.82
2014-01-01,297.66
2014-04-01,303.16
2014-07-01,307.39
2014-10-01,308.6
2015-01-01,312.01
2015-04-01,314.74
2015-07-01,315.83
2015-10-01,317.25
2016-01-01,318.7
2016-04-01,322.97
2016-07-01,327.61
2016-10-01,328.48
2017-01-01,327.21
2017-04-01,331.41
2017-07-01,335.3
2017-10-01,335.97
2018-01-01,337.63
2018-04-01,339.81
2018-07-01,341.0
2018-10-01,340.44
2019-01-01,343.43
2019-04-01,348.44
2019-07-01,351.78
2019-10-01,353.46
2020-01-01,355.07
2020-04-01,356.99
2020-07-01,360.77
2020-10-01,365.23
2021-01-01,369.58
2021-04-01,386.32
2021-07-01,399.78
2021-10-01,409.14
2022-01-01,420.1
2022-04-01,446.86
2022-07-01,452.14
2022-10-01,446.45
