DATE,INSTHPI
1975-01-01,66.22
1975-04-01,60.81
1975-07-01,62.09
1975-10-01,63.41
1976-01-01,62.47
1976-04-01,65.81
1976-07-01,65.82
1976-10-01,68.71
1977-01-01,71.5
1977-04-01,71.3
1977-07-01,74.06
1977-10-01,78.19
1978-01-01,82.3
1978-04-01,84.66
1978-07-01,87.18
1978-10-01,89.72
1979-01-01,93.27
1979-04-01,96.6
1979-07-01,97.97
1979-10-01,97.99
1980-01-01,100.00
1980-04-01,99.61
1980-07-01,102.29
1980-10-01,101.56
1981-01-01,104.09
1981-04-01,102.99
1981-07-01,104.96
1981-10-01,107.2
1982-01-01,104.73
1982-04-01,103.91
1982-07-01,95.45
1982-10-01,104.1
1983-01-01,106.17
1983-04-01,106.22
1983-07-01,105.92
1983-10-01,105.47
1984-01-01,105.38
1984-04-01,107.99
1984-07-01,106.94
1984-10-01,109.11
1985-01-01,109.95
1985-04-01,111.52
1985-07-01,112.13
1985-10-01,113.82
1986-01-01,115.14
1986-04-01,117.18
1986-07-01,118.88
1986-10-01,120.39
1987-01-01,122.2
1987-04-01,123.65
1987-07-01,125.14
1987-10-01,125.58
1988-01-01,128.33
1988-04-01,130.06
1988-07-01,130.65
1988-10-01,131.99
1989-01-01,133.09
1989-04-01,134.95
1989-07-01,137.31
1989-10-01,137.8
1990-01-01,138.65
1990-04-01,140.05
1990-07-01,141.33
1990-10-01,141.83
1991-01-01,144.0
1991-04-01,145.21
1991-07-01,146.3
1991-10-01,148.42
1992-01-01,149.72
1992-04-01,151.05
1992-07-01,153.36
1992-10-01,154.17
1993-01-01,155.22
1993-04-01,156.79
1993-07-01,158.68
1993-10-01,160.18
1994-01-01,161.9
1994-04-01,164.31
1994-07-01,166.22
1994-10-01,166.42
1995-01-01,168.5
1995-04-01,171.45
1995-07-01,174.47
1995-10-01,176.42
1996-01-01,178.61
1996-04-01,180.32
1996-07-01,181.71
1996-10-01,183.97
1997-01-01,185.35
1997-04-01,187.25
1997-07-01,189.98
1997-10-01,192.39
1998-01-01,194.19
1998-04-01,195.9
1998-07-01,198.11
1998-10-01,199.85
1999-01-01,201.73
1999-04-01,202.77
1999-07-01,203.9
1999-10-01,204.92
2000-01-01,206.51
2000-04-01,208.25
2000-07-01,211.09
2000-10-01,213.01
2001-01-01,217.5
2001-04-01,219.3
2001-07-01,220.81
2001-10-01,222.79
2002-01-01,224.45
2002-04-01,225.11
2002-07-01,227.55
2002-10-01,228.59
2003-01-01,230.43
2003-04-01,231.56
2003-07-01,233.18
2003-10-01,235.24
2004-01-01,236.54
2004-04-01,237.31
2004-07-01,239.99
2004-10-01,242.58
2005-01-01,244.22
2005-04-01,246.34
2005-07-01,250.04
2005-10-01,250.55
2006-01-01,250.61
2006-04-01,250.16
2006-07-01,251.58
2006-10-01,254.16
2007-01-01,254.94
2007-04-01,255.75
2007-07-01,254.71
2007-10-01,255.15
2008-01-01,257.11
2008-04-01,255.18
2008-07-01,251.24
2008-10-01,250.85
2009-01-01,254.74
2009-04-01,250.7
2009-07-01,246.31
2009-10-01,246.27
2010-01-01,242.89
2010-04-01,243.12
2010-07-01,246.3
2010-10-01,245.82
2011-01-01,240.37
2011-04-01,238.31
2011-07-01,241.14
2011-10-01,242.44
2012-01-01,240.23
2012-04-01,239.8
2012-07-01,241.93
2012-10-01,242.55
2013-01-01,242.54
2013-04-01,242.97
2013-07-01,243.75
2013-10-01,243.84
2014-01-01,243.58
2014-04-01,247.54
2014-07-01,250.07
2014-10-01,251.2
2015-01-01,254.06
2015-04-01,257.3
2015-07-01,258.11
2015-10-01,259.95
2016-01-01,260.04
2016-04-01,265.05
2016-07-01,268.91
2016-10-01,270.45
2017-01-01,271.08
2017-04-01,276.13
2017-07-01,280.97
2017-10-01,283.12
2018-01-01,287.79
2018-04-01,294.65
2018-07-01,298.31
2018-10-01,300.52
2019-01-01,304.56
2019-04-01,310.26
2019-07-01,314.96
2019-10-01,318.24
2020-01-01,321.83
2020-04-01,325.53
2020-07-01,332.52
2020-10-01,340.7
2021-01-01,347.35
2021-04-01,367.58
2021-07-01,385.97
2021-10-01,399.11
2022-01-01,410.99
2022-04-01,437.52
2022-07-01,447.7
2022-10-01,445.3
