DATE,KSSTHPI
1975-01-01,61.98
1975-04-01,62.31
1975-07-01,63.29
1975-10-01,64.58
1976-01-01,66.57
1976-04-01,67.33
1976-07-01,68.55
1976-10-01,70.4
1977-01-01,72.62
1977-04-01,75.8
1977-07-01,77.35
1977-10-01,79.66
1978-01-01,82.37
1978-04-01,84.9
1978-07-01,88.35
1978-10-01,90.22
1979-01-01,92.15
1979-04-01,94.14
1979-07-01,97.39
1979-10-01,97.9
1980-01-01,100.00
1980-04-01,101.44
1980-07-01,102.26
1980-10-01,104.03
1981-01-01,98.2
1981-04-01,103.1
1981-07-01,103.34
1981-10-01,104.97
1982-01-01,103.57
1982-04-01,104.1
1982-07-01,104.88
1982-10-01,105.06
1983-01-01,106.04
1983-04-01,108.55
1983-07-01,106.38
1983-10-01,107.45
1984-01-01,107.51
1984-04-01,107.86
1984-07-01,107.45
1984-10-01,107.33
1985-01-01,108.47
1985-04-01,108.96
1985-07-01,109.51
1985-10-01,110.3
1986-01-01,112.54
1986-04-01,113.0
1986-07-01,114.09
1986-10-01,114.53
1987-01-01,115.38
1987-04-01,117.25
1987-07-01,116.87
1987-10-01,116.2
1988-01-01,116.6
1988-04-01,117.75
1988-07-01,116.76
1988-10-01,118.38
1989-01-01,117.4
1989-04-01,119.47
1989-07-01,119.1
1989-10-01,119.69
1990-01-01,119.56
1990-04-01,119.03
1990-07-01,119.23
1990-10-01,118.8
1991-01-01,119.28
1991-04-01,120.14
1991-07-01,120.34
1991-10-01,121.83
1992-01-01,122.54
1992-04-01,123.08
1992-07-01,124.53
1992-10-01,124.87
1993-01-01,125.67
1993-04-01,126.6
1993-07-01,128.38
1993-10-01,129.59
1994-01-01,131.72
1994-04-01,135.7
1994-07-01,137.31
1994-10-01,138.46
1995-01-01,139.8
1995-04-01,142.59
1995-07-01,143.97
1995-10-01,146.1
1996-01-01,146.57
1996-04-01,149.31
1996-07-01,151.01
1996-10-01,152.32
1997-01-01,152.84
1997-04-01,155.14
1997-07-01,156.98
1997-10-01,158.83
1998-01-01,160.69
1998-04-01,162.31
1998-07-01,165.08
1998-10-01,166.83
1999-01-01,168.63
1999-04-01,171.95
1999-07-01,173.83
1999-10-01,174.9
2000-01-01,178.42
2000-04-01,179.77
2000-07-01,182.34
2000-10-01,184.16
2001-01-01,187.79
2001-04-01,190.04
2001-07-01,192.16
2001-10-01,193.86
2002-01-01,196.43
2002-04-01,198.35
2002-07-01,200.31
2002-10-01,201.89
2003-01-01,203.44
2003-04-01,204.89
2003-07-01,206.37
2003-10-01,209.67
2004-01-01,211.6
2004-04-01,213.8
2004-07-01,216.04
2004-10-01,218.68
2005-01-01,220.88
2005-04-01,223.94
2005-07-01,226.59
2005-10-01,227.72
2006-01-01,228.82
2006-04-01,230.82
2006-07-01,232.79
2006-10-01,234.96
2007-01-01,236.34
2007-04-01,238.93
2007-07-01,238.31
2007-10-01,238.43
2008-01-01,240.07
2008-04-01,238.55
2008-07-01,235.69
2008-10-01,236.13
2009-01-01,238.94
2009-04-01,237.27
2009-07-01,235.49
2009-10-01,235.04
2010-01-01,233.31
2010-04-01,232.82
2010-07-01,235.42
2010-10-01,235.3
2011-01-01,231.52
2011-04-01,228.03
2011-07-01,230.64
2011-10-01,232.59
2012-01-01,230.83
2012-04-01,229.75
2012-07-01,232.01
2012-10-01,232.26
2013-01-01,233.24
2013-04-01,231.84
2013-07-01,234.4
2013-10-01,233.69
2014-01-01,234.6
2014-04-01,237.91
2014-07-01,241.4
2014-10-01,241.25
2015-01-01,243.25
2015-04-01,246.17
2015-07-01,249.05
2015-10-01,249.21
2016-01-01,251.39
2016-04-01,256.32
2016-07-01,260.14
2016-10-01,261.92
2017-01-01,261.61
2017-04-01,268.67
2017-07-01,271.25
2017-10-01,272.12
2018-01-01,276.24
2018-04-01,281.41
2018-07-01,282.38
2018-10-01,284.77
2019-01-01,287.08
2019-04-01,292.15
2019-07-01,295.65
2019-10-01,297.47
2020-01-01,301.81
2020-04-01,304.52
2020-07-01,311.01
2020-10-01,317.22
2021-01-01,322.85
2021-04-01,341.22
2021-07-01,356.44
2021-10-01,363.27
2022-01-01,375.4
2022-04-01,400.63
2022-07-01,407.31
2022-10-01,401.31
