DATE,KYSTHPI
1975-01-01,64.14
1975-04-01,65.68
1975-07-01,66.84
1975-10-01,68.29
1976-01-01,69.46
1976-04-01,68.61
1976-07-01,69.06
1976-10-01,69.19
1977-01-01,69.8
1977-04-01,73.44
1977-07-01,76.48
1977-10-01,78.5
1978-01-01,81.55
1978-04-01,83.9
1978-07-01,88.52
1978-10-01,91.75
1979-01-01,95.56
1979-04-01,97.68
1979-07-01,96.83
1979-10-01,99.35
1980-01-01,100.00
1980-04-01,100.98
1980-07-01,101.14
1980-10-01,104.55
1981-01-01,107.37
1981-04-01,105.7
1981-07-01,103.26
1981-10-01,103.56
1982-01-01,106.58
1982-04-01,106.44
1982-07-01,104.49
1982-10-01,107.01
1983-01-01,108.47
1983-04-01,109.64
1983-07-01,109.97
1983-10-01,109.09
1984-01-01,112.65
1984-04-01,110.53
1984-07-01,112.73
1984-10-01,112.58
1985-01-01,114.14
1985-04-01,115.28
1985-07-01,114.67
1985-10-01,116.93
1986-01-01,118.64
1986-04-01,120.66
1986-07-01,120.8
1986-10-01,123.48
1987-01-01,124.99
1987-04-01,126.27
1987-07-01,129.13
1987-10-01,129.43
1988-01-01,131.69
1988-04-01,132.81
1988-07-01,135.02
1988-10-01,136.31
1989-01-01,137.91
1989-04-01,138.85
1989-07-01,141.75
1989-10-01,142.41
1990-01-01,142.96
1990-04-01,144.18
1990-07-01,145.24
1990-10-01,144.92
1991-01-01,147.29
1991-04-01,148.51
1991-07-01,149.29
1991-10-01,151.19
1992-01-01,152.22
1992-04-01,153.47
1992-07-01,155.52
1992-10-01,156.82
1993-01-01,157.67
1993-04-01,159.52
1993-07-01,160.72
1993-10-01,162.64
1994-01-01,165.33
1994-04-01,169.65
1994-07-01,171.12
1994-10-01,172.97
1995-01-01,174.91
1995-04-01,177.8
1995-07-01,180.27
1995-10-01,181.99
1996-01-01,184.19
1996-04-01,185.9
1996-07-01,187.74
1996-10-01,189.67
1997-01-01,192.6
1997-04-01,193.63
1997-07-01,195.87
1997-10-01,198.29
1998-01-01,200.07
1998-04-01,202.42
1998-07-01,204.9
1998-10-01,207.58
1999-01-01,209.42
1999-04-01,211.78
1999-07-01,213.62
1999-10-01,215.38
2000-01-01,218.61
2000-04-01,220.59
2000-07-01,222.5
2000-10-01,225.31
2001-01-01,229.68
2001-04-01,231.73
2001-07-01,233.65
2001-10-01,235.51
2002-01-01,237.38
2002-04-01,239.0
2002-07-01,241.53
2002-10-01,243.8
2003-01-01,245.84
2003-04-01,247.75
2003-07-01,249.83
2003-10-01,253.47
2004-01-01,256.53
2004-04-01,258.77
2004-07-01,261.82
2004-10-01,266.83
2005-01-01,268.69
2005-04-01,272.4
2005-07-01,276.9
2005-10-01,278.29
2006-01-01,280.92
2006-04-01,281.87
2006-07-01,283.04
2006-10-01,286.13
2007-01-01,288.55
2007-04-01,289.34
2007-07-01,288.9
2007-10-01,292.02
2008-01-01,293.33
2008-04-01,293.19
2008-07-01,288.72
2008-10-01,290.52
2009-01-01,293.02
2009-04-01,290.18
2009-07-01,286.77
2009-10-01,286.77
2010-01-01,284.84
2010-04-01,283.63
2010-07-01,287.61
2010-10-01,287.23
2011-01-01,283.07
2011-04-01,280.29
2011-07-01,282.53
2011-10-01,283.57
2012-01-01,283.27
2012-04-01,282.28
2012-07-01,284.5
2012-10-01,285.63
2013-01-01,285.47
2013-04-01,286.26
2013-07-01,285.79
2013-10-01,284.56
2014-01-01,284.77
2014-04-01,289.18
2014-07-01,290.45
2014-10-01,292.56
2015-01-01,295.37
2015-04-01,298.96
2015-07-01,300.58
2015-10-01,303.06
2016-01-01,304.59
2016-04-01,310.07
2016-07-01,313.37
2016-10-01,315.33
2017-01-01,318.08
2017-04-01,324.44
2017-07-01,328.97
2017-10-01,329.64
2018-01-01,334.14
2018-04-01,338.53
2018-07-01,341.29
2018-10-01,342.92
2019-01-01,346.58
2019-04-01,352.01
2019-07-01,357.35
2019-10-01,359.58
2020-01-01,363.69
2020-04-01,367.8
2020-07-01,374.22
2020-10-01,381.74
2021-01-01,388.85
2021-04-01,406.59
2021-07-01,427.28
2021-10-01,441.1
2022-01-01,453.17
2022-04-01,480.39
2022-07-01,489.85
2022-10-01,493.11
