DATE,LASTHPI
1975-01-01,51.69
1975-04-01,55.1
1975-07-01,52.85
1975-10-01,55.62
1976-01-01,58.79
1976-04-01,58.75
1976-07-01,58.16
1976-10-01,61.67
1977-01-01,62.86
1977-04-01,65.15
1977-07-01,62.67
1977-10-01,68.41
1978-01-01,73.02
1978-04-01,73.46
1978-07-01,77.79
1978-10-01,81.81
1979-01-01,87.9
1979-04-01,91.99
1979-07-01,95.73
1979-10-01,97.43
1980-01-01,100.00
1980-04-01,99.32
1980-07-01,100.99
1980-10-01,102.65
1981-01-01,106.59
1981-04-01,108.33
1981-07-01,111.17
1981-10-01,112.99
1982-01-01,110.08
1982-04-01,114.46
1982-07-01,115.23
1982-10-01,115.04
1983-01-01,116.04
1983-04-01,117.01
1983-07-01,115.66
1983-10-01,116.42
1984-01-01,116.55
1984-04-01,117.2
1984-07-01,115.87
1984-10-01,114.57
1985-01-01,111.56
1985-04-01,113.15
1985-07-01,113.19
1985-10-01,110.74
1986-01-01,113.67
1986-04-01,114.36
1986-07-01,111.74
1986-10-01,110.66
1987-01-01,110.71
1987-04-01,110.29
1987-07-01,104.88
1987-10-01,104.76
1988-01-01,101.96
1988-04-01,102.38
1988-07-01,101.11
1988-10-01,99.72
1989-01-01,100.51
1989-04-01,100.54
1989-07-01,102.33
1989-10-01,102.2
1990-01-01,101.61
1990-04-01,102.51
1990-07-01,103.05
1990-10-01,103.55
1991-01-01,102.99
1991-04-01,105.31
1991-07-01,106.3
1991-10-01,108.03
1992-01-01,109.31
1992-04-01,110.39
1992-07-01,111.83
1992-10-01,112.95
1993-01-01,113.76
1993-04-01,115.8
1993-07-01,117.84
1993-10-01,119.43
1994-01-01,121.55
1994-04-01,124.28
1994-07-01,125.49
1994-10-01,125.41
1995-01-01,126.86
1995-04-01,129.47
1995-07-01,131.46
1995-10-01,132.81
1996-01-01,134.74
1996-04-01,136.41
1996-07-01,137.23
1996-10-01,139.26
1997-01-01,140.65
1997-04-01,141.61
1997-07-01,143.57
1997-10-01,145.91
1998-01-01,147.89
1998-04-01,149.22
1998-07-01,151.72
1998-10-01,153.15
1999-01-01,154.52
1999-04-01,156.12
1999-07-01,157.25
1999-10-01,157.7
2000-01-01,160.07
2000-04-01,160.68
2000-07-01,162.59
2000-10-01,163.99
2001-01-01,168.22
2001-04-01,169.94
2001-07-01,171.53
2001-10-01,173.14
2002-01-01,174.13
2002-04-01,175.52
2002-07-01,178.57
2002-10-01,181.2
2003-01-01,183.17
2003-04-01,185.07
2003-07-01,186.77
2003-10-01,189.87
2004-01-01,192.02
2004-04-01,194.93
2004-07-01,198.22
2004-10-01,200.93
2005-01-01,203.14
2005-04-01,207.34
2005-07-01,211.31
2005-10-01,218.5
2006-01-01,225.07
2006-04-01,230.93
2006-07-01,235.76
2006-10-01,239.6
2007-01-01,242.17
2007-04-01,244.59
2007-07-01,245.79
2007-10-01,246.71
2008-01-01,247.31
2008-04-01,246.98
2008-07-01,243.92
2008-10-01,244.67
2009-01-01,247.91
2009-04-01,246.09
2009-07-01,242.72
2009-10-01,243.04
2010-01-01,240.85
2010-04-01,239.65
2010-07-01,242.62
2010-10-01,242.15
2011-01-01,238.52
2011-04-01,237.5
2011-07-01,237.71
2011-10-01,240.75
2012-01-01,239.54
2012-04-01,240.08
2012-07-01,243.64
2012-10-01,243.6
2013-01-01,243.21
2013-04-01,244.66
2013-07-01,246.32
2013-10-01,245.95
2014-01-01,246.8
2014-04-01,249.32
2014-07-01,253.05
2014-10-01,253.59
2015-01-01,257.05
2015-04-01,259.2
2015-07-01,262.14
2015-10-01,262.3
2016-01-01,264.94
2016-04-01,268.45
2016-07-01,271.0
2016-10-01,272.47
2017-01-01,270.94
2017-04-01,274.43
2017-07-01,278.09
2017-10-01,279.07
2018-01-01,279.16
2018-04-01,279.9
2018-07-01,281.42
2018-10-01,281.68
2019-01-01,284.73
2019-04-01,287.51
2019-07-01,289.5
2019-10-01,291.97
2020-01-01,294.77
2020-04-01,297.56
2020-07-01,299.88
2020-10-01,303.6
2021-01-01,307.16
2021-04-01,315.69
2021-07-01,326.41
2021-10-01,333.94
2022-01-01,342.74
2022-04-01,359.02
2022-07-01,362.94
2022-10-01,361.71
