DATE,MASTHPI
1975-01-01,67.86
1975-04-01,66.2
1975-07-01,67.1
1975-10-01,70.56
1976-01-01,67.4
1976-04-01,68.98
1976-07-01,68.64
1976-10-01,70.16
1977-01-01,72.45
1977-04-01,70.14
1977-07-01,73.81
1977-10-01,73.25
1978-01-01,78.15
1978-04-01,79.9
1978-07-01,84.64
1978-10-01,87.03
1979-01-01,90.93
1979-04-01,93.88
1979-07-01,97.12
1979-10-01,98.02
1980-01-01,100.00
1980-04-01,103.95
1980-07-01,108.4
1980-10-01,108.66
1981-01-01,112.54
1981-04-01,118.69
1981-07-01,121.49
1981-10-01,121.39
1982-01-01,123.53
1982-04-01,124.52
1982-07-01,126.42
1982-10-01,127.91
1983-01-01,130.09
1983-04-01,135.9
1983-07-01,142.83
1983-10-01,148.16
1984-01-01,156.28
1984-04-01,164.55
1984-07-01,174.41
1984-10-01,180.55
1985-01-01,190.2
1985-04-01,204.62
1985-07-01,217.58
1985-10-01,231.95
1986-01-01,241.27
1986-04-01,253.29
1986-07-01,265.63
1986-10-01,278.32
1987-01-01,287.82
1987-04-01,295.08
1987-07-01,303.78
1987-10-01,306.24
1988-01-01,309.75
1988-04-01,314.95
1988-07-01,313.76
1988-10-01,316.11
1989-01-01,313.39
1989-04-01,311.34
1989-07-01,316.06
1989-10-01,316.79
1990-01-01,312.75
1990-04-01,303.72
1990-07-01,298.61
1990-10-01,291.51
1991-01-01,288.48
1991-04-01,285.54
1991-07-01,282.27
1991-10-01,284.94
1992-01-01,284.05
1992-04-01,280.57
1992-07-01,282.12
1992-10-01,282.79
1993-01-01,280.87
1993-04-01,282.62
1993-07-01,283.61
1993-10-01,285.34
1994-01-01,285.53
1994-04-01,282.64
1994-07-01,282.39
1994-10-01,279.97
1995-01-01,281.73
1995-04-01,286.98
1995-07-01,291.69
1995-10-01,293.28
1996-01-01,296.9
1996-04-01,297.35
1996-07-01,298.66
1996-10-01,302.53
1997-01-01,305.2
1997-04-01,309.72
1997-07-01,314.23
1997-10-01,318.98
1998-01-01,323.33
1998-04-01,330.09
1998-07-01,338.36
1998-10-01,343.33
1999-01-01,350.26
1999-04-01,361.73
1999-07-01,376.7
1999-10-01,385.57
2000-01-01,401.88
2000-04-01,414.84
2000-07-01,430.04
2000-10-01,440.41
2001-01-01,452.27
2001-04-01,466.01
2001-07-01,481.57
2001-10-01,491.4
2002-01-01,505.67
2002-04-01,524.28
2002-07-01,539.64
2002-10-01,551.85
2003-01-01,562.76
2003-04-01,571.88
2003-07-01,582.62
2003-10-01,607.57
2004-01-01,617.79
2004-04-01,632.31
2004-07-01,662.76
2004-10-01,673.81
2005-01-01,688.18
2005-04-01,704.49
2005-07-01,715.63
2005-10-01,720.84
2006-01-01,721.4
2006-04-01,712.61
2006-07-01,707.3
2006-10-01,709.23
2007-01-01,703.79
2007-04-01,693.79
2007-07-01,680.19
2007-10-01,680.22
2008-01-01,676.76
2008-04-01,655.32
2008-07-01,638.98
2008-10-01,639.8
2009-01-01,640.09
2009-04-01,624.27
2009-07-01,613.65
2009-10-01,614.64
2010-01-01,610.97
2010-04-01,609.19
2010-07-01,612.76
2010-10-01,612.51
2011-01-01,603.64
2011-04-01,596.7
2011-07-01,599.89
2011-10-01,600.64
2012-01-01,596.83
2012-04-01,595.11
2012-07-01,599.15
2012-10-01,602.03
2013-01-01,603.81
2013-04-01,608.97
2013-07-01,615.93
2013-10-01,619.05
2014-01-01,623.01
2014-04-01,636.83
2014-07-01,644.07
2014-10-01,648.39
2015-01-01,654.08
2015-04-01,661.93
2015-07-01,672.73
2015-10-01,676.63
2016-01-01,684.03
2016-04-01,693.52
2016-07-01,705.87
2016-10-01,712.33
2017-01-01,716.08
2017-04-01,734.78
2017-07-01,745.16
2017-10-01,751.14
2018-01-01,759.71
2018-04-01,774.07
2018-07-01,783.61
2018-10-01,784.6
2019-01-01,793.83
2019-04-01,805.74
2019-07-01,815.1
2019-10-01,822.61
2020-01-01,831.25
2020-04-01,839.75
2020-07-01,854.65
2020-10-01,871.78
2021-01-01,890.7
2021-04-01,938.62
2021-07-01,987.62
2021-10-01,1010.28
2022-01-01,1036.19
2022-04-01,1105.75
2022-07-01,1115.83
2022-10-01,1103.4
