DATE,MDSTHPI
1975-01-01,61.89
1975-04-01,62.35
1975-07-01,65.15
1975-10-01,67.02
1976-01-01,67.32
1976-04-01,69.89
1976-07-01,70.67
1976-10-01,71.76
1977-01-01,72.26
1977-04-01,73.52
1977-07-01,76.75
1977-10-01,77.15
1978-01-01,81.91
1978-04-01,83.38
1978-07-01,85.82
1978-10-01,88.43
1979-01-01,91.07
1979-04-01,94.82
1979-07-01,96.89
1979-10-01,98.27
1980-01-01,100.00
1980-04-01,103.19
1980-07-01,104.97
1980-10-01,107.55
1981-01-01,110.72
1981-04-01,112.95
1981-07-01,111.36
1981-10-01,114.45
1982-01-01,106.83
1982-04-01,108.41
1982-07-01,106.56
1982-10-01,110.99
1983-01-01,113.48
1983-04-01,115.61
1983-07-01,116.78
1983-10-01,118.16
1984-01-01,118.83
1984-04-01,122.87
1984-07-01,124.31
1984-10-01,124.77
1985-01-01,126.79
1985-04-01,128.68
1985-07-01,130.91
1985-10-01,131.18
1986-01-01,133.84
1986-04-01,137.67
1986-07-01,141.15
1986-10-01,144.88
1987-01-01,149.02
1987-04-01,153.38
1987-07-01,160.26
1987-10-01,162.63
1988-01-01,168.06
1988-04-01,173.99
1988-07-01,179.62
1988-10-01,183.81
1989-01-01,188.44
1989-04-01,193.19
1989-07-01,196.72
1989-10-01,199.95
1990-01-01,202.34
1990-04-01,202.98
1990-07-01,204.01
1990-10-01,202.81
1991-01-01,204.22
1991-04-01,206.34
1991-07-01,205.76
1991-10-01,209.78
1992-01-01,210.55
1992-04-01,209.19
1992-07-01,211.15
1992-10-01,211.84
1993-01-01,211.28
1993-04-01,211.94
1993-07-01,212.63
1993-10-01,213.48
1994-01-01,213.88
1994-04-01,211.79
1994-07-01,209.85
1994-10-01,208.03
1995-01-01,208.12
1995-04-01,210.83
1995-07-01,213.34
1995-10-01,214.88
1996-01-01,217.47
1996-04-01,215.07
1996-07-01,213.27
1996-10-01,215.86
1997-01-01,216.63
1997-04-01,215.57
1997-07-01,217.42
1997-10-01,219.93
1998-01-01,222.67
1998-04-01,222.47
1998-07-01,223.78
1998-10-01,225.98
1999-01-01,228.44
1999-04-01,229.34
1999-07-01,231.37
1999-10-01,233.97
2000-01-01,238.43
2000-04-01,240.98
2000-07-01,245.41
2000-10-01,249.2
2001-01-01,254.96
2001-04-01,259.95
2001-07-01,266.83
2001-10-01,271.15
2002-01-01,277.91
2002-04-01,287.03
2002-07-01,295.98
2002-10-01,302.02
2003-01-01,307.81
2003-04-01,314.47
2003-07-01,324.04
2003-10-01,341.55
2004-01-01,351.08
2004-04-01,367.54
2004-07-01,394.53
2004-10-01,408.14
2005-01-01,426.26
2005-04-01,452.15
2005-07-01,475.57
2005-10-01,494.73
2006-01-01,508.4
2006-04-01,518.82
2006-07-01,525.84
2006-10-01,532.65
2007-01-01,534.36
2007-04-01,535.37
2007-07-01,527.66
2007-10-01,524.79
2008-01-01,516.75
2008-04-01,498.91
2008-07-01,478.68
2008-10-01,471.5
2009-01-01,466.79
2009-04-01,448.65
2009-07-01,437.54
2009-10-01,429.93
2010-01-01,426.66
2010-04-01,421.4
2010-07-01,426.8
2010-10-01,422.71
2011-01-01,409.92
2011-04-01,401.81
2011-07-01,407.86
2011-10-01,409.76
2012-01-01,403.88
2012-04-01,399.95
2012-07-01,405.39
2012-10-01,406.88
2013-01-01,406.87
2013-04-01,410.6
2013-07-01,412.15
2013-10-01,412.9
2014-01-01,414.11
2014-04-01,420.67
2014-07-01,423.52
2014-10-01,427.17
2015-01-01,429.72
2015-04-01,432.67
2015-07-01,432.57
2015-10-01,433.67
2016-01-01,437.45
2016-04-01,442.21
2016-07-01,447.92
2016-10-01,449.46
2017-01-01,447.14
2017-04-01,455.46
2017-07-01,459.05
2017-10-01,461.81
2018-01-01,464.41
2018-04-01,468.76
2018-07-01,469.42
2018-10-01,467.42
2019-01-01,472.14
2019-04-01,480.17
2019-07-01,485.14
2019-10-01,486.8
2020-01-01,492.12
2020-04-01,496.64
2020-07-01,503.06
2020-10-01,512.32
2021-01-01,523.87
2021-04-01,548.36
2021-07-01,570.57
2021-10-01,583.15
2022-01-01,600.11
2022-04-01,629.02
2022-07-01,630.78
2022-10-01,629.49
