DATE,MESTHPI
1975-01-01,60.84
1975-04-01,88.28
1975-07-01,68.41
1975-10-01,71.15
1976-01-01,55.77
1976-04-01,70.02
1976-07-01,83.57
1976-10-01,70.64
1977-01-01,74.6
1977-04-01,80.8
1977-07-01,81.56
1977-10-01,86.59
1978-01-01,82.57
1978-04-01,91.62
1978-07-01,90.32
1978-10-01,94.35
1979-01-01,104.9
1979-04-01,103.13
1979-07-01,98.21
1979-10-01,105.47
1980-01-01,100.00
1980-04-01,104.5
1980-07-01,109.41
1980-10-01,105.78
1981-01-01,119.28
1981-04-01,113.75
1981-07-01,108.78
1981-10-01,117.5
1982-01-01,105.24
1982-04-01,114.3
1982-07-01,109.81
1982-10-01,113.13
1983-01-01,114.19
1983-04-01,119.73
1983-07-01,125.38
1983-10-01,131.12
1984-01-01,132.44
1984-04-01,138.73
1984-07-01,142.5
1984-10-01,140.19
1985-01-01,145.81
1985-04-01,150.5
1985-07-01,156.35
1985-10-01,164.44
1986-01-01,167.25
1986-04-01,173.23
1986-07-01,180.66
1986-10-01,188.77
1987-01-01,196.14
1987-04-01,204.03
1987-07-01,214.26
1987-10-01,221.93
1988-01-01,227.75
1988-04-01,229.78
1988-07-01,236.44
1988-10-01,237.57
1989-01-01,238.91
1989-04-01,241.94
1989-07-01,244.33
1989-10-01,246.59
1990-01-01,243.49
1990-04-01,238.93
1990-07-01,234.71
1990-10-01,237.06
1991-01-01,230.54
1991-04-01,233.7
1991-07-01,229.9
1991-10-01,232.41
1992-01-01,233.77
1992-04-01,228.99
1992-07-01,229.99
1992-10-01,231.54
1993-01-01,228.28
1993-04-01,231.19
1993-07-01,229.5
1993-10-01,231.63
1994-01-01,231.49
1994-04-01,225.57
1994-07-01,224.11
1994-10-01,220.44
1995-01-01,222.56
1995-04-01,225.89
1995-07-01,230.08
1995-10-01,230.4
1996-01-01,235.69
1996-04-01,232.86
1996-07-01,232.23
1996-10-01,235.9
1997-01-01,234.67
1997-04-01,236.79
1997-07-01,240.23
1997-10-01,243.75
1998-01-01,247.07
1998-04-01,249.01
1998-07-01,252.04
1998-10-01,255.75
1999-01-01,258.34
1999-04-01,263.85
1999-07-01,269.52
1999-10-01,272.06
2000-01-01,277.8
2000-04-01,285.45
2000-07-01,291.93
2000-10-01,297.72
2001-01-01,306.25
2001-04-01,312.05
2001-07-01,321.37
2001-10-01,326.37
2002-01-01,333.63
2002-04-01,344.05
2002-07-01,353.8
2002-10-01,360.28
2003-01-01,367.09
2003-04-01,372.28
2003-07-01,383.09
2003-10-01,397.39
2004-01-01,406.49
2004-04-01,418.15
2004-07-01,438.13
2004-10-01,447.27
2005-01-01,460.28
2005-04-01,470.58
2005-07-01,482.94
2005-10-01,490.56
2006-01-01,494.9
2006-04-01,492.24
2006-07-01,495.39
2006-10-01,502.98
2007-01-01,506.26
2007-04-01,502.83
2007-07-01,499.76
2007-10-01,505.92
2008-01-01,508.11
2008-04-01,499.8
2008-07-01,488.27
2008-10-01,485.14
2009-01-01,489.51
2009-04-01,478.5
2009-07-01,467.71
2009-10-01,462.53
2010-01-01,459.53
2010-04-01,453.87
2010-07-01,459.13
2010-10-01,460.17
2011-01-01,452.78
2011-04-01,445.15
2011-07-01,448.86
2011-10-01,451.65
2012-01-01,446.57
2012-04-01,441.99
2012-07-01,443.19
2012-10-01,443.95
2013-01-01,446.84
2013-04-01,448.83
2013-07-01,446.0
2013-10-01,443.92
2014-01-01,445.84
2014-04-01,449.79
2014-07-01,457.27
2014-10-01,455.46
2015-01-01,461.62
2015-04-01,464.56
2015-07-01,466.87
2015-10-01,469.88
2016-01-01,473.99
2016-04-01,478.25
2016-07-01,488.59
2016-10-01,492.91
2017-01-01,496.6
2017-04-01,500.72
2017-07-01,510.67
2017-10-01,516.39
2018-01-01,521.98
2018-04-01,530.96
2018-07-01,538.52
2018-10-01,540.37
2019-01-01,545.75
2019-04-01,558.29
2019-07-01,565.83
2019-10-01,573.07
2020-01-01,578.47
2020-04-01,587.62
2020-07-01,600.55
2020-10-01,622.46
2021-01-01,641.06
2021-04-01,681.07
2021-07-01,729.75
2021-10-01,752.49
2022-01-01,779.46
2022-04-01,835.78
2022-07-01,859.36
2022-10-01,856.8
