DATE,MISTHPI
1975-01-01,60.22
1975-04-01,62.6
1975-07-01,63.29
1975-10-01,62.37
1976-01-01,62.84
1976-04-01,64.21
1976-07-01,64.32
1976-10-01,65.7
1977-01-01,67.31
1977-04-01,68.17
1977-07-01,71.31
1977-10-01,72.68
1978-01-01,75.67
1978-04-01,79.52
1978-07-01,83.05
1978-10-01,86.81
1979-01-01,91.33
1979-04-01,96.15
1979-07-01,99.08
1979-10-01,99.55
1980-01-01,100.00
1980-04-01,101.93
1980-07-01,102.89
1980-10-01,101.77
1981-01-01,103.25
1981-04-01,103.49
1981-07-01,106.27
1981-10-01,105.4
1982-01-01,104.66
1982-04-01,99.65
1982-07-01,94.56
1982-10-01,87.72
1983-01-01,96.66
1983-04-01,97.11
1983-07-01,97.27
1983-10-01,95.16
1984-01-01,97.58
1984-04-01,97.16
1984-07-01,97.27
1984-10-01,97.48
1985-01-01,99.7
1985-04-01,100.79
1985-07-01,102.69
1985-10-01,103.8
1986-01-01,105.43
1986-04-01,108.79
1986-07-01,112.07
1986-10-01,114.55
1987-01-01,117.53
1987-04-01,121.46
1987-07-01,124.08
1987-10-01,126.1
1988-01-01,127.91
1988-04-01,131.14
1988-07-01,133.31
1988-10-01,134.47
1989-01-01,136.51
1989-04-01,139.36
1989-07-01,142.66
1989-10-01,143.23
1990-01-01,145.36
1990-04-01,147.66
1990-07-01,148.58
1990-10-01,148.95
1991-01-01,150.72
1991-04-01,152.76
1991-07-01,153.97
1991-10-01,155.86
1992-01-01,157.11
1992-04-01,158.14
1992-07-01,159.32
1992-10-01,160.54
1993-01-01,161.17
1993-04-01,162.4
1993-07-01,163.83
1993-10-01,165.23
1994-01-01,167.08
1994-04-01,169.88
1994-07-01,173.21
1994-10-01,175.36
1995-01-01,178.52
1995-04-01,181.99
1995-07-01,185.29
1995-10-01,188.4
1996-01-01,191.09
1996-04-01,196.4
1996-07-01,200.9
1996-10-01,203.58
1997-01-01,207.06
1997-04-01,211.54
1997-07-01,215.21
1997-10-01,218.26
1998-01-01,220.73
1998-04-01,224.92
1998-07-01,228.66
1998-10-01,230.79
1999-01-01,234.47
1999-04-01,239.56
1999-07-01,244.36
1999-10-01,247.38
2000-01-01,253.03
2000-04-01,256.58
2000-07-01,261.13
2000-10-01,264.88
2001-01-01,269.03
2001-04-01,272.52
2001-07-01,276.14
2001-10-01,278.41
2002-01-01,281.86
2002-04-01,284.98
2002-07-01,287.6
2002-10-01,289.43
2003-01-01,291.62
2003-04-01,293.89
2003-07-01,296.49
2003-10-01,300.81
2004-01-01,302.82
2004-04-01,304.9
2004-07-01,309.08
2004-10-01,312.45
2005-01-01,315.03
2005-04-01,316.78
2005-07-01,319.45
2005-10-01,318.68
2006-01-01,317.37
2006-04-01,312.18
2006-07-01,309.79
2006-10-01,311.39
2007-01-01,308.85
2007-04-01,303.16
2007-07-01,293.55
2007-10-01,292.35
2008-01-01,291.54
2008-04-01,279.58
2008-07-01,268.23
2008-10-01,265.43
2009-01-01,271.0
2009-04-01,260.44
2009-07-01,248.67
2009-10-01,244.34
2010-01-01,239.56
2010-04-01,235.74
2010-07-01,239.83
2010-10-01,239.24
2011-01-01,229.5
2011-04-01,225.68
2011-07-01,230.28
2011-10-01,232.06
2012-01-01,227.55
2012-04-01,226.44
2012-07-01,230.96
2012-10-01,234.14
2013-01-01,236.72
2013-04-01,241.68
2013-07-01,247.25
2013-10-01,249.21
2014-01-01,251.58
2014-04-01,259.15
2014-07-01,264.97
2014-10-01,267.18
2015-01-01,268.4
2015-04-01,274.12
2015-07-01,278.88
2015-10-01,280.14
2016-01-01,282.36
2016-04-01,288.52
2016-07-01,294.08
2016-10-01,296.18
2017-01-01,299.9
2017-04-01,308.1
2017-07-01,314.15
2017-10-01,315.99
2018-01-01,319.96
2018-04-01,327.86
2018-07-01,333.04
2018-10-01,333.81
2019-01-01,338.2
2019-04-01,345.08
2019-07-01,349.29
2019-10-01,351.75
2020-01-01,355.07
2020-04-01,358.8
2020-07-01,366.69
2020-10-01,374.28
2021-01-01,382.17
2021-04-01,403.61
2021-07-01,424.46
2021-10-01,433.76
2022-01-01,445.84
2022-04-01,474.83
2022-07-01,481.75
2022-10-01,474.71
