DATE,MNSTHPI
1975-01-01,55.57
1975-04-01,55.97
1975-07-01,58.17
1975-10-01,60.1
1976-01-01,62.99
1976-04-01,62.58
1976-07-01,63.15
1976-10-01,64.69
1977-01-01,66.79
1977-04-01,68.97
1977-07-01,73.13
1977-10-01,75.05
1978-01-01,76.53
1978-04-01,82.21
1978-07-01,85.71
1978-10-01,87.76
1979-01-01,91.45
1979-04-01,94.61
1979-07-01,97.52
1979-10-01,99.3
1980-01-01,100.00
1980-04-01,102.61
1980-07-01,106.88
1980-10-01,104.9
1981-01-01,101.13
1981-04-01,100.14
1981-07-01,103.71
1981-10-01,106.81
1982-01-01,89.5
1982-04-01,91.84
1982-07-01,98.84
1982-10-01,106.09
1983-01-01,109.82
1983-04-01,111.71
1983-07-01,111.53
1983-10-01,109.33
1984-01-01,113.54
1984-04-01,113.64
1984-07-01,115.56
1984-10-01,115.74
1985-01-01,116.76
1985-04-01,118.24
1985-07-01,115.52
1985-10-01,119.9
1986-01-01,121.31
1986-04-01,120.48
1986-07-01,124.06
1986-10-01,123.92
1987-01-01,126.83
1987-04-01,129.06
1987-07-01,130.43
1987-10-01,129.51
1988-01-01,131.78
1988-04-01,133.64
1988-07-01,133.58
1988-10-01,134.4
1989-01-01,134.82
1989-04-01,136.66
1989-07-01,138.69
1989-10-01,139.41
1990-01-01,139.47
1990-04-01,139.48
1990-07-01,140.27
1990-10-01,140.21
1991-01-01,142.22
1991-04-01,143.34
1991-07-01,143.71
1991-10-01,146.22
1992-01-01,146.94
1992-04-01,147.77
1992-07-01,149.47
1992-10-01,150.44
1993-01-01,151.75
1993-04-01,153.21
1993-07-01,155.15
1993-10-01,156.8
1994-01-01,157.75
1994-04-01,160.56
1994-07-01,161.87
1994-10-01,162.36
1995-01-01,163.97
1995-04-01,167.04
1995-07-01,170.07
1995-10-01,172.2
1996-01-01,174.55
1996-04-01,175.76
1996-07-01,177.47
1996-10-01,179.44
1997-01-01,181.64
1997-04-01,183.56
1997-07-01,186.96
1997-10-01,189.58
1998-01-01,192.75
1998-04-01,194.14
1998-07-01,198.15
1998-10-01,200.45
1999-01-01,203.74
1999-04-01,209.84
1999-07-01,216.47
1999-10-01,219.3
2000-01-01,225.55
2000-04-01,232.25
2000-07-01,238.04
2000-10-01,242.64
2001-01-01,249.07
2001-04-01,255.77
2001-07-01,263.51
2001-10-01,267.01
2002-01-01,272.56
2002-04-01,279.86
2002-07-01,285.91
2002-10-01,290.31
2003-01-01,294.32
2003-04-01,297.73
2003-07-01,304.68
2003-10-01,315.68
2004-01-01,319.47
2004-04-01,325.73
2004-07-01,336.67
2004-10-01,341.61
2005-01-01,348.24
2005-04-01,355.34
2005-07-01,361.87
2005-10-01,365.94
2006-01-01,367.78
2006-04-01,365.79
2006-07-01,366.08
2006-10-01,370.03
2007-01-01,372.03
2007-04-01,368.0
2007-07-01,360.31
2007-10-01,358.93
2008-01-01,360.48
2008-04-01,349.44
2008-07-01,338.94
2008-10-01,337.87
2009-01-01,343.86
2009-04-01,333.9
2009-07-01,320.45
2009-10-01,316.14
2010-01-01,311.37
2010-04-01,308.54
2010-07-01,315.5
2010-10-01,311.37
2011-01-01,298.43
2011-04-01,291.64
2011-07-01,295.41
2011-10-01,298.34
2012-01-01,292.86
2012-04-01,290.92
2012-07-01,295.59
2012-10-01,298.84
2013-01-01,299.99
2013-04-01,305.61
2013-07-01,312.01
2013-10-01,312.3
2014-01-01,314.23
2014-04-01,322.15
2014-07-01,325.34
2014-10-01,326.4
2015-01-01,327.27
2015-04-01,334.2
2015-07-01,339.21
2015-10-01,340.04
2016-01-01,342.01
2016-04-01,349.78
2016-07-01,355.12
2016-10-01,357.03
2017-01-01,360.58
2017-04-01,371.06
2017-07-01,376.18
2017-10-01,377.58
2018-01-01,382.94
2018-04-01,391.72
2018-07-01,396.4
2018-10-01,395.72
2019-01-01,400.43
2019-04-01,407.97
2019-07-01,412.61
2019-10-01,414.93
2020-01-01,418.95
2020-04-01,422.27
2020-07-01,431.08
2020-10-01,438.87
2021-01-01,445.73
2021-04-01,469.56
2021-07-01,492.19
2021-10-01,500.84
2022-01-01,512.2
2022-04-01,546.17
2022-07-01,544.82
2022-10-01,535.94
