DATE,MOSTHPI
1975-01-01,65.42
1975-04-01,73.75
1975-07-01,65.61
1975-10-01,65.17
1976-01-01,67.14
1976-04-01,77.52
1976-07-01,69.46
1976-10-01,69.28
1977-01-01,71.49
1977-04-01,81.42
1977-07-01,77.56
1977-10-01,80.32
1978-01-01,82.67
1978-04-01,92.79
1978-07-01,90.12
1978-10-01,90.99
1979-01-01,96.0
1979-04-01,102.63
1979-07-01,98.53
1979-10-01,100.5
1980-01-01,100.00
1980-04-01,111.15
1980-07-01,105.02
1980-10-01,105.62
1981-01-01,103.29
1981-04-01,103.98
1981-07-01,103.06
1981-10-01,102.28
1982-01-01,103.18
1982-04-01,101.72
1982-07-01,103.67
1982-10-01,104.04
1983-01-01,105.49
1983-04-01,108.18
1983-07-01,111.59
1983-10-01,112.58
1984-01-01,113.16
1984-04-01,115.29
1984-07-01,118.91
1984-10-01,119.02
1985-01-01,120.25
1985-04-01,123.47
1985-07-01,125.48
1985-10-01,126.35
1986-01-01,127.42
1986-04-01,129.36
1986-07-01,131.93
1986-10-01,134.07
1987-01-01,135.85
1987-04-01,138.85
1987-07-01,140.35
1987-10-01,140.87
1988-01-01,140.77
1988-04-01,142.88
1988-07-01,143.74
1988-10-01,143.6
1989-01-01,143.58
1989-04-01,145.25
1989-07-01,146.09
1989-10-01,146.75
1990-01-01,146.85
1990-04-01,146.66
1990-07-01,146.88
1990-10-01,145.66
1991-01-01,147.32
1991-04-01,148.12
1991-07-01,148.51
1991-10-01,150.14
1992-01-01,150.96
1992-04-01,151.31
1992-07-01,152.41
1992-10-01,153.35
1993-01-01,153.48
1993-04-01,154.43
1993-07-01,155.53
1993-10-01,156.86
1994-01-01,158.53
1994-04-01,161.46
1994-07-01,163.97
1994-10-01,164.29
1995-01-01,166.42
1995-04-01,168.28
1995-07-01,170.63
1995-10-01,172.1
1996-01-01,173.65
1996-04-01,176.02
1996-07-01,177.3
1996-10-01,179.34
1997-01-01,180.97
1997-04-01,182.64
1997-07-01,184.89
1997-10-01,186.74
1998-01-01,188.43
1998-04-01,190.27
1998-07-01,192.48
1998-10-01,194.17
1999-01-01,196.63
1999-04-01,199.69
1999-07-01,201.99
1999-10-01,203.98
2000-01-01,207.88
2000-04-01,210.44
2000-07-01,213.85
2000-10-01,216.44
2001-01-01,220.09
2001-04-01,223.4
2001-07-01,226.66
2001-10-01,228.91
2002-01-01,232.63
2002-04-01,235.7
2002-07-01,238.63
2002-10-01,241.53
2003-01-01,243.63
2003-04-01,245.35
2003-07-01,248.39
2003-10-01,254.06
2004-01-01,257.09
2004-04-01,260.38
2004-07-01,266.38
2004-10-01,270.01
2005-01-01,274.55
2005-04-01,278.57
2005-07-01,283.59
2005-10-01,286.78
2006-01-01,289.54
2006-04-01,289.9
2006-07-01,292.67
2006-10-01,296.09
2007-01-01,297.51
2007-04-01,297.9
2007-07-01,296.24
2007-10-01,297.53
2008-01-01,297.87
2008-04-01,293.82
2008-07-01,289.02
2008-10-01,289.65
2009-01-01,292.01
2009-04-01,287.32
2009-07-01,280.6
2009-10-01,279.32
2010-01-01,277.17
2010-04-01,275.34
2010-07-01,278.26
2010-10-01,276.47
2011-01-01,269.45
2011-04-01,265.34
2011-07-01,269.02
2011-10-01,270.32
2012-01-01,267.96
2012-04-01,265.41
2012-07-01,268.32
2012-10-01,268.66
2013-01-01,267.48
2013-04-01,268.43
2013-07-01,268.75
2013-10-01,268.12
2014-01-01,268.72
2014-04-01,273.48
2014-07-01,275.72
2014-10-01,278.12
2015-01-01,280.41
2015-04-01,282.67
2015-07-01,285.35
2015-10-01,288.53
2016-01-01,290.81
2016-04-01,294.6
2016-07-01,299.34
2016-10-01,300.68
2017-01-01,302.04
2017-04-01,308.28
2017-07-01,311.99
2017-10-01,314.35
2018-01-01,318.96
2018-04-01,324.0
2018-07-01,327.31
2018-10-01,330.04
2019-01-01,332.91
2019-04-01,339.16
2019-07-01,343.02
2019-10-01,347.65
2020-01-01,351.53
2020-04-01,354.06
2020-07-01,360.73
2020-10-01,367.92
2021-01-01,375.07
2021-04-01,398.39
2021-07-01,415.93
2021-10-01,427.88
2022-01-01,443.4
2022-04-01,473.83
2022-07-01,479.51
2022-10-01,477.32
