DATE,MSSTHPI
1975-01-01,75.11
1975-04-01,72.08
1975-07-01,72.44
1975-10-01,73.1
1976-01-01,73.3
1976-04-01,74.58
1976-07-01,71.84
1976-10-01,83.12
1977-01-01,75.36
1977-04-01,77.39
1977-07-01,78.19
1977-10-01,85.98
1978-01-01,86.28
1978-04-01,87.7
1978-07-01,92.71
1978-10-01,90.32
1979-01-01,98.5
1979-04-01,101.55
1979-07-01,106.36
1979-10-01,93.11
1980-01-01,100.00
1980-04-01,96.69
1980-07-01,104.02
1980-10-01,104.35
1981-01-01,94.57
1981-04-01,115.01
1981-07-01,107.36
1981-10-01,93.04
1982-01-01,102.91
1982-04-01,104.5
1982-07-01,108.36
1982-10-01,108.19
1983-01-01,112.27
1983-04-01,112.47
1983-07-01,110.38
1983-10-01,115.46
1984-01-01,118.3
1984-04-01,114.96
1984-07-01,112.81
1984-10-01,114.21
1985-01-01,119.87
1985-04-01,121.9
1985-07-01,122.67
1985-10-01,122.69
1986-01-01,123.77
1986-04-01,125.72
1986-07-01,123.92
1986-10-01,124.57
1987-01-01,126.03
1987-04-01,125.95
1987-07-01,124.23
1987-10-01,123.4
1988-01-01,122.24
1988-04-01,123.98
1988-07-01,121.91
1988-10-01,123.88
1989-01-01,119.45
1989-04-01,123.5
1989-07-01,125.78
1989-10-01,124.61
1990-01-01,126.22
1990-04-01,124.42
1990-07-01,125.7
1990-10-01,124.5
1991-01-01,127.15
1991-04-01,125.97
1991-07-01,126.3
1991-10-01,129.6
1992-01-01,131.32
1992-04-01,131.47
1992-07-01,132.42
1992-10-01,132.89
1993-01-01,133.42
1993-04-01,135.56
1993-07-01,137.32
1993-10-01,138.29
1994-01-01,140.54
1994-04-01,142.62
1994-07-01,143.99
1994-10-01,146.37
1995-01-01,146.46
1995-04-01,149.5
1995-07-01,151.92
1995-10-01,153.64
1996-01-01,154.54
1996-04-01,155.3
1996-07-01,158.25
1996-10-01,159.29
1997-01-01,159.82
1997-04-01,160.91
1997-07-01,163.36
1997-10-01,165.76
1998-01-01,167.77
1998-04-01,170.4
1998-07-01,171.98
1998-10-01,173.7
1999-01-01,175.98
1999-04-01,178.39
1999-07-01,179.14
1999-10-01,179.0
2000-01-01,180.94
2000-04-01,182.19
2000-07-01,184.95
2000-10-01,186.28
2001-01-01,190.99
2001-04-01,192.21
2001-07-01,194.08
2001-10-01,195.73
2002-01-01,196.4
2002-04-01,195.73
2002-07-01,199.37
2002-10-01,201.33
2003-01-01,202.58
2003-04-01,204.22
2003-07-01,205.24
2003-10-01,206.81
2004-01-01,208.81
2004-04-01,211.14
2004-07-01,213.92
2004-10-01,216.88
2005-01-01,218.2
2005-04-01,222.47
2005-07-01,227.03
2005-10-01,232.2
2006-01-01,235.99
2006-04-01,242.91
2006-07-01,247.64
2006-10-01,252.13
2007-01-01,255.94
2007-04-01,255.99
2007-07-01,256.07
2007-10-01,259.4
2008-01-01,259.71
2008-04-01,257.62
2008-07-01,253.01
2008-10-01,255.56
2009-01-01,256.32
2009-04-01,253.86
2009-07-01,248.98
2009-10-01,247.56
2010-01-01,244.83
2010-04-01,241.71
2010-07-01,244.56
2010-10-01,242.73
2011-01-01,237.55
2011-04-01,237.6
2011-07-01,239.85
2011-10-01,241.2
2012-01-01,238.63
2012-04-01,237.36
2012-07-01,239.65
2012-10-01,238.13
2013-01-01,238.46
2013-04-01,237.9
2013-07-01,238.56
2013-10-01,237.01
2014-01-01,239.14
2014-04-01,239.48
2014-07-01,241.96
2014-10-01,244.78
2015-01-01,246.52
2015-04-01,246.79
2015-07-01,249.6
2015-10-01,251.22
2016-01-01,252.1
2016-04-01,253.78
2016-07-01,254.76
2016-10-01,259.17
2017-01-01,258.91
2017-04-01,259.24
2017-07-01,262.03
2017-10-01,263.36
2018-01-01,265.86
2018-04-01,265.61
2018-07-01,266.98
2018-10-01,269.24
2019-01-01,272.33
2019-04-01,275.7
2019-07-01,279.08
2019-10-01,280.29
2020-01-01,284.51
2020-04-01,284.7
2020-07-01,289.14
2020-10-01,294.18
2021-01-01,298.34
2021-04-01,309.2
2021-07-01,326.2
2021-10-01,335.73
2022-01-01,345.32
2022-04-01,361.13
2022-07-01,376.1
2022-10-01,380.5
