DATE,MTSTHPI
1975-01-01,57.06
1975-04-01,57.02
1975-07-01,59.31
1975-10-01,58.2
1976-01-01,59.54
1976-04-01,65.12
1976-07-01,64.38
1976-10-01,65.36
1977-01-01,66.05
1977-04-01,71.5
1977-07-01,76.87
1977-10-01,79.57
1978-01-01,90.52
1978-04-01,89.52
1978-07-01,89.97
1978-10-01,92.31
1979-01-01,94.54
1979-04-01,100.14
1979-07-01,96.74
1979-10-01,103.81
1980-01-01,100.00
1980-04-01,95.11
1980-07-01,107.36
1980-10-01,102.07
1981-01-01,95.41
1981-04-01,101.86
1981-07-01,113.92
1981-10-01,100.01
1982-01-01,105.01
1982-04-01,113.45
1982-07-01,100.46
1982-10-01,113.02
1983-01-01,98.73
1983-04-01,104.7
1983-07-01,110.13
1983-10-01,114.32
1984-01-01,123.13
1984-04-01,120.5
1984-07-01,115.39
1984-10-01,112.16
1985-01-01,115.66
1985-04-01,110.22
1985-07-01,115.9
1985-10-01,118.28
1986-01-01,117.35
1986-04-01,114.22
1986-07-01,115.18
1986-10-01,115.58
1987-01-01,110.09
1987-04-01,112.7
1987-07-01,111.06
1987-10-01,105.05
1988-01-01,109.62
1988-04-01,110.45
1988-07-01,113.7
1988-10-01,112.85
1989-01-01,111.08
1989-04-01,112.08
1989-07-01,114.59
1989-10-01,116.17
1990-01-01,114.63
1990-04-01,116.54
1990-07-01,121.36
1990-10-01,121.77
1991-01-01,119.88
1991-04-01,123.87
1991-07-01,125.9
1991-10-01,130.45
1992-01-01,132.41
1992-04-01,134.63
1992-07-01,138.36
1992-10-01,142.78
1993-01-01,145.34
1993-04-01,149.41
1993-07-01,151.97
1993-10-01,157.07
1994-01-01,159.46
1994-04-01,166.22
1994-07-01,170.23
1994-10-01,171.44
1995-01-01,173.12
1995-04-01,177.08
1995-07-01,180.85
1995-10-01,181.82
1996-01-01,184.52
1996-04-01,186.52
1996-07-01,188.76
1996-10-01,189.56
1997-01-01,190.24
1997-04-01,190.94
1997-07-01,193.39
1997-10-01,196.89
1998-01-01,198.3
1998-04-01,198.04
1998-07-01,199.81
1998-10-01,201.95
1999-01-01,201.8
1999-04-01,203.97
1999-07-01,206.45
1999-10-01,205.98
2000-01-01,208.7
2000-04-01,210.27
2000-07-01,213.5
2000-10-01,216.55
2001-01-01,220.86
2001-04-01,223.44
2001-07-01,225.53
2001-10-01,227.16
2002-01-01,232.16
2002-04-01,234.21
2002-07-01,238.7
2002-10-01,240.96
2003-01-01,243.52
2003-04-01,248.48
2003-07-01,254.03
2003-10-01,260.69
2004-01-01,265.19
2004-04-01,271.73
2004-07-01,281.17
2004-10-01,287.7
2005-01-01,294.92
2005-04-01,306.63
2005-07-01,315.78
2005-10-01,326.19
2006-01-01,332.83
2006-04-01,343.16
2006-07-01,351.71
2006-10-01,358.48
2007-01-01,365.28
2007-04-01,370.27
2007-07-01,373.85
2007-10-01,376.29
2008-01-01,380.12
2008-04-01,377.88
2008-07-01,371.9
2008-10-01,375.53
2009-01-01,377.19
2009-04-01,372.29
2009-07-01,363.49
2009-10-01,361.0
2010-01-01,354.26
2010-04-01,350.42
2010-07-01,355.06
2010-10-01,353.8
2011-01-01,343.03
2011-04-01,341.91
2011-07-01,343.11
2011-10-01,344.96
2012-01-01,346.69
2012-04-01,346.13
2012-07-01,349.4
2012-10-01,354.05
2013-01-01,357.25
2013-04-01,359.85
2013-07-01,364.69
2013-10-01,365.62
2014-01-01,369.73
2014-04-01,372.16
2014-07-01,380.32
2014-10-01,382.46
2015-01-01,384.91
2015-04-01,391.0
2015-07-01,394.33
2015-10-01,398.09
2016-01-01,402.04
2016-04-01,403.91
2016-07-01,410.16
2016-10-01,412.46
2017-01-01,419.98
2017-04-01,424.08
2017-07-01,432.23
2017-10-01,434.06
2018-01-01,441.34
2018-04-01,450.49
2018-07-01,455.64
2018-10-01,460.89
2019-01-01,463.42
2019-04-01,472.78
2019-07-01,479.48
2019-10-01,485.81
2020-01-01,492.59
2020-04-01,493.54
2020-07-01,507.77
2020-10-01,524.16
2021-01-01,541.3
2021-04-01,584.16
2021-07-01,626.49
2021-10-01,656.19
2022-01-01,683.5
2022-04-01,736.14
2022-07-01,750.47
2022-10-01,753.81
