DATE,NCSTHPI
1975-01-01,66.02
1975-04-01,67.12
1975-07-01,69.08
1975-10-01,70.59
1976-01-01,68.64
1976-04-01,69.89
1976-07-01,70.67
1976-10-01,70.78
1977-01-01,75.09
1977-04-01,74.1
1977-07-01,76.72
1977-10-01,81.36
1978-01-01,83.0
1978-04-01,83.05
1978-07-01,86.79
1978-10-01,87.28
1979-01-01,90.09
1979-04-01,91.69
1979-07-01,96.19
1979-10-01,96.25
1980-01-01,100.00
1980-04-01,98.87
1980-07-01,101.26
1980-10-01,102.51
1981-01-01,106.15
1981-04-01,106.11
1981-07-01,106.06
1981-10-01,104.54
1982-01-01,106.75
1982-04-01,109.65
1982-07-01,107.51
1982-10-01,112.13
1983-01-01,112.93
1983-04-01,111.44
1983-07-01,114.18
1983-10-01,115.56
1984-01-01,118.22
1984-04-01,122.44
1984-07-01,121.79
1984-10-01,125.06
1985-01-01,127.9
1985-04-01,130.3
1985-07-01,133.14
1985-10-01,134.94
1986-01-01,136.14
1986-04-01,138.76
1986-07-01,141.22
1986-10-01,142.97
1987-01-01,145.75
1987-04-01,147.26
1987-07-01,149.73
1987-10-01,150.75
1988-01-01,151.85
1988-04-01,154.25
1988-07-01,155.79
1988-10-01,156.4
1989-01-01,156.89
1989-04-01,157.73
1989-07-01,160.49
1989-10-01,161.01
1990-01-01,161.29
1990-04-01,161.72
1990-07-01,163.2
1990-10-01,163.08
1991-01-01,164.06
1991-04-01,165.24
1991-07-01,165.62
1991-10-01,167.95
1992-01-01,169.03
1992-04-01,169.36
1992-07-01,171.43
1992-10-01,172.21
1993-01-01,172.64
1993-04-01,174.14
1993-07-01,175.98
1993-10-01,177.41
1994-01-01,179.03
1994-04-01,181.84
1994-07-01,184.28
1994-10-01,186.5
1995-01-01,188.0
1995-04-01,190.68
1995-07-01,193.85
1995-10-01,195.72
1996-01-01,198.08
1996-04-01,199.82
1996-07-01,202.24
1996-10-01,203.82
1997-01-01,206.35
1997-04-01,208.96
1997-07-01,211.81
1997-10-01,214.84
1998-01-01,217.6
1998-04-01,219.1
1998-07-01,222.34
1998-10-01,224.45
1999-01-01,226.39
1999-04-01,228.75
1999-07-01,230.07
1999-10-01,231.19
2000-01-01,233.21
2000-04-01,236.14
2000-07-01,239.17
2000-10-01,241.81
2001-01-01,247.05
2001-04-01,249.23
2001-07-01,251.21
2001-10-01,253.5
2002-01-01,255.05
2002-04-01,256.14
2002-07-01,259.68
2002-10-01,261.43
2003-01-01,263.6
2003-04-01,265.33
2003-07-01,266.66
2003-10-01,269.04
2004-01-01,272.12
2004-04-01,274.6
2004-07-01,277.5
2004-10-01,282.22
2005-01-01,286.7
2005-04-01,290.51
2005-07-01,297.13
2005-10-01,303.4
2006-01-01,308.38
2006-04-01,312.59
2006-07-01,317.87
2006-10-01,323.65
2007-01-01,328.82
2007-04-01,331.91
2007-07-01,333.24
2007-10-01,335.77
2008-01-01,338.63
2008-04-01,337.99
2008-07-01,334.0
2008-10-01,333.79
2009-01-01,337.61
2009-04-01,331.88
2009-07-01,324.15
2009-10-01,320.31
2010-01-01,315.01
2010-04-01,312.44
2010-07-01,314.51
2010-10-01,312.79
2011-01-01,305.75
2011-04-01,299.6
2011-07-01,301.05
2011-10-01,302.24
2012-01-01,297.96
2012-04-01,294.39
2012-07-01,297.43
2012-10-01,298.68
2013-01-01,298.11
2013-04-01,299.6
2013-07-01,300.25
2013-10-01,299.52
2014-01-01,301.11
2014-04-01,305.15
2014-07-01,308.17
2014-10-01,309.26
2015-01-01,314.23
2015-04-01,317.92
2015-07-01,320.45
2015-10-01,323.34
2016-01-01,327.1
2016-04-01,332.24
2016-07-01,338.83
2016-10-01,340.46
2017-01-01,341.85
2017-04-01,352.06
2017-07-01,356.83
2017-10-01,358.5
2018-01-01,365.13
2018-04-01,373.35
2018-07-01,378.23
2018-10-01,380.85
2019-01-01,386.81
2019-04-01,393.68
2019-07-01,398.18
2019-10-01,403.28
2020-01-01,409.35
2020-04-01,412.8
2020-07-01,420.52
2020-10-01,430.86
2021-01-01,441.71
2021-04-01,467.78
2021-07-01,499.22
2021-10-01,522.04
2022-01-01,547.94
2022-04-01,593.64
2022-07-01,612.7
2022-10-01,610.91
