DATE,NDSTHPI
1975-01-01,67.56
1975-04-01,59.67
1975-07-01,65.92
1975-10-01,62.92
1976-01-01,74.72
1976-04-01,72.47
1976-07-01,71.1
1976-10-01,72.51
1977-01-01,81.74
1977-04-01,84.96
1977-07-01,79.48
1977-10-01,77.71
1978-01-01,87.7
1978-04-01,83.36
1978-07-01,89.17
1978-10-01,85.4
1979-01-01,99.23
1979-04-01,98.76
1979-07-01,97.32
1979-10-01,99.52
1980-01-01,100.00
1980-04-01,106.12
1980-07-01,99.29
1980-10-01,95.43
1981-01-01,105.0
1981-04-01,98.01
1981-07-01,116.29
1981-10-01,109.85
1982-01-01,99.13
1982-04-01,83.37
1982-07-01,72.64
1982-10-01,99.11
1983-01-01,98.95
1983-04-01,106.58
1983-07-01,89.18
1983-10-01,106.96
1984-01-01,118.11
1984-04-01,112.13
1984-07-01,114.59
1984-10-01,109.23
1985-01-01,109.22
1985-04-01,109.72
1985-07-01,113.59
1985-10-01,108.51
1986-01-01,112.72
1986-04-01,111.81
1986-07-01,111.36
1986-10-01,109.11
1987-01-01,112.88
1987-04-01,110.34
1987-07-01,110.44
1987-10-01,110.08
1988-01-01,107.3
1988-04-01,109.01
1988-07-01,109.61
1988-10-01,104.91
1989-01-01,108.62
1989-04-01,107.96
1989-07-01,110.55
1989-10-01,111.29
1990-01-01,110.82
1990-04-01,110.51
1990-07-01,112.12
1990-10-01,110.84
1991-01-01,112.85
1991-04-01,113.98
1991-07-01,114.29
1991-10-01,115.35
1992-01-01,117.66
1992-04-01,117.88
1992-07-01,119.19
1992-10-01,120.27
1993-01-01,120.99
1993-04-01,123.84
1993-07-01,126.16
1993-10-01,126.92
1994-01-01,128.54
1994-04-01,132.21
1994-07-01,133.87
1994-10-01,134.16
1995-01-01,136.66
1995-04-01,137.9
1995-07-01,139.59
1995-10-01,140.55
1996-01-01,143.87
1996-04-01,142.59
1996-07-01,144.9
1996-10-01,144.85
1997-01-01,145.47
1997-04-01,145.89
1997-07-01,148.31
1997-10-01,150.49
1998-01-01,152.99
1998-04-01,154.17
1998-07-01,156.17
1998-10-01,156.89
1999-01-01,157.18
1999-04-01,157.75
1999-07-01,158.19
1999-10-01,156.93
2000-01-01,158.56
2000-04-01,159.74
2000-07-01,161.47
2000-10-01,162.66
2001-01-01,166.84
2001-04-01,167.99
2001-07-01,169.39
2001-10-01,170.61
2002-01-01,172.68
2002-04-01,174.14
2002-07-01,178.07
2002-10-01,179.94
2003-01-01,181.18
2003-04-01,183.92
2003-07-01,186.47
2003-10-01,189.98
2004-01-01,192.08
2004-04-01,195.09
2004-07-01,201.14
2004-10-01,205.19
2005-01-01,206.46
2005-04-01,212.94
2005-07-01,217.82
2005-10-01,220.56
2006-01-01,221.49
2006-04-01,228.06
2006-07-01,230.75
2006-10-01,231.2
2007-01-01,236.1
2007-04-01,238.85
2007-07-01,240.48
2007-10-01,241.15
2008-01-01,245.34
2008-04-01,246.42
2008-07-01,246.52
2008-10-01,248.54
2009-01-01,250.24
2009-04-01,249.96
2009-07-01,249.69
2009-10-01,251.82
2010-01-01,251.68
2010-04-01,251.65
2010-07-01,253.83
2010-10-01,256.64
2011-01-01,258.12
2011-04-01,261.56
2011-07-01,264.54
2011-10-01,267.0
2012-01-01,269.07
2012-04-01,276.47
2012-07-01,281.11
2012-10-01,288.5
2013-01-01,293.29
2013-04-01,299.84
2013-07-01,310.9
2013-10-01,315.37
2014-01-01,318.35
2014-04-01,322.76
2014-07-01,330.6
2014-10-01,335.49
2015-01-01,338.97
2015-04-01,341.69
2015-07-01,348.31
2015-10-01,348.88
2016-01-01,349.34
2016-04-01,351.56
2016-07-01,355.2
2016-10-01,354.8
2017-01-01,356.55
2017-04-01,355.81
2017-07-01,359.73
2017-10-01,358.05
2018-01-01,359.39
2018-04-01,361.45
2018-07-01,361.21
2018-10-01,362.97
2019-01-01,365.25
2019-04-01,370.26
2019-07-01,373.16
2019-10-01,374.98
2020-01-01,376.22
2020-04-01,375.51
2020-07-01,381.19
2020-10-01,385.91
2021-01-01,386.25
2021-04-01,396.64
2021-07-01,411.97
2021-10-01,419.85
2022-01-01,426.82
2022-04-01,448.12
2022-07-01,457.31
2022-10-01,459.35
