DATE,NESTHPI
1975-01-01,63.58
1975-04-01,62.62
1975-07-01,61.31
1975-10-01,67.84
1976-01-01,67.19
1976-04-01,67.66
1976-07-01,68.02
1976-10-01,70.49
1977-01-01,72.32
1977-04-01,73.91
1977-07-01,78.23
1977-10-01,80.04
1978-01-01,78.71
1978-04-01,85.72
1978-07-01,86.55
1978-10-01,87.28
1979-01-01,92.9
1979-04-01,94.19
1979-07-01,97.18
1979-10-01,98.27
1980-01-01,100.00
1980-04-01,103.31
1980-07-01,101.71
1980-10-01,105.87
1981-01-01,102.24
1981-04-01,102.68
1981-07-01,100.48
1981-10-01,100.19
1982-01-01,106.26
1982-04-01,107.14
1982-07-01,109.26
1982-10-01,108.78
1983-01-01,108.9
1983-04-01,109.22
1983-07-01,111.46
1983-10-01,112.03
1984-01-01,110.39
1984-04-01,112.83
1984-07-01,112.31
1984-10-01,111.47
1985-01-01,111.46
1985-04-01,113.02
1985-07-01,113.18
1985-10-01,114.24
1986-01-01,115.49
1986-04-01,115.61
1986-07-01,115.62
1986-10-01,117.07
1987-01-01,117.55
1987-04-01,116.94
1987-07-01,115.5
1987-10-01,116.11
1988-01-01,117.1
1988-04-01,117.83
1988-07-01,118.55
1988-10-01,118.28
1989-01-01,119.52
1989-04-01,120.69
1989-07-01,121.91
1989-10-01,122.76
1990-01-01,123.72
1990-04-01,125.73
1990-07-01,126.88
1990-10-01,127.05
1991-01-01,128.22
1991-04-01,129.61
1991-07-01,130.78
1991-10-01,131.54
1992-01-01,133.27
1992-04-01,135.09
1992-07-01,137.17
1992-10-01,138.16
1993-01-01,139.41
1993-04-01,141.12
1993-07-01,143.34
1993-10-01,145.55
1994-01-01,147.46
1994-04-01,152.24
1994-07-01,155.78
1994-10-01,155.73
1995-01-01,157.76
1995-04-01,160.7
1995-07-01,163.03
1995-10-01,164.06
1996-01-01,166.03
1996-04-01,169.53
1996-07-01,172.0
1996-10-01,172.94
1997-01-01,174.56
1997-04-01,177.91
1997-07-01,180.12
1997-10-01,182.49
1998-01-01,184.12
1998-04-01,185.3
1998-07-01,188.09
1998-10-01,190.3
1999-01-01,191.7
1999-04-01,195.3
1999-07-01,196.09
1999-10-01,197.38
2000-01-01,198.53
2000-04-01,201.31
2000-07-01,203.19
2000-10-01,204.67
2001-01-01,207.33
2001-04-01,209.62
2001-07-01,211.41
2001-10-01,213.12
2002-01-01,214.81
2002-04-01,216.19
2002-07-01,218.25
2002-10-01,219.67
2003-01-01,220.85
2003-04-01,222.08
2003-07-01,224.48
2003-10-01,228.11
2004-01-01,229.27
2004-04-01,232.57
2004-07-01,237.19
2004-10-01,239.12
2005-01-01,240.77
2005-04-01,244.22
2005-07-01,247.72
2005-10-01,246.96
2006-01-01,247.0
2006-04-01,249.53
2006-07-01,250.57
2006-10-01,250.75
2007-01-01,251.72
2007-04-01,253.55
2007-07-01,252.54
2007-10-01,252.04
2008-01-01,253.99
2008-04-01,252.03
2008-07-01,249.79
2008-10-01,251.05
2009-01-01,253.09
2009-04-01,251.97
2009-07-01,249.49
2009-10-01,249.31
2010-01-01,247.05
2010-04-01,248.8
2010-07-01,251.07
2010-10-01,249.73
2011-01-01,247.57
2011-04-01,246.7
2011-07-01,249.15
2011-10-01,250.78
2012-01-01,250.45
2012-04-01,250.79
2012-07-01,251.97
2012-10-01,253.26
2013-01-01,254.69
2013-04-01,257.48
2013-07-01,258.81
2013-10-01,260.51
2014-01-01,260.69
2014-04-01,266.36
2014-07-01,268.81
2014-10-01,270.47
2015-01-01,272.3
2015-04-01,277.0
2015-07-01,281.67
2015-10-01,282.66
2016-01-01,282.44
2016-04-01,288.33
2016-07-01,293.7
2016-10-01,294.5
2017-01-01,298.12
2017-04-01,306.6
2017-07-01,310.08
2017-10-01,311.85
2018-01-01,315.05
2018-04-01,321.93
2018-07-01,326.84
2018-10-01,327.35
2019-01-01,331.81
2019-04-01,339.0
2019-07-01,342.08
2019-10-01,344.13
2020-01-01,348.37
2020-04-01,350.87
2020-07-01,355.55
2020-10-01,362.75
2021-01-01,369.06
2021-04-01,390.52
2021-07-01,410.24
2021-10-01,419.13
2022-01-01,429.62
2022-04-01,462.54
2022-07-01,467.93
2022-10-01,464.49
