DATE,NHSTHPI
1975-01-01,73.52
1975-04-01,60.76
1975-07-01,61.3
1975-10-01,53.97
1976-01-01,76.18
1976-04-01,63.32
1976-07-01,64.75
1976-10-01,69.62
1977-01-01,71.94
1977-04-01,66.1
1977-07-01,68.96
1977-10-01,75.72
1978-01-01,75.32
1978-04-01,75.93
1978-07-01,82.67
1978-10-01,85.16
1979-01-01,89.6
1979-04-01,93.15
1979-07-01,95.88
1979-10-01,96.34
1980-01-01,100.00
1980-04-01,98.08
1980-07-01,102.16
1980-10-01,98.53
1981-01-01,97.89
1981-04-01,100.57
1981-07-01,99.48
1981-10-01,106.51
1982-01-01,106.26
1982-04-01,105.41
1982-07-01,107.5
1982-10-01,106.81
1983-01-01,109.08
1983-04-01,112.07
1983-07-01,115.8
1983-10-01,118.04
1984-01-01,122.03
1984-04-01,127.58
1984-07-01,133.38
1984-10-01,137.38
1985-01-01,141.74
1985-04-01,152.04
1985-07-01,159.68
1985-10-01,169.89
1986-01-01,178.08
1986-04-01,186.47
1986-07-01,195.17
1986-10-01,206.2
1987-01-01,211.6
1987-04-01,220.56
1987-07-01,222.75
1987-10-01,227.26
1988-01-01,226.4
1988-04-01,229.15
1988-07-01,229.11
1988-10-01,228.81
1989-01-01,229.36
1989-04-01,225.98
1989-07-01,229.96
1989-10-01,230.14
1990-01-01,225.56
1990-04-01,216.08
1990-07-01,211.12
1990-10-01,203.97
1991-01-01,201.21
1991-04-01,198.16
1991-07-01,193.94
1991-10-01,194.3
1992-01-01,194.4
1992-04-01,190.15
1992-07-01,189.17
1992-10-01,189.39
1993-01-01,187.64
1993-04-01,189.85
1993-07-01,190.14
1993-10-01,190.71
1994-01-01,191.21
1994-04-01,187.97
1994-07-01,185.13
1994-10-01,184.52
1995-01-01,185.33
1995-04-01,187.82
1995-07-01,191.72
1995-10-01,194.34
1996-01-01,195.23
1996-04-01,194.47
1996-07-01,197.0
1996-10-01,198.08
1997-01-01,199.49
1997-04-01,202.15
1997-07-01,204.65
1997-10-01,207.69
1998-01-01,210.71
1998-04-01,214.83
1998-07-01,218.67
1998-10-01,222.53
1999-01-01,225.78
1999-04-01,232.37
1999-07-01,239.68
1999-10-01,244.17
2000-01-01,253.62
2000-04-01,262.43
2000-07-01,272.12
2000-10-01,279.59
2001-01-01,285.89
2001-04-01,295.67
2001-07-01,306.02
2001-10-01,311.46
2002-01-01,319.94
2002-04-01,331.31
2002-07-01,341.59
2002-10-01,349.31
2003-01-01,354.73
2003-04-01,360.27
2003-07-01,369.63
2003-10-01,384.16
2004-01-01,389.88
2004-04-01,400.32
2004-07-01,417.91
2004-10-01,426.17
2005-01-01,437.39
2005-04-01,447.76
2005-07-01,458.63
2005-10-01,463.93
2006-01-01,467.53
2006-04-01,464.93
2006-07-01,462.96
2006-10-01,466.05
2007-01-01,464.7
2007-04-01,461.55
2007-07-01,454.17
2007-10-01,453.64
2008-01-01,453.9
2008-04-01,442.23
2008-07-01,426.95
2008-10-01,425.24
2009-01-01,426.73
2009-04-01,414.42
2009-07-01,401.23
2009-10-01,398.83
2010-01-01,395.05
2010-04-01,392.4
2010-07-01,396.81
2010-10-01,394.55
2011-01-01,385.64
2011-04-01,378.88
2011-07-01,381.02
2011-10-01,382.76
2012-01-01,377.29
2012-04-01,374.2
2012-07-01,376.17
2012-10-01,377.48
2013-01-01,376.37
2013-04-01,377.1
2013-07-01,381.58
2013-10-01,381.7
2014-01-01,385.57
2014-04-01,388.34
2014-07-01,394.38
2014-10-01,395.98
2015-01-01,399.47
2015-04-01,405.8
2015-07-01,410.69
2015-10-01,411.23
2016-01-01,414.62
2016-04-01,420.22
2016-07-01,427.49
2016-10-01,429.82
2017-01-01,432.64
2017-04-01,442.73
2017-07-01,450.39
2017-10-01,453.81
2018-01-01,460.69
2018-04-01,469.71
2018-07-01,476.52
2018-10-01,478.74
2019-01-01,483.57
2019-04-01,492.82
2019-07-01,499.94
2019-10-01,505.59
2020-01-01,512.25
2020-04-01,520.14
2020-07-01,532.29
2020-10-01,547.57
2021-01-01,563.75
2021-04-01,597.82
2021-07-01,633.79
2021-10-01,653.44
2022-01-01,672.7
2022-04-01,720.5
2022-07-01,738.7
2022-10-01,734.86
