DATE,NJSTHPI
1975-01-01,64.39
1975-04-01,59.27
1975-07-01,60.09
1975-10-01,62.81
1976-01-01,62.73
1976-04-01,63.82
1976-07-01,65.93
1976-10-01,62.17
1977-01-01,65.13
1977-04-01,65.36
1977-07-01,67.4
1977-10-01,69.49
1978-01-01,71.19
1978-04-01,73.23
1978-07-01,76.35
1978-10-01,79.64
1979-01-01,85.05
1979-04-01,87.05
1979-07-01,91.6
1979-10-01,94.18
1980-01-01,100.00
1980-04-01,101.56
1980-07-01,100.8
1980-10-01,103.7
1981-01-01,104.29
1981-04-01,105.89
1981-07-01,107.56
1981-10-01,105.89
1982-01-01,105.39
1982-04-01,108.93
1982-07-01,109.17
1982-10-01,109.63
1983-01-01,110.13
1983-04-01,113.75
1983-07-01,117.66
1983-10-01,120.87
1984-01-01,123.85
1984-04-01,130.18
1984-07-01,134.94
1984-10-01,138.21
1985-01-01,142.2
1985-04-01,148.48
1985-07-01,154.99
1985-10-01,161.91
1986-01-01,168.0
1986-04-01,178.09
1986-07-01,189.22
1986-10-01,199.11
1987-01-01,210.15
1987-04-01,221.31
1987-07-01,229.98
1987-10-01,235.3
1988-01-01,240.42
1988-04-01,246.46
1988-07-01,247.21
1988-10-01,246.34
1989-01-01,245.91
1989-04-01,245.36
1989-07-01,246.63
1989-10-01,247.38
1990-01-01,244.28
1990-04-01,239.06
1990-07-01,235.78
1990-10-01,231.89
1991-01-01,230.8
1991-04-01,229.13
1991-07-01,227.81
1991-10-01,230.45
1992-01-01,232.3
1992-04-01,230.38
1992-07-01,232.21
1992-10-01,233.61
1993-01-01,233.46
1993-04-01,235.08
1993-07-01,235.66
1993-10-01,237.13
1994-01-01,237.76
1994-04-01,235.65
1994-07-01,233.43
1994-10-01,230.68
1995-01-01,230.53
1995-04-01,233.12
1995-07-01,237.05
1995-10-01,237.62
1996-01-01,240.76
1996-04-01,238.86
1996-07-01,238.38
1996-10-01,238.27
1997-01-01,240.06
1997-04-01,240.92
1997-07-01,243.67
1997-10-01,246.07
1998-01-01,250.58
1998-04-01,251.47
1998-07-01,254.1
1998-10-01,255.98
1999-01-01,259.09
1999-04-01,262.71
1999-07-01,269.21
1999-10-01,272.09
2000-01-01,279.23
2000-04-01,285.89
2000-07-01,294.31
2000-10-01,298.8
2001-01-01,305.57
2001-04-01,314.24
2001-07-01,323.34
2001-10-01,329.74
2002-01-01,339.27
2002-04-01,351.93
2002-07-01,363.64
2002-10-01,372.07
2003-01-01,378.94
2003-04-01,385.59
2003-07-01,397.31
2003-10-01,417.49
2004-01-01,426.09
2004-04-01,439.52
2004-07-01,469.06
2004-10-01,480.97
2005-01-01,495.29
2005-04-01,516.76
2005-07-01,536.61
2005-10-01,552.93
2006-01-01,563.56
2006-04-01,570.07
2006-07-01,573.58
2006-10-01,576.43
2007-01-01,577.27
2007-04-01,573.57
2007-07-01,566.59
2007-10-01,564.12
2008-01-01,560.38
2008-04-01,544.35
2008-07-01,528.82
2008-10-01,523.28
2009-01-01,521.84
2009-04-01,504.99
2009-07-01,492.26
2009-10-01,488.53
2010-01-01,485.81
2010-04-01,482.13
2010-07-01,485.42
2010-10-01,484.39
2011-01-01,472.96
2011-04-01,463.42
2011-07-01,461.99
2011-10-01,462.12
2012-01-01,455.8
2012-04-01,449.72
2012-07-01,452.24
2012-10-01,453.23
2013-01-01,453.1
2013-04-01,453.9
2013-07-01,454.42
2013-10-01,455.39
2014-01-01,457.85
2014-04-01,462.84
2014-07-01,467.19
2014-10-01,469.2
2015-01-01,473.21
2015-04-01,476.85
2015-07-01,477.67
2015-10-01,478.56
2016-01-01,481.39
2016-04-01,487.16
2016-07-01,491.97
2016-10-01,493.66
2017-01-01,488.67
2017-04-01,496.7
2017-07-01,503.25
2017-10-01,504.46
2018-01-01,507.64
2018-04-01,512.13
2018-07-01,515.84
2018-10-01,516.42
2019-01-01,520.56
2019-04-01,528.38
2019-07-01,536.37
2019-10-01,540.06
2020-01-01,544.76
2020-04-01,550.08
2020-07-01,559.66
2020-10-01,571.45
2021-01-01,585.46
2021-04-01,613.46
2021-07-01,643.43
2021-10-01,664.36
2022-01-01,685.91
2022-04-01,732.37
2022-07-01,746.26
2022-10-01,746.96
