DATE,NMSTHPI
1975-01-01,56.93
1975-04-01,58.83
1975-07-01,59.4
1975-10-01,55.82
1976-01-01,59.83
1976-04-01,61.48
1976-07-01,63.93
1976-10-01,65.46
1977-01-01,70.34
1977-04-01,70.03
1977-07-01,73.03
1977-10-01,76.25
1978-01-01,76.98
1978-04-01,78.19
1978-07-01,81.45
1978-10-01,83.77
1979-01-01,89.14
1979-04-01,92.07
1979-07-01,93.78
1979-10-01,95.27
1980-01-01,100.00
1980-04-01,98.15
1980-07-01,99.24
1980-10-01,105.08
1981-01-01,101.15
1981-04-01,111.67
1981-07-01,113.81
1981-10-01,117.72
1982-01-01,105.72
1982-04-01,116.65
1982-07-01,129.91
1982-10-01,123.55
1983-01-01,128.71
1983-04-01,121.71
1983-07-01,123.32
1983-10-01,125.3
1984-01-01,123.85
1984-04-01,121.06
1984-07-01,125.48
1984-10-01,126.85
1985-01-01,126.68
1985-04-01,126.22
1985-07-01,128.23
1985-10-01,128.17
1986-01-01,130.14
1986-04-01,132.79
1986-07-01,132.33
1986-10-01,132.96
1987-01-01,134.93
1987-04-01,133.55
1987-07-01,132.08
1987-10-01,130.81
1988-01-01,130.7
1988-04-01,130.16
1988-07-01,131.31
1988-10-01,129.87
1989-01-01,130.37
1989-04-01,131.09
1989-07-01,133.14
1989-10-01,135.17
1990-01-01,132.11
1990-04-01,133.33
1990-07-01,134.59
1990-10-01,135.08
1991-01-01,136.14
1991-04-01,137.58
1991-07-01,138.33
1991-10-01,140.44
1992-01-01,143.98
1992-04-01,144.82
1992-07-01,145.64
1992-10-01,147.97
1993-01-01,149.96
1993-04-01,153.51
1993-07-01,156.48
1993-10-01,159.32
1994-01-01,164.09
1994-04-01,169.42
1994-07-01,173.01
1994-10-01,175.49
1995-01-01,176.88
1995-04-01,181.28
1995-07-01,184.64
1995-10-01,186.02
1996-01-01,187.3
1996-04-01,186.94
1996-07-01,186.52
1996-10-01,187.47
1997-01-01,189.03
1997-04-01,189.98
1997-07-01,190.92
1997-10-01,193.07
1998-01-01,194.17
1998-04-01,193.95
1998-07-01,195.58
1998-10-01,197.69
1999-01-01,197.85
1999-04-01,197.63
1999-07-01,197.18
1999-10-01,198.0
2000-01-01,198.53
2000-04-01,199.25
2000-07-01,200.54
2000-10-01,201.6
2001-01-01,206.5
2001-04-01,208.12
2001-07-01,209.32
2001-10-01,210.75
2002-01-01,212.01
2002-04-01,214.91
2002-07-01,218.13
2002-10-01,220.18
2003-01-01,222.85
2003-04-01,225.45
2003-07-01,228.08
2003-10-01,233.03
2004-01-01,235.54
2004-04-01,240.82
2004-07-01,246.85
2004-10-01,251.78
2005-01-01,257.11
2005-04-01,268.32
2005-07-01,278.66
2005-10-01,286.91
2006-01-01,295.53
2006-04-01,306.09
2006-07-01,313.66
2006-10-01,320.94
2007-01-01,325.84
2007-04-01,328.38
2007-07-01,329.11
2007-10-01,330.5
2008-01-01,331.46
2008-04-01,327.62
2008-07-01,319.71
2008-10-01,318.93
2009-01-01,321.83
2009-04-01,313.22
2009-07-01,306.95
2009-10-01,304.35
2010-01-01,303.73
2010-04-01,298.47
2010-07-01,300.14
2010-10-01,297.21
2011-01-01,289.68
2011-04-01,284.3
2011-07-01,285.3
2011-10-01,286.55
2012-01-01,281.46
2012-04-01,279.64
2012-07-01,281.85
2012-10-01,282.1
2013-01-01,283.44
2013-04-01,283.14
2013-07-01,282.93
2013-10-01,284.29
2014-01-01,282.93
2014-04-01,285.08
2014-07-01,287.64
2014-10-01,288.15
2015-01-01,289.63
2015-04-01,290.53
2015-07-01,293.72
2015-10-01,292.66
2016-01-01,294.61
2016-04-01,299.42
2016-07-01,301.0
2016-10-01,305.57
2017-01-01,304.41
2017-04-01,307.18
2017-07-01,312.59
2017-10-01,313.75
2018-01-01,315.38
2018-04-01,320.27
2018-07-01,323.06
2018-10-01,325.54
2019-01-01,327.58
2019-04-01,335.27
2019-07-01,341.08
2019-10-01,343.78
2020-01-01,349.12
2020-04-01,352.9
2020-07-01,360.23
2020-10-01,367.9
2021-01-01,378.11
2021-04-01,393.7
2021-07-01,416.37
2021-10-01,430.91
2022-01-01,444.92
2022-04-01,467.43
2022-07-01,481.55
2022-10-01,485.09
