DATE,NVSTHPI
1975-01-01,53.37
1975-04-01,53.09
1975-07-01,55.06
1975-10-01,47.71
1976-01-01,60.07
1976-04-01,62.51
1976-07-01,62.55
1976-10-01,62.16
1977-01-01,65.01
1977-04-01,66.91
1977-07-01,71.72
1977-10-01,73.97
1978-01-01,75.51
1978-04-01,80.57
1978-07-01,85.24
1978-10-01,91.67
1979-01-01,93.34
1979-04-01,100.57
1979-07-01,99.56
1979-10-01,101.78
1980-01-01,100.00
1980-04-01,103.99
1980-07-01,107.6
1980-10-01,108.13
1981-01-01,110.64
1981-04-01,119.13
1981-07-01,120.41
1981-10-01,117.57
1982-01-01,121.68
1982-04-01,122.22
1982-07-01,122.05
1982-10-01,121.31
1983-01-01,119.16
1983-04-01,122.46
1983-07-01,121.77
1983-10-01,116.37
1984-01-01,122.69
1984-04-01,119.99
1984-07-01,115.49
1984-10-01,119.11
1985-01-01,120.28
1985-04-01,119.93
1985-07-01,120.47
1985-10-01,121.47
1986-01-01,123.8
1986-04-01,126.27
1986-07-01,126.62
1986-10-01,126.06
1987-01-01,129.15
1987-04-01,128.45
1987-07-01,128.1
1987-10-01,127.08
1988-01-01,128.23
1988-04-01,129.38
1988-07-01,130.93
1988-10-01,132.64
1989-01-01,132.77
1989-04-01,135.2
1989-07-01,138.67
1989-10-01,140.55
1990-01-01,143.25
1990-04-01,145.56
1990-07-01,149.32
1990-10-01,150.88
1991-01-01,154.24
1991-04-01,155.2
1991-07-01,155.95
1991-10-01,159.64
1992-01-01,160.86
1992-04-01,160.37
1992-07-01,163.23
1992-10-01,164.18
1993-01-01,164.11
1993-04-01,165.52
1993-07-01,166.75
1993-10-01,167.67
1994-01-01,167.89
1994-04-01,168.66
1994-07-01,169.27
1994-10-01,168.97
1995-01-01,170.24
1995-04-01,174.05
1995-07-01,176.58
1995-10-01,177.83
1996-01-01,179.81
1996-04-01,179.09
1996-07-01,178.92
1996-10-01,181.0
1997-01-01,182.02
1997-04-01,182.23
1997-07-01,184.9
1997-10-01,186.11
1998-01-01,188.6
1998-04-01,188.75
1998-07-01,189.57
1998-10-01,190.88
1999-01-01,191.3
1999-04-01,191.05
1999-07-01,192.36
1999-10-01,192.6
2000-01-01,194.32
2000-04-01,196.77
2000-07-01,198.57
2000-10-01,201.44
2001-01-01,205.92
2001-04-01,208.55
2001-07-01,212.43
2001-10-01,215.12
2002-01-01,218.23
2002-04-01,221.77
2002-07-01,226.6
2002-10-01,229.17
2003-01-01,233.29
2003-04-01,237.89
2003-07-01,244.72
2003-10-01,259.32
2004-01-01,273.07
2004-04-01,297.85
2004-07-01,335.93
2004-10-01,348.71
2005-01-01,362.61
2005-04-01,381.92
2005-07-01,395.42
2005-10-01,410.01
2006-01-01,419.3
2006-04-01,419.98
2006-07-01,421.45
2006-10-01,420.17
2007-01-01,417.46
2007-04-01,408.76
2007-07-01,395.15
2007-10-01,384.79
2008-01-01,363.68
2008-04-01,334.36
2008-07-01,300.79
2008-10-01,284.85
2009-01-01,283.14
2009-04-01,262.82
2009-07-01,244.62
2009-10-01,237.16
2010-01-01,228.2
2010-04-01,220.17
2010-07-01,221.65
2010-10-01,215.8
2011-01-01,203.97
2011-04-01,190.09
2011-07-01,188.95
2011-10-01,189.2
2012-01-01,187.65
2012-04-01,186.61
2012-07-01,191.41
2012-10-01,196.58
2013-01-01,202.95
2013-04-01,215.68
2013-07-01,229.12
2013-10-01,239.23
2014-01-01,245.01
2014-04-01,252.99
2014-07-01,262.3
2014-10-01,265.86
2015-01-01,272.03
2015-04-01,280.6
2015-07-01,288.27
2015-10-01,295.39
2016-01-01,298.9
2016-04-01,306.64
2016-07-01,315.52
2016-10-01,319.51
2017-01-01,324.14
2017-04-01,334.21
2017-07-01,346.11
2017-10-01,354.48
2018-01-01,365.61
2018-04-01,381.18
2018-07-01,392.4
2018-10-01,398.41
2019-01-01,400.88
2019-04-01,407.2
2019-07-01,410.3
2019-10-01,413.38
2020-01-01,417.88
2020-04-01,422.95
2020-07-01,429.2
2020-10-01,438.87
2021-01-01,454.4
2021-04-01,484.39
2021-07-01,521.83
2021-10-01,544.36
2022-01-01,567.1
2022-04-01,608.21
2022-07-01,607.98
2022-10-01,592.31
