DATE,NYSTHPI
1975-01-01,78.37
1975-04-01,75.77
1975-07-01,77.72
1975-10-01,79.6
1976-01-01,73.08
1976-04-01,74.85
1976-07-01,75.6
1976-10-01,73.94
1977-01-01,77.73
1977-04-01,82.9
1977-07-01,82.53
1977-10-01,84.63
1978-01-01,83.39
1978-04-01,87.52
1978-07-01,84.01
1978-10-01,83.94
1979-01-01,96.65
1979-04-01,95.92
1979-07-01,94.75
1979-10-01,98.16
1980-01-01,100.00
1980-04-01,107.18
1980-07-01,114.94
1980-10-01,111.24
1981-01-01,112.12
1981-04-01,108.36
1981-07-01,115.71
1981-10-01,114.37
1982-01-01,123.32
1982-04-01,125.17
1982-07-01,122.39
1982-10-01,126.46
1983-01-01,128.72
1983-04-01,132.77
1983-07-01,138.22
1983-10-01,147.13
1984-01-01,150.68
1984-04-01,156.63
1984-07-01,162.17
1984-10-01,169.19
1985-01-01,176.21
1985-04-01,184.54
1985-07-01,191.02
1985-10-01,198.52
1986-01-01,206.41
1986-04-01,217.15
1986-07-01,227.01
1986-10-01,237.19
1987-01-01,246.62
1987-04-01,255.24
1987-07-01,266.92
1987-10-01,270.85
1988-01-01,277.17
1988-04-01,280.69
1988-07-01,282.75
1988-10-01,283.6
1989-01-01,283.36
1989-04-01,282.86
1989-07-01,285.88
1989-10-01,286.53
1990-01-01,286.5
1990-04-01,283.28
1990-07-01,281.65
1990-10-01,278.7
1991-01-01,278.29
1991-04-01,280.1
1991-07-01,279.22
1991-10-01,281.5
1992-01-01,286.78
1992-04-01,282.82
1992-07-01,285.95
1992-10-01,287.98
1993-01-01,282.64
1993-04-01,289.32
1993-07-01,288.41
1993-10-01,289.55
1994-01-01,286.21
1994-04-01,282.37
1994-07-01,280.89
1994-10-01,275.67
1995-01-01,274.34
1995-04-01,279.09
1995-07-01,283.72
1995-10-01,282.85
1996-01-01,287.62
1996-04-01,285.91
1996-07-01,283.85
1996-10-01,283.55
1997-01-01,283.66
1997-04-01,287.01
1997-07-01,289.5
1997-10-01,292.41
1998-01-01,298.97
1998-04-01,301.23
1998-07-01,303.55
1998-10-01,307.64
1999-01-01,309.97
1999-04-01,315.72
1999-07-01,324.65
1999-10-01,330.79
2000-01-01,335.56
2000-04-01,345.6
2000-07-01,355.71
2000-10-01,361.15
2001-01-01,369.29
2001-04-01,377.48
2001-07-01,387.85
2001-10-01,394.7
2002-01-01,404.36
2002-04-01,417.15
2002-07-01,429.8
2002-10-01,439.08
2003-01-01,448.9
2003-04-01,459.79
2003-07-01,466.85
2003-10-01,488.75
2004-01-01,499.07
2004-04-01,513.72
2004-07-01,538.75
2004-10-01,552.36
2005-01-01,567.04
2005-04-01,585.79
2005-07-01,604.98
2005-10-01,618.63
2006-01-01,629.67
2006-04-01,631.61
2006-07-01,630.93
2006-10-01,639.03
2007-01-01,642.18
2007-04-01,640.02
2007-07-01,630.81
2007-10-01,632.77
2008-01-01,636.08
2008-04-01,624.09
2008-07-01,607.89
2008-10-01,602.17
2009-01-01,609.31
2009-04-01,596.23
2009-07-01,582.06
2009-10-01,576.9
2010-01-01,573.19
2010-04-01,569.58
2010-07-01,577.64
2010-10-01,577.47
2011-01-01,568.79
2011-04-01,560.72
2011-07-01,558.16
2011-10-01,562.52
2012-01-01,558.25
2012-04-01,552.48
2012-07-01,554.35
2012-10-01,556.12
2013-01-01,556.88
2013-04-01,558.33
2013-07-01,561.14
2013-10-01,560.19
2014-01-01,560.58
2014-04-01,566.28
2014-07-01,574.53
2014-10-01,577.8
2015-01-01,583.17
2015-04-01,587.97
2015-07-01,592.95
2015-10-01,593.77
2016-01-01,596.92
2016-04-01,606.48
2016-07-01,614.84
2016-10-01,620.31
2017-01-01,621.96
2017-04-01,631.96
2017-07-01,644.42
2017-10-01,650.53
2018-01-01,657.43
2018-04-01,665.42
2018-07-01,676.38
2018-10-01,676.64
2019-01-01,682.35
2019-04-01,693.31
2019-07-01,703.45
2019-10-01,710.98
2020-01-01,717.56
2020-04-01,723.42
2020-07-01,735.17
2020-10-01,751.3
2021-01-01,769.04
2021-04-01,796.47
2021-07-01,837.02
2021-10-01,856.33
2022-01-01,877.9
2022-04-01,930.46
2022-07-01,951.88
2022-10-01,947.63
