DATE,OHSTHPI
1975-01-01,65.03
1975-04-01,64.81
1975-07-01,64.46
1975-10-01,65.93
1976-01-01,66.55
1976-04-01,68.72
1976-07-01,71.06
1976-10-01,72.41
1977-01-01,73.19
1977-04-01,75.28
1977-07-01,78.89
1977-10-01,81.19
1978-01-01,83.24
1978-04-01,86.48
1978-07-01,89.11
1978-10-01,91.42
1979-01-01,95.68
1979-04-01,98.57
1979-07-01,99.19
1979-10-01,100.79
1980-01-01,100.00
1980-04-01,99.75
1980-07-01,102.11
1980-10-01,103.52
1981-01-01,103.41
1981-04-01,103.66
1981-07-01,103.29
1981-10-01,100.36
1982-01-01,89.11
1982-04-01,96.7
1982-07-01,99.1
1982-10-01,102.99
1983-01-01,102.34
1983-04-01,105.41
1983-07-01,106.15
1983-10-01,105.66
1984-01-01,106.13
1984-04-01,107.23
1984-07-01,107.31
1984-10-01,107.51
1985-01-01,108.17
1985-04-01,109.39
1985-07-01,110.68
1985-10-01,111.54
1986-01-01,113.04
1986-04-01,114.56
1986-07-01,116.42
1986-10-01,117.98
1987-01-01,120.21
1987-04-01,122.65
1987-07-01,125.08
1987-10-01,126.33
1988-01-01,128.5
1988-04-01,131.19
1988-07-01,132.38
1988-10-01,133.59
1989-01-01,135.23
1989-04-01,136.56
1989-07-01,139.49
1989-10-01,140.5
1990-01-01,142.05
1990-04-01,143.34
1990-07-01,145.34
1990-10-01,145.69
1991-01-01,147.35
1991-04-01,149.38
1991-07-01,150.4
1991-10-01,152.64
1992-01-01,154.3
1992-04-01,155.35
1992-07-01,157.48
1992-10-01,159.02
1993-01-01,159.77
1993-04-01,161.61
1993-07-01,163.54
1993-10-01,165.52
1994-01-01,167.4
1994-04-01,170.19
1994-07-01,171.17
1994-10-01,172.66
1995-01-01,173.61
1995-04-01,176.91
1995-07-01,180.01
1995-10-01,182.23
1996-01-01,184.84
1996-04-01,186.58
1996-07-01,187.92
1996-10-01,189.79
1997-01-01,192.29
1997-04-01,193.8
1997-07-01,196.5
1997-10-01,198.92
1998-01-01,201.26
1998-04-01,203.15
1998-07-01,205.64
1998-10-01,207.87
1999-01-01,210.03
1999-04-01,211.87
1999-07-01,212.52
1999-10-01,213.92
2000-01-01,216.13
2000-04-01,218.74
2000-07-01,221.42
2000-10-01,224.27
2001-01-01,228.55
2001-04-01,230.89
2001-07-01,233.07
2001-10-01,234.98
2002-01-01,236.95
2002-04-01,238.57
2002-07-01,240.94
2002-10-01,242.51
2003-01-01,244.29
2003-04-01,246.05
2003-07-01,248.05
2003-10-01,251.46
2004-01-01,253.01
2004-04-01,254.51
2004-07-01,257.42
2004-10-01,260.08
2005-01-01,262.37
2005-04-01,264.46
2005-07-01,267.03
2005-10-01,267.38
2006-01-01,267.4
2006-04-01,266.3
2006-07-01,265.69
2006-10-01,266.73
2007-01-01,266.8
2007-04-01,265.24
2007-07-01,262.26
2007-10-01,262.21
2008-01-01,263.43
2008-04-01,259.4
2008-07-01,252.97
2008-10-01,253.48
2009-01-01,258.11
2009-04-01,252.26
2009-07-01,247.24
2009-10-01,246.83
2010-01-01,244.06
2010-04-01,242.19
2010-07-01,245.48
2010-10-01,244.45
2011-01-01,236.95
2011-04-01,233.41
2011-07-01,236.33
2011-10-01,237.03
2012-01-01,234.2
2012-04-01,233.06
2012-07-01,235.26
2012-10-01,234.7
2013-01-01,233.65
2013-04-01,234.37
2013-07-01,235.51
2013-10-01,235.26
2014-01-01,235.62
2014-04-01,240.81
2014-07-01,243.55
2014-10-01,244.54
2015-01-01,245.94
2015-04-01,249.93
2015-07-01,252.57
2015-10-01,253.23
2016-01-01,254.36
2016-04-01,258.9
2016-07-01,264.12
2016-10-01,263.74
2017-01-01,265.06
2017-04-01,272.65
2017-07-01,276.13
2017-10-01,276.94
2018-01-01,280.87
2018-04-01,286.71
2018-07-01,291.1
2018-10-01,291.65
2019-01-01,294.96
2019-04-01,301.22
2019-07-01,305.75
2019-10-01,308.58
2020-01-01,313.07
2020-04-01,315.99
2020-07-01,323.38
2020-10-01,331.17
2021-01-01,337.3
2021-04-01,354.41
2021-07-01,372.63
2021-10-01,381.7
2022-01-01,393.55
2022-04-01,420.11
2022-07-01,426.9
2022-10-01,423.04
