DATE,OKSTHPI
1975-01-01,51.93
1975-04-01,53.13
1975-07-01,52.67
1975-10-01,54.47
1976-01-01,54.52
1976-04-01,60.91
1976-07-01,59.23
1976-10-01,62.2
1977-01-01,64.09
1977-04-01,63.69
1977-07-01,67.95
1977-10-01,69.76
1978-01-01,71.74
1978-04-01,77.93
1978-07-01,81.58
1978-10-01,84.61
1979-01-01,88.45
1979-04-01,90.75
1979-07-01,94.02
1979-10-01,95.87
1980-01-01,100.00
1980-04-01,99.14
1980-07-01,103.81
1980-10-01,102.03
1981-01-01,102.98
1981-04-01,106.5
1981-07-01,111.79
1981-10-01,113.38
1982-01-01,116.57
1982-04-01,119.04
1982-07-01,119.98
1982-10-01,123.02
1983-01-01,124.03
1983-04-01,125.81
1983-07-01,126.9
1983-10-01,126.37
1984-01-01,122.2
1984-04-01,122.45
1984-07-01,120.32
1984-10-01,119.87
1985-01-01,118.91
1985-04-01,117.1
1985-07-01,117.33
1985-10-01,114.25
1986-01-01,116.23
1986-04-01,117.27
1986-07-01,113.01
1986-10-01,111.54
1987-01-01,111.45
1987-04-01,108.19
1987-07-01,102.83
1987-10-01,100.34
1988-01-01,98.16
1988-04-01,99.17
1988-07-01,97.32
1988-10-01,97.71
1989-01-01,98.3
1989-04-01,99.77
1989-07-01,101.37
1989-10-01,100.52
1990-01-01,100.38
1990-04-01,101.41
1990-07-01,101.31
1990-10-01,100.99
1991-01-01,102.73
1991-04-01,104.0
1991-07-01,104.27
1991-10-01,106.14
1992-01-01,106.87
1992-04-01,106.81
1992-07-01,108.4
1992-10-01,108.89
1993-01-01,109.29
1993-04-01,111.26
1993-07-01,112.8
1993-10-01,114.46
1994-01-01,114.99
1994-04-01,117.06
1994-07-01,117.25
1994-10-01,117.41
1995-01-01,118.04
1995-04-01,120.2
1995-07-01,122.2
1995-10-01,122.62
1996-01-01,124.26
1996-04-01,125.03
1996-07-01,125.95
1996-10-01,126.7
1997-01-01,127.49
1997-04-01,128.1
1997-07-01,129.83
1997-10-01,131.66
1998-01-01,133.38
1998-04-01,134.54
1998-07-01,135.9
1998-10-01,138.17
1999-01-01,138.76
1999-04-01,140.11
1999-07-01,142.17
1999-10-01,142.2
2000-01-01,143.66
2000-04-01,145.37
2000-07-01,147.73
2000-10-01,148.71
2001-01-01,152.13
2001-04-01,153.63
2001-07-01,155.25
2001-10-01,157.03
2002-01-01,157.89
2002-04-01,159.42
2002-07-01,161.6
2002-10-01,163.53
2003-01-01,164.55
2003-04-01,166.65
2003-07-01,167.78
2003-10-01,169.39
2004-01-01,171.41
2004-04-01,172.9
2004-07-01,174.26
2004-10-01,177.17
2005-01-01,178.38
2005-04-01,181.27
2005-07-01,184.69
2005-10-01,186.87
2006-01-01,188.21
2006-04-01,190.65
2006-07-01,192.08
2006-10-01,194.83
2007-01-01,197.25
2007-04-01,198.08
2007-07-01,200.75
2007-10-01,202.53
2008-01-01,203.61
2008-04-01,204.74
2008-07-01,203.02
2008-10-01,203.26
2009-01-01,206.5
2009-04-01,204.72
2009-07-01,203.5
2009-10-01,204.08
2010-01-01,202.54
2010-04-01,202.34
2010-07-01,204.35
2010-10-01,203.74
2011-01-01,199.62
2011-04-01,199.6
2011-07-01,199.13
2011-10-01,202.05
2012-01-01,202.15
2012-04-01,201.87
2012-07-01,203.51
2012-10-01,204.74
2013-01-01,204.72
2013-04-01,206.62
2013-07-01,207.56
2013-10-01,207.04
2014-01-01,209.46
2014-04-01,211.15
2014-07-01,213.93
2014-10-01,214.94
2015-01-01,216.81
2015-04-01,219.97
2015-07-01,222.12
2015-10-01,223.31
2016-01-01,223.72
2016-04-01,225.78
2016-07-01,227.91
2016-10-01,227.99
2017-01-01,230.94
2017-04-01,233.83
2017-07-01,235.03
2017-10-01,236.21
2018-01-01,236.9
2018-04-01,240.07
2018-07-01,241.68
2018-10-01,242.41
2019-01-01,245.42
2019-04-01,247.38
2019-07-01,251.99
2019-10-01,253.43
2020-01-01,257.44
2020-04-01,259.32
2020-07-01,262.95
2020-10-01,267.99
2021-01-01,272.98
2021-04-01,285.65
2021-07-01,300.6
2021-10-01,309.85
2022-01-01,321.35
2022-04-01,339.89
2022-07-01,348.07
2022-10-01,350.67
