DATE,ORSTHPI
1975-01-01,51.21
1975-04-01,51.18
1975-07-01,54.18
1975-10-01,53.27
1976-01-01,57.22
1976-04-01,56.97
1976-07-01,60.08
1976-10-01,63.58
1977-01-01,67.15
1977-04-01,69.01
1977-07-01,74.04
1977-10-01,78.13
1978-01-01,79.96
1978-04-01,84.6
1978-07-01,88.21
1978-10-01,91.95
1979-01-01,95.79
1979-04-01,96.13
1979-07-01,98.31
1979-10-01,100.13
1980-01-01,100.00
1980-04-01,98.81
1980-07-01,105.43
1980-10-01,101.91
1981-01-01,97.58
1981-04-01,99.11
1981-07-01,96.21
1981-10-01,88.79
1982-01-01,96.76
1982-04-01,92.94
1982-07-01,96.15
1982-10-01,102.46
1983-01-01,98.57
1983-04-01,100.32
1983-07-01,99.21
1983-10-01,98.51
1984-01-01,98.74
1984-04-01,97.71
1984-07-01,96.11
1984-10-01,99.48
1985-01-01,97.95
1985-04-01,97.89
1985-07-01,96.96
1985-10-01,97.24
1986-01-01,97.99
1986-04-01,98.74
1986-07-01,99.52
1986-10-01,97.83
1987-01-01,100.0
1987-04-01,100.37
1987-07-01,99.46
1987-10-01,98.77
1988-01-01,100.81
1988-04-01,101.48
1988-07-01,105.09
1988-10-01,105.67
1989-01-01,107.96
1989-04-01,110.48
1989-07-01,113.81
1989-10-01,116.64
1990-01-01,120.77
1990-04-01,126.99
1990-07-01,131.72
1990-10-01,134.08
1991-01-01,136.38
1991-04-01,139.53
1991-07-01,141.95
1991-10-01,144.89
1992-01-01,147.95
1992-04-01,149.77
1992-07-01,153.43
1992-10-01,156.33
1993-01-01,158.46
1993-04-01,161.63
1993-07-01,165.4
1993-10-01,168.87
1994-01-01,173.17
1994-04-01,179.22
1994-07-01,183.63
1994-10-01,186.74
1995-01-01,190.91
1995-04-01,195.56
1995-07-01,200.48
1995-10-01,203.75
1996-01-01,207.74
1996-04-01,210.83
1996-07-01,214.22
1996-10-01,217.77
1997-01-01,221.3
1997-04-01,223.88
1997-07-01,228.51
1997-10-01,231.32
1998-01-01,234.82
1998-04-01,236.11
1998-07-01,238.52
1998-10-01,240.73
1999-01-01,241.86
1999-04-01,243.25
1999-07-01,244.03
1999-10-01,244.93
2000-01-01,247.41
2000-04-01,249.09
2000-07-01,251.45
2000-10-01,254.13
2001-01-01,261.05
2001-04-01,263.53
2001-07-01,265.89
2001-10-01,268.17
2002-01-01,271.6
2002-04-01,273.5
2002-07-01,278.19
2002-10-01,280.41
2003-01-01,283.33
2003-04-01,285.95
2003-07-01,289.99
2003-10-01,297.32
2004-01-01,301.11
2004-04-01,310.12
2004-07-01,323.85
2004-10-01,331.39
2005-01-01,341.4
2005-04-01,359.6
2005-07-01,379.68
2005-10-01,396.17
2006-01-01,410.45
2006-04-01,427.14
2006-07-01,438.31
2006-10-01,446.58
2007-01-01,451.64
2007-04-01,456.77
2007-07-01,454.53
2007-10-01,456.11
2008-01-01,453.45
2008-04-01,445.35
2008-07-01,430.84
2008-10-01,424.58
2009-01-01,422.05
2009-04-01,405.79
2009-07-01,391.77
2009-10-01,384.67
2010-01-01,377.76
2010-04-01,372.29
2010-07-01,372.45
2010-10-01,366.87
2011-01-01,351.54
2011-04-01,341.28
2011-07-01,344.35
2011-10-01,347.76
2012-01-01,341.64
2012-04-01,338.1
2012-07-01,345.48
2012-10-01,351.11
2013-01-01,353.74
2013-04-01,363.54
2013-07-01,373.7
2013-10-01,378.32
2014-01-01,383.77
2014-04-01,396.38
2014-07-01,403.19
2014-10-01,407.41
2015-01-01,413.88
2015-04-01,428.07
2015-07-01,441.46
2015-10-01,448.52
2016-01-01,458.27
2016-04-01,474.95
2016-07-01,489.35
2016-10-01,496.96
2017-01-01,502.46
2017-04-01,518.11
2017-07-01,527.31
2017-10-01,530.51
2018-01-01,537.98
2018-04-01,551.42
2018-07-01,557.41
2018-10-01,558.58
2019-01-01,564.97
2019-04-01,574.32
2019-07-01,581.23
2019-10-01,586.69
2020-01-01,592.42
2020-04-01,599.94
2020-07-01,610.31
2020-10-01,626.88
2021-01-01,647.87
2021-04-01,691.04
2021-07-01,733.41
2021-10-01,753.4
2022-01-01,777.84
2022-04-01,823.18
2022-07-01,817.87
2022-10-01,798.38
