DATE,PASTHPI
1975-01-01,70.73
1975-04-01,69.57
1975-07-01,74.09
1975-10-01,71.82
1976-01-01,72.65
1976-04-01,76.68
1976-07-01,77.34
1976-10-01,75.07
1977-01-01,74.64
1977-04-01,80.23
1977-07-01,80.86
1977-10-01,83.47
1978-01-01,84.04
1978-04-01,87.51
1978-07-01,86.44
1978-10-01,87.75
1979-01-01,92.51
1979-04-01,97.03
1979-07-01,96.33
1979-10-01,98.82
1980-01-01,100.00
1980-04-01,96.18
1980-07-01,101.51
1980-10-01,101.58
1981-01-01,101.75
1981-04-01,103.89
1981-07-01,104.4
1981-10-01,101.45
1982-01-01,103.68
1982-04-01,103.97
1982-07-01,104.44
1982-10-01,105.25
1983-01-01,108.69
1983-04-01,110.43
1983-07-01,112.89
1983-10-01,113.75
1984-01-01,113.68
1984-04-01,116.83
1984-07-01,118.66
1984-10-01,119.55
1985-01-01,121.09
1985-04-01,124.22
1985-07-01,126.68
1985-10-01,128.38
1986-01-01,131.4
1986-04-01,135.1
1986-07-01,139.7
1986-10-01,144.32
1987-01-01,149.12
1987-04-01,155.13
1987-07-01,162.75
1987-10-01,168.35
1988-01-01,171.68
1988-04-01,178.92
1988-07-01,183.67
1988-10-01,185.37
1989-01-01,187.64
1989-04-01,188.97
1989-07-01,193.14
1989-10-01,195.5
1990-01-01,195.81
1990-04-01,196.1
1990-07-01,196.64
1990-10-01,195.91
1991-01-01,197.49
1991-04-01,199.07
1991-07-01,199.2
1991-10-01,202.78
1992-01-01,203.85
1992-04-01,203.5
1992-07-01,205.43
1992-10-01,206.74
1993-01-01,206.41
1993-04-01,207.86
1993-07-01,208.6
1993-10-01,210.47
1994-01-01,210.4
1994-04-01,209.21
1994-07-01,207.55
1994-10-01,205.93
1995-01-01,205.33
1995-04-01,208.75
1995-07-01,212.36
1995-10-01,213.55
1996-01-01,216.27
1996-04-01,213.75
1996-07-01,212.96
1996-10-01,214.38
1997-01-01,215.75
1997-04-01,215.6
1997-07-01,217.73
1997-10-01,219.97
1998-01-01,223.5
1998-04-01,223.95
1998-07-01,224.79
1998-10-01,227.81
1999-01-01,229.37
1999-04-01,230.02
1999-07-01,231.01
1999-10-01,232.07
2000-01-01,234.39
2000-04-01,237.83
2000-07-01,240.31
2000-10-01,243.18
2001-01-01,249.46
2001-04-01,253.44
2001-07-01,256.83
2001-10-01,260.09
2002-01-01,264.08
2002-04-01,268.71
2002-07-01,274.25
2002-10-01,279.02
2003-01-01,282.2
2003-04-01,285.87
2003-07-01,291.8
2003-10-01,300.42
2004-01-01,305.69
2004-04-01,313.7
2004-07-01,326.61
2004-10-01,333.92
2005-01-01,340.84
2005-04-01,352.52
2005-07-01,364.11
2005-10-01,371.66
2006-01-01,378.32
2006-04-01,382.54
2006-07-01,386.9
2006-10-01,391.46
2007-01-01,394.88
2007-04-01,396.54
2007-07-01,394.73
2007-10-01,396.44
2008-01-01,399.24
2008-04-01,394.26
2008-07-01,387.49
2008-10-01,386.98
2009-01-01,390.88
2009-04-01,385.08
2009-07-01,377.82
2009-10-01,376.49
2010-01-01,374.02
2010-04-01,372.07
2010-07-01,376.53
2010-10-01,375.6
2011-01-01,369.77
2011-04-01,364.64
2011-07-01,365.17
2011-10-01,366.57
2012-01-01,363.55
2012-04-01,361.83
2012-07-01,363.81
2012-10-01,364.82
2013-01-01,364.99
2013-04-01,366.19
2013-07-01,367.72
2013-10-01,366.92
2014-01-01,366.97
2014-04-01,371.63
2014-07-01,374.33
2014-10-01,375.11
2015-01-01,379.14
2015-04-01,381.57
2015-07-01,383.3
2015-10-01,383.76
2016-01-01,385.41
2016-04-01,391.43
2016-07-01,395.58
2016-10-01,396.47
2017-01-01,397.31
2017-04-01,404.57
2017-07-01,409.52
2017-10-01,410.68
2018-01-01,415.31
2018-04-01,420.95
2018-07-01,425.09
2018-10-01,425.08
2019-01-01,429.85
2019-04-01,437.99
2019-07-01,443.86
2019-10-01,446.79
2020-01-01,452.53
2020-04-01,456.4
2020-07-01,465.8
2020-10-01,473.99
2021-01-01,485.49
2021-04-01,507.17
2021-07-01,531.66
2021-10-01,543.45
2022-01-01,559.26
2022-04-01,589.44
2022-07-01,599.98
2022-10-01,601.61
