DATE,RISTHPI
1975-01-01,61.34
1975-04-01,65.97
1975-07-01,64.7
1975-10-01,66.93
1976-01-01,66.08
1976-04-01,68.76
1976-07-01,70.34
1976-10-01,69.54
1977-01-01,69.28
1977-04-01,72.23
1977-07-01,75.08
1977-10-01,77.06
1978-01-01,80.19
1978-04-01,82.03
1978-07-01,84.91
1978-10-01,87.08
1979-01-01,90.22
1979-04-01,92.4
1979-07-01,92.98
1979-10-01,100.3
1980-01-01,100.00
1980-04-01,102.57
1980-07-01,101.78
1980-10-01,97.8
1981-01-01,94.58
1981-04-01,105.82
1981-07-01,103.31
1981-10-01,101.25
1982-01-01,105.3
1982-04-01,102.95
1982-07-01,102.57
1982-10-01,108.18
1983-01-01,109.25
1983-04-01,111.08
1983-07-01,118.7
1983-10-01,120.43
1984-01-01,118.93
1984-04-01,120.52
1984-07-01,126.58
1984-10-01,128.17
1985-01-01,130.93
1985-04-01,137.28
1985-07-01,141.62
1985-10-01,150.17
1986-01-01,154.35
1986-04-01,162.0
1986-07-01,173.11
1986-10-01,189.3
1987-01-01,202.78
1987-04-01,214.51
1987-07-01,230.37
1987-10-01,240.19
1988-01-01,248.26
1988-04-01,251.65
1988-07-01,254.21
1988-10-01,256.14
1989-01-01,258.29
1989-04-01,259.47
1989-07-01,265.3
1989-10-01,266.48
1990-01-01,263.5
1990-04-01,259.07
1990-07-01,259.51
1990-10-01,254.07
1991-01-01,254.69
1991-04-01,249.32
1991-07-01,246.43
1991-10-01,249.37
1992-01-01,248.12
1992-04-01,244.69
1992-07-01,244.84
1992-10-01,245.8
1993-01-01,244.48
1993-04-01,244.67
1993-07-01,243.98
1993-10-01,246.29
1994-01-01,244.92
1994-04-01,238.7
1994-07-01,234.24
1994-10-01,231.54
1995-01-01,233.47
1995-04-01,235.99
1995-07-01,240.17
1995-10-01,242.24
1996-01-01,244.87
1996-04-01,239.88
1996-07-01,236.32
1996-10-01,238.03
1997-01-01,239.51
1997-04-01,237.76
1997-07-01,242.98
1997-10-01,245.68
1998-01-01,249.8
1998-04-01,248.6
1998-07-01,250.96
1998-10-01,253.89
1999-01-01,255.89
1999-04-01,258.27
1999-07-01,263.8
1999-10-01,268.43
2000-01-01,276.99
2000-04-01,285.38
2000-07-01,294.38
2000-10-01,299.86
2001-01-01,305.81
2001-04-01,316.29
2001-07-01,328.48
2001-10-01,335.44
2002-01-01,348.35
2002-04-01,365.47
2002-07-01,379.42
2002-10-01,391.33
2003-01-01,402.91
2003-04-01,412.48
2003-07-01,429.71
2003-10-01,457.87
2004-01-01,468.73
2004-04-01,489.96
2004-07-01,524.38
2004-10-01,537.78
2005-01-01,548.89
2005-04-01,571.21
2005-07-01,584.01
2005-10-01,592.97
2006-01-01,598.42
2006-04-01,598.4
2006-07-01,596.83
2006-10-01,596.44
2007-01-01,596.23
2007-04-01,585.19
2007-07-01,574.15
2007-10-01,571.65
2008-01-01,565.51
2008-04-01,542.96
2008-07-01,518.03
2008-10-01,512.13
2009-01-01,515.04
2009-04-01,492.0
2009-07-01,479.55
2009-10-01,479.85
2010-01-01,472.09
2010-04-01,465.11
2010-07-01,472.54
2010-10-01,471.52
2011-01-01,459.98
2011-04-01,444.44
2011-07-01,445.4
2011-10-01,448.38
2012-01-01,441.45
2012-04-01,433.5
2012-07-01,435.23
2012-10-01,437.58
2013-01-01,435.25
2013-04-01,435.93
2013-07-01,436.39
2013-10-01,433.9
2014-01-01,436.11
2014-04-01,443.48
2014-07-01,451.18
2014-10-01,454.14
2015-01-01,458.56
2015-04-01,467.65
2015-07-01,469.81
2015-10-01,473.0
2016-01-01,474.42
2016-04-01,484.3
2016-07-01,492.97
2016-10-01,500.79
2017-01-01,503.5
2017-04-01,512.65
2017-07-01,522.72
2017-10-01,529.35
2018-01-01,539.39
2018-04-01,546.77
2018-07-01,553.78
2018-10-01,555.46
2019-01-01,560.61
2019-04-01,571.02
2019-07-01,577.79
2019-10-01,585.13
2020-01-01,590.2
2020-04-01,597.68
2020-07-01,609.48
2020-10-01,627.55
2021-01-01,644.82
2021-04-01,684.02
2021-07-01,727.83
2021-10-01,748.6
2022-01-01,769.72
2022-04-01,830.4
2022-07-01,839.15
2022-10-01,827.6
