DATE,SCSTHPI
1975-01-01,75.25
1975-04-01,69.72
1975-07-01,72.14
1975-10-01,69.95
1976-01-01,71.06
1976-04-01,77.09
1976-07-01,76.65
1976-10-01,75.59
1977-01-01,75.88
1977-04-01,78.96
1977-07-01,81.29
1977-10-01,82.88
1978-01-01,82.28
1978-04-01,86.76
1978-07-01,88.16
1978-10-01,89.64
1979-01-01,93.82
1979-04-01,95.73
1979-07-01,97.64
1979-10-01,100.27
1980-01-01,100.00
1980-04-01,103.85
1980-07-01,109.14
1980-10-01,106.13
1981-01-01,113.45
1981-04-01,115.78
1981-07-01,117.8
1981-10-01,115.76
1982-01-01,119.38
1982-04-01,118.77
1982-07-01,120.36
1982-10-01,119.85
1983-01-01,124.03
1983-04-01,121.48
1983-07-01,124.55
1983-10-01,120.79
1984-01-01,127.48
1984-04-01,126.03
1984-07-01,123.84
1984-10-01,128.15
1985-01-01,131.06
1985-04-01,131.27
1985-07-01,132.12
1985-10-01,132.52
1986-01-01,135.76
1986-04-01,136.79
1986-07-01,138.68
1986-10-01,140.79
1987-01-01,143.45
1987-04-01,144.87
1987-07-01,144.96
1987-10-01,145.68
1988-01-01,148.19
1988-04-01,150.18
1988-07-01,151.24
1988-10-01,151.96
1989-01-01,154.38
1989-04-01,154.5
1989-07-01,157.99
1989-10-01,158.35
1990-01-01,159.88
1990-04-01,161.37
1990-07-01,162.73
1990-10-01,161.65
1991-01-01,163.49
1991-04-01,165.11
1991-07-01,166.12
1991-10-01,168.76
1992-01-01,169.63
1992-04-01,169.85
1992-07-01,172.42
1992-10-01,173.03
1993-01-01,173.29
1993-04-01,174.94
1993-07-01,177.07
1993-10-01,177.86
1994-01-01,178.8
1994-04-01,180.04
1994-07-01,180.81
1994-10-01,181.36
1995-01-01,182.96
1995-04-01,185.23
1995-07-01,187.63
1995-10-01,189.87
1996-01-01,192.62
1996-04-01,193.44
1996-07-01,194.94
1996-10-01,197.76
1997-01-01,199.04
1997-04-01,201.55
1997-07-01,204.83
1997-10-01,207.57
1998-01-01,210.68
1998-04-01,212.84
1998-07-01,215.95
1998-10-01,218.85
1999-01-01,221.89
1999-04-01,224.97
1999-07-01,227.21
1999-10-01,229.11
2000-01-01,231.53
2000-04-01,234.35
2000-07-01,237.16
2000-10-01,240.43
2001-01-01,246.65
2001-04-01,249.43
2001-07-01,251.29
2001-10-01,254.23
2002-01-01,255.69
2002-04-01,257.12
2002-07-01,261.18
2002-10-01,263.4
2003-01-01,264.88
2003-04-01,267.57
2003-07-01,269.16
2003-10-01,271.65
2004-01-01,274.8
2004-04-01,277.16
2004-07-01,282.42
2004-10-01,287.71
2005-01-01,292.61
2005-04-01,297.7
2005-07-01,305.2
2005-10-01,311.96
2006-01-01,316.31
2006-04-01,321.58
2006-07-01,326.31
2006-10-01,334.47
2007-01-01,336.43
2007-04-01,338.9
2007-07-01,338.56
2007-10-01,343.13
2008-01-01,345.43
2008-04-01,343.67
2008-07-01,337.49
2008-10-01,338.48
2009-01-01,342.6
2009-04-01,338.33
2009-07-01,328.24
2009-10-01,324.5
2010-01-01,320.31
2010-04-01,315.22
2010-07-01,319.8
2010-10-01,317.2
2011-01-01,308.85
2011-04-01,301.37
2011-07-01,303.86
2011-10-01,307.04
2012-01-01,301.95
2012-04-01,300.43
2012-07-01,302.82
2012-10-01,302.98
2013-01-01,302.43
2013-04-01,303.36
2013-07-01,303.84
2013-10-01,303.2
2014-01-01,304.28
2014-04-01,309.31
2014-07-01,312.95
2014-10-01,315.31
2015-01-01,321.03
2015-04-01,324.51
2015-07-01,327.6
2015-10-01,331.39
2016-01-01,334.25
2016-04-01,339.75
2016-07-01,347.78
2016-10-01,348.46
2017-01-01,352.49
2017-04-01,358.77
2017-07-01,365.56
2017-10-01,367.61
2018-01-01,375.51
2018-04-01,380.42
2018-07-01,385.58
2018-10-01,387.1
2019-01-01,392.46
2019-04-01,400.67
2019-07-01,406.09
2019-10-01,409.84
2020-01-01,415.86
2020-04-01,419.03
2020-07-01,426.35
2020-10-01,434.66
2021-01-01,444.9
2021-04-01,469.66
2021-07-01,496.34
2021-10-01,519.83
2022-01-01,544.27
2022-04-01,581.46
2022-07-01,603.31
2022-10-01,608.82
