DATE,SDSTHPI
1975-01-01,75.08
1975-04-01,70.27
1975-07-01,65.11
1975-10-01,63.87
1976-01-01,62.91
1976-04-01,67.61
1976-07-01,68.73
1976-10-01,66.64
1977-01-01,62.82
1977-04-01,70.55
1977-07-01,79.09
1977-10-01,81.51
1978-01-01,76.04
1978-04-01,84.22
1978-07-01,85.82
1978-10-01,85.63
1979-01-01,89.42
1979-04-01,90.67
1979-07-01,99.16
1979-10-01,91.07
1980-01-01,100.00
1980-04-01,107.07
1980-07-01,98.03
1980-10-01,95.03
1981-01-01,92.31
1981-04-01,98.53
1981-07-01,104.08
1981-10-01,86.8
1982-01-01,68.78
1982-04-01,110.25
1982-07-01,106.63
1982-10-01,118.62
1983-01-01,100.78
1983-04-01,121.53
1983-07-01,100.87
1983-10-01,99.6
1984-01-01,113.6
1984-04-01,109.55
1984-07-01,118.1
1984-10-01,106.72
1985-01-01,109.5
1985-04-01,108.95
1985-07-01,112.89
1985-10-01,112.74
1986-01-01,116.96
1986-04-01,118.06
1986-07-01,113.78
1986-10-01,117.02
1987-01-01,120.71
1987-04-01,118.42
1987-07-01,117.85
1987-10-01,119.14
1988-01-01,115.11
1988-04-01,115.67
1988-07-01,118.54
1988-10-01,116.58
1989-01-01,120.7
1989-04-01,117.08
1989-07-01,121.83
1989-10-01,119.27
1990-01-01,119.73
1990-04-01,125.46
1990-07-01,126.05
1990-10-01,125.41
1991-01-01,127.99
1991-04-01,131.49
1991-07-01,130.21
1991-10-01,132.86
1992-01-01,136.45
1992-04-01,136.6
1992-07-01,140.5
1992-10-01,142.11
1993-01-01,143.7
1993-04-01,147.34
1993-07-01,150.06
1993-10-01,152.24
1994-01-01,155.97
1994-04-01,158.27
1994-07-01,159.62
1994-10-01,162.67
1995-01-01,160.49
1995-04-01,166.13
1995-07-01,167.26
1995-10-01,170.33
1996-01-01,173.06
1996-04-01,172.53
1996-07-01,174.93
1996-10-01,173.99
1997-01-01,176.84
1997-04-01,179.73
1997-07-01,181.52
1997-10-01,184.09
1998-01-01,186.77
1998-04-01,187.68
1998-07-01,189.01
1998-10-01,188.95
1999-01-01,191.91
1999-04-01,194.27
1999-07-01,195.17
1999-10-01,196.39
2000-01-01,197.56
2000-04-01,201.22
2000-07-01,204.74
2000-10-01,204.9
2001-01-01,209.28
2001-04-01,212.43
2001-07-01,214.2
2001-10-01,215.17
2002-01-01,218.14
2002-04-01,221.08
2002-07-01,223.73
2002-10-01,225.07
2003-01-01,227.05
2003-04-01,228.26
2003-07-01,232.39
2003-10-01,237.31
2004-01-01,237.9
2004-04-01,242.24
2004-07-01,247.15
2004-10-01,250.56
2005-01-01,254.0
2005-04-01,260.01
2005-07-01,263.99
2005-10-01,268.22
2006-01-01,267.99
2006-04-01,272.53
2006-07-01,277.17
2006-10-01,278.04
2007-01-01,281.05
2007-04-01,283.79
2007-07-01,285.88
2007-10-01,288.15
2008-01-01,291.29
2008-04-01,291.81
2008-07-01,291.39
2008-10-01,293.37
2009-01-01,296.11
2009-04-01,294.87
2009-07-01,291.56
2009-10-01,290.4
2010-01-01,288.52
2010-04-01,288.21
2010-07-01,292.8
2010-10-01,292.95
2011-01-01,291.24
2011-04-01,288.73
2011-07-01,291.68
2011-10-01,293.38
2012-01-01,293.34
2012-04-01,294.99
2012-07-01,296.5
2012-10-01,300.19
2013-01-01,303.19
2013-04-01,304.42
2013-07-01,308.58
2013-10-01,309.94
2014-01-01,309.48
2014-04-01,314.63
2014-07-01,317.3
2014-10-01,320.22
2015-01-01,323.21
2015-04-01,327.39
2015-07-01,330.73
2015-10-01,334.47
2016-01-01,337.28
2016-04-01,340.09
2016-07-01,346.83
2016-10-01,348.94
2017-01-01,352.06
2017-04-01,359.57
2017-07-01,364.54
2017-10-01,365.64
2018-01-01,370.46
2018-04-01,374.37
2018-07-01,379.37
2018-10-01,383.45
2019-01-01,385.67
2019-04-01,391.43
2019-07-01,396.29
2019-10-01,401.18
2020-01-01,406.53
2020-04-01,408.24
2020-07-01,413.74
2020-10-01,424.28
2021-01-01,429.65
2021-04-01,458.88
2021-07-01,484.54
2021-10-01,503.02
2022-01-01,520.44
2022-04-01,555.84
2022-07-01,568.39
2022-10-01,572.93
