DATE,TNSTHPI
1975-01-01,68.05
1975-04-01,68.75
1975-07-01,67.76
1975-10-01,70.91
1976-01-01,70.31
1976-04-01,68.56
1976-07-01,71.47
1976-10-01,71.54
1977-01-01,74.8
1977-04-01,77.61
1977-07-01,78.17
1977-10-01,79.61
1978-01-01,84.6
1978-04-01,83.48
1978-07-01,86.93
1978-10-01,90.74
1979-01-01,90.71
1979-04-01,91.81
1979-07-01,96.61
1979-10-01,96.3
1980-01-01,100.00
1980-04-01,100.19
1980-07-01,99.36
1980-10-01,100.05
1981-01-01,96.39
1981-04-01,106.37
1981-07-01,108.33
1981-10-01,97.41
1982-01-01,105.91
1982-04-01,98.75
1982-07-01,105.65
1982-10-01,103.65
1983-01-01,110.19
1983-04-01,110.55
1983-07-01,112.16
1983-10-01,113.69
1984-01-01,110.07
1984-04-01,116.19
1984-07-01,109.35
1984-10-01,118.87
1985-01-01,120.92
1985-04-01,121.76
1985-07-01,124.11
1985-10-01,125.59
1986-01-01,128.32
1986-04-01,130.31
1986-07-01,132.5
1986-10-01,134.47
1987-01-01,137.91
1987-04-01,140.4
1987-07-01,140.71
1987-10-01,142.59
1988-01-01,143.79
1988-04-01,144.55
1988-07-01,144.54
1988-10-01,144.15
1989-01-01,145.14
1989-04-01,146.09
1989-07-01,146.71
1989-10-01,146.8
1990-01-01,147.29
1990-04-01,147.07
1990-07-01,146.88
1990-10-01,146.4
1991-01-01,147.69
1991-04-01,148.38
1991-07-01,148.74
1991-10-01,151.15
1992-01-01,152.45
1992-04-01,152.02
1992-07-01,155.37
1992-10-01,155.19
1993-01-01,155.82
1993-04-01,158.03
1993-07-01,160.11
1993-10-01,161.73
1994-01-01,163.47
1994-04-01,165.67
1994-07-01,168.22
1994-10-01,169.45
1995-01-01,171.9
1995-04-01,175.2
1995-07-01,177.77
1995-10-01,180.37
1996-01-01,183.22
1996-04-01,184.89
1996-07-01,187.03
1996-10-01,188.61
1997-01-01,191.11
1997-04-01,192.77
1997-07-01,195.21
1997-10-01,197.91
1998-01-01,201.41
1998-04-01,202.86
1998-07-01,205.37
1998-10-01,207.71
1999-01-01,209.68
1999-04-01,210.18
1999-07-01,211.48
1999-10-01,212.31
2000-01-01,214.17
2000-04-01,215.36
2000-07-01,217.5
2000-10-01,219.44
2001-01-01,224.92
2001-04-01,226.05
2001-07-01,227.48
2001-10-01,230.18
2002-01-01,231.24
2002-04-01,231.64
2002-07-01,235.03
2002-10-01,237.12
2003-01-01,238.69
2003-04-01,240.69
2003-07-01,242.27
2003-10-01,244.91
2004-01-01,246.9
2004-04-01,249.7
2004-07-01,253.23
2004-10-01,256.31
2005-01-01,259.82
2005-04-01,265.55
2005-07-01,270.9
2005-10-01,275.24
2006-01-01,279.76
2006-04-01,285.15
2006-07-01,288.81
2006-10-01,294.11
2007-01-01,296.89
2007-04-01,300.49
2007-07-01,300.79
2007-10-01,302.93
2008-01-01,304.2
2008-04-01,303.06
2008-07-01,298.52
2008-10-01,299.82
2009-01-01,302.42
2009-04-01,299.35
2009-07-01,292.44
2009-10-01,289.62
2010-01-01,286.86
2010-04-01,285.53
2010-07-01,289.64
2010-10-01,287.56
2011-01-01,280.7
2011-04-01,277.11
2011-07-01,280.26
2011-10-01,281.03
2012-01-01,278.61
2012-04-01,277.45
2012-07-01,280.52
2012-10-01,280.96
2013-01-01,281.23
2013-04-01,283.75
2013-07-01,284.48
2013-10-01,286.06
2014-01-01,287.52
2014-04-01,293.43
2014-07-01,296.0
2014-10-01,300.03
2015-01-01,302.64
2015-04-01,306.28
2015-07-01,311.69
2015-10-01,314.42
2016-01-01,318.58
2016-04-01,324.53
2016-07-01,330.49
2016-10-01,334.88
2017-01-01,338.79
2017-04-01,347.32
2017-07-01,354.25
2017-10-01,358.86
2018-01-01,364.38
2018-04-01,372.41
2018-07-01,378.0
2018-10-01,381.75
2019-01-01,385.9
2019-04-01,393.51
2019-07-01,399.18
2019-10-01,404.1
2020-01-01,410.07
2020-04-01,414.64
2020-07-01,423.53
2020-10-01,433.71
2021-01-01,446.22
2021-04-01,474.03
2021-07-01,506.0
2021-10-01,532.41
2022-01-01,559.93
2022-04-01,603.79
2022-07-01,623.24
2022-10-01,624.66
