DATE,TXSTHPI
1975-01-01,55.64
1975-04-01,58.58
1975-07-01,56.14
1975-10-01,59.34
1976-01-01,58.65
1976-04-01,63.57
1976-07-01,63.3
1976-10-01,63.12
1977-01-01,65.94
1977-04-01,71.53
1977-07-01,69.31
1977-10-01,73.4
1978-01-01,76.6
1978-04-01,78.89
1978-07-01,81.34
1978-10-01,85.46
1979-01-01,89.48
1979-04-01,92.76
1979-07-01,95.17
1979-10-01,96.99
1980-01-01,100.00
1980-04-01,104.45
1980-07-01,103.92
1980-10-01,105.68
1981-01-01,104.47
1981-04-01,111.12
1981-07-01,114.44
1981-10-01,112.2
1982-01-01,122.48
1982-04-01,119.04
1982-07-01,118.06
1982-10-01,120.94
1983-01-01,125.62
1983-04-01,125.86
1983-07-01,125.72
1983-10-01,126.26
1984-01-01,125.09
1984-04-01,126.23
1984-07-01,128.66
1984-10-01,128.08
1985-01-01,126.7
1985-04-01,127.77
1985-07-01,127.72
1985-10-01,126.47
1986-01-01,129.46
1986-04-01,131.54
1986-07-01,128.86
1986-10-01,126.54
1987-01-01,126.85
1987-04-01,123.04
1987-07-01,118.28
1987-10-01,114.68
1988-01-01,114.71
1988-04-01,116.63
1988-07-01,113.99
1988-10-01,113.13
1989-01-01,113.36
1989-04-01,114.36
1989-07-01,116.6
1989-10-01,116.33
1990-01-01,116.07
1990-04-01,116.94
1990-07-01,117.79
1990-10-01,116.89
1991-01-01,118.33
1991-04-01,119.53
1991-07-01,119.67
1991-10-01,121.07
1992-01-01,123.04
1992-04-01,122.6
1992-07-01,124.67
1992-10-01,125.19
1993-01-01,125.58
1993-04-01,126.71
1993-07-01,128.16
1993-10-01,129.4
1994-01-01,130.01
1994-04-01,130.21
1994-07-01,130.32
1994-10-01,129.66
1995-01-01,129.61
1995-04-01,131.82
1995-07-01,133.44
1995-10-01,134.28
1996-01-01,135.64
1996-04-01,135.39
1996-07-01,135.71
1996-10-01,136.19
1997-01-01,136.83
1997-04-01,137.84
1997-07-01,139.13
1997-10-01,140.78
1998-01-01,143.05
1998-04-01,144.08
1998-07-01,146.41
1998-10-01,147.99
1999-01-01,149.35
1999-04-01,152.25
1999-07-01,154.76
1999-10-01,156.56
2000-01-01,158.92
2000-04-01,161.57
2000-07-01,163.97
2000-10-01,165.89
2001-01-01,170.58
2001-04-01,172.83
2001-07-01,174.11
2001-10-01,176.06
2002-01-01,176.58
2002-04-01,178.07
2002-07-01,180.84
2002-10-01,182.74
2003-01-01,183.61
2003-04-01,184.79
2003-07-01,185.4
2003-10-01,186.53
2004-01-01,187.42
2004-04-01,189.34
2004-07-01,190.85
2004-10-01,193.04
2005-01-01,194.03
2005-04-01,197.18
2005-07-01,200.35
2005-10-01,202.7
2006-01-01,205.11
2006-04-01,208.33
2006-07-01,211.42
2006-10-01,214.32
2007-01-01,217.12
2007-04-01,220.75
2007-07-01,221.48
2007-10-01,223.14
2008-01-01,224.42
2008-04-01,225.1
2008-07-01,224.33
2008-10-01,224.72
2009-01-01,227.37
2009-04-01,225.85
2009-07-01,223.64
2009-10-01,223.08
2010-01-01,221.65
2010-04-01,221.82
2010-07-01,223.2
2010-10-01,222.24
2011-01-01,218.97
2011-04-01,217.9
2011-07-01,219.74
2011-10-01,219.93
2012-01-01,219.83
2012-04-01,221.34
2012-07-01,223.29
2012-10-01,224.89
2013-01-01,226.56
2013-04-01,230.64
2013-07-01,234.55
2013-10-01,237.24
2014-01-01,241.28
2014-04-01,247.38
2014-07-01,251.86
2014-10-01,254.88
2015-01-01,258.62
2015-04-01,265.12
2015-07-01,270.79
2015-10-01,273.08
2016-01-01,276.99
2016-04-01,284.12
2016-07-01,289.84
2016-10-01,292.86
2017-01-01,296.76
2017-04-01,305.69
2017-07-01,310.15
2017-10-01,312.88
2018-01-01,317.15
2018-04-01,324.12
2018-07-01,328.3
2018-10-01,329.33
2019-01-01,333.24
2019-04-01,339.13
2019-07-01,343.12
2019-10-01,345.69
2020-01-01,349.44
2020-04-01,351.99
2020-07-01,357.28
2020-10-01,365.56
2021-01-01,374.12
2021-04-01,396.18
2021-07-01,421.23
2021-10-01,439.15
2022-01-01,459.86
2022-04-01,494.02
2022-07-01,503.96
2022-10-01,500.8
