DATE,UTSTHPI
1975-01-01,55.12
1975-04-01,58.35
1975-07-01,55.14
1975-10-01,59.84
1976-01-01,61.82
1976-04-01,61.51
1976-07-01,64.8
1976-10-01,64.33
1977-01-01,69.66
1977-04-01,70.86
1977-07-01,74.82
1977-10-01,75.16
1978-01-01,81.52
1978-04-01,83.96
1978-07-01,87.16
1978-10-01,90.15
1979-01-01,94.68
1979-04-01,97.57
1979-07-01,97.99
1979-10-01,99.63
1980-01-01,100.00
1980-04-01,97.71
1980-07-01,104.0
1980-10-01,104.75
1981-01-01,106.19
1981-04-01,109.78
1981-07-01,108.62
1981-10-01,110.49
1982-01-01,106.66
1982-04-01,108.75
1982-07-01,111.84
1982-10-01,113.71
1983-01-01,114.3
1983-04-01,115.35
1983-07-01,111.63
1983-10-01,112.65
1984-01-01,112.24
1984-04-01,114.1
1984-07-01,114.81
1984-10-01,112.13
1985-01-01,116.58
1985-04-01,115.96
1985-07-01,116.32
1985-10-01,115.2
1986-01-01,119.16
1986-04-01,118.86
1986-07-01,118.2
1986-10-01,117.95
1987-01-01,119.28
1987-04-01,117.89
1987-07-01,113.64
1987-10-01,112.73
1988-01-01,112.79
1988-04-01,114.35
1988-07-01,112.06
1988-10-01,112.37
1989-01-01,113.33
1989-04-01,113.15
1989-07-01,115.55
1989-10-01,115.48
1990-01-01,116.47
1990-04-01,118.07
1990-07-01,118.93
1990-10-01,118.88
1991-01-01,122.56
1991-04-01,124.81
1991-07-01,124.89
1991-10-01,127.72
1992-01-01,129.63
1992-04-01,131.66
1992-07-01,133.87
1992-10-01,137.38
1993-01-01,140.35
1993-04-01,144.78
1993-07-01,150.0
1993-10-01,155.57
1994-01-01,161.84
1994-04-01,170.81
1994-07-01,176.55
1994-10-01,179.68
1995-01-01,184.34
1995-04-01,189.49
1995-07-01,195.97
1995-10-01,200.04
1996-01-01,204.64
1996-04-01,207.04
1996-07-01,210.57
1996-10-01,214.35
1997-01-01,217.92
1997-04-01,219.14
1997-07-01,223.44
1997-10-01,227.36
1998-01-01,230.01
1998-04-01,232.21
1998-07-01,234.45
1998-10-01,236.69
1999-01-01,237.98
1999-04-01,237.03
1999-07-01,234.3
1999-10-01,235.35
2000-01-01,236.47
2000-04-01,236.45
2000-07-01,238.93
2000-10-01,242.31
2001-01-01,247.71
2001-04-01,248.26
2001-07-01,248.49
2001-10-01,251.09
2002-01-01,250.66
2002-04-01,250.16
2002-07-01,253.3
2002-10-01,254.63
2003-01-01,255.29
2003-04-01,256.24
2003-07-01,256.96
2003-10-01,257.15
2004-01-01,259.64
2004-04-01,262.1
2004-07-01,265.42
2004-10-01,270.63
2005-01-01,275.57
2005-04-01,284.32
2005-07-01,294.85
2005-10-01,304.6
2006-01-01,314.98
2006-04-01,328.24
2006-07-01,342.76
2006-10-01,355.8
2007-01-01,366.66
2007-04-01,375.61
2007-07-01,380.26
2007-10-01,383.27
2008-01-01,382.28
2008-04-01,376.16
2008-07-01,364.76
2008-10-01,363.94
2009-01-01,361.06
2009-04-01,347.37
2009-07-01,332.64
2009-10-01,328.72
2010-01-01,323.76
2010-04-01,319.11
2010-07-01,321.81
2010-10-01,320.11
2011-01-01,305.87
2011-04-01,299.25
2011-07-01,304.71
2011-10-01,306.14
2012-01-01,305.45
2012-04-01,303.79
2012-07-01,310.25
2012-10-01,315.58
2013-01-01,318.35
2013-04-01,327.35
2013-07-01,334.94
2013-10-01,339.32
2014-01-01,341.38
2014-04-01,347.83
2014-07-01,351.69
2014-10-01,355.81
2015-01-01,359.34
2015-04-01,365.27
2015-07-01,372.47
2015-10-01,377.47
2016-01-01,382.99
2016-04-01,391.65
2016-07-01,400.79
2016-10-01,405.45
2017-01-01,412.62
2017-04-01,426.31
2017-07-01,436.23
2017-10-01,442.12
2018-01-01,451.27
2018-04-01,466.39
2018-07-01,476.07
2018-10-01,482.24
2019-01-01,490.56
2019-04-01,500.47
2019-07-01,508.63
2019-10-01,516.08
2020-01-01,522.91
2020-04-01,532.39
2020-07-01,545.21
2020-10-01,564.16
2021-01-01,587.2
2021-04-01,644.44
2021-07-01,693.75
2021-10-01,719.65
2022-01-01,754.32
2022-04-01,812.83
2022-07-01,808.22
2022-10-01,783.85
