DATE,VASTHPI
1975-01-01,69.84
1975-04-01,66.73
1975-07-01,67.45
1975-10-01,67.74
1976-01-01,69.4
1976-04-01,68.58
1976-07-01,70.58
1976-10-01,71.95
1977-01-01,73.02
1977-04-01,75.09
1977-07-01,77.26
1977-10-01,78.87
1978-01-01,80.39
1978-04-01,83.35
1978-07-01,86.06
1978-10-01,89.26
1979-01-01,89.4
1979-04-01,91.59
1979-07-01,94.63
1979-10-01,95.44
1980-01-01,100.00
1980-04-01,101.13
1980-07-01,104.33
1980-10-01,104.26
1981-01-01,106.12
1981-04-01,105.56
1981-07-01,106.21
1981-10-01,109.78
1982-01-01,97.79
1982-04-01,109.48
1982-07-01,103.78
1982-10-01,112.82
1983-01-01,115.3
1983-04-01,118.05
1983-07-01,118.89
1983-10-01,118.65
1984-01-01,121.38
1984-04-01,123.24
1984-07-01,124.87
1984-10-01,124.42
1985-01-01,127.48
1985-04-01,129.59
1985-07-01,131.47
1985-10-01,132.24
1986-01-01,134.5
1986-04-01,136.95
1986-07-01,139.96
1986-10-01,142.39
1987-01-01,145.43
1987-04-01,149.46
1987-07-01,156.73
1987-10-01,160.24
1988-01-01,164.87
1988-04-01,170.46
1988-07-01,174.52
1988-10-01,178.07
1989-01-01,181.35
1989-04-01,185.25
1989-07-01,187.87
1989-10-01,189.23
1990-01-01,189.18
1990-04-01,189.48
1990-07-01,188.88
1990-10-01,186.74
1991-01-01,187.87
1991-04-01,188.46
1991-07-01,187.0
1991-10-01,190.31
1992-01-01,191.43
1992-04-01,189.71
1992-07-01,192.1
1992-10-01,192.75
1993-01-01,192.2
1993-04-01,193.3
1993-07-01,193.7
1993-10-01,194.74
1994-01-01,194.98
1994-04-01,194.79
1994-07-01,194.44
1994-10-01,194.17
1995-01-01,193.63
1995-04-01,196.09
1995-07-01,198.37
1995-10-01,199.16
1996-01-01,201.28
1996-04-01,200.69
1996-07-01,199.88
1996-10-01,201.53
1997-01-01,202.9
1997-04-01,203.19
1997-07-01,205.4
1997-10-01,207.44
1998-01-01,209.11
1998-04-01,210.06
1998-07-01,211.65
1998-10-01,213.71
1999-01-01,216.13
1999-04-01,218.89
1999-07-01,222.61
1999-10-01,225.6
2000-01-01,229.43
2000-04-01,234.16
2000-07-01,238.33
2000-10-01,242.36
2001-01-01,248.46
2001-04-01,254.24
2001-07-01,259.92
2001-10-01,263.51
2002-01-01,268.67
2002-04-01,276.22
2002-07-01,283.29
2002-10-01,287.18
2003-01-01,291.54
2003-04-01,296.26
2003-07-01,303.36
2003-10-01,315.66
2004-01-01,323.73
2004-04-01,336.2
2004-07-01,357.58
2004-10-01,370.04
2005-01-01,384.73
2005-04-01,406.56
2005-07-01,426.12
2005-10-01,438.04
2006-01-01,447.9
2006-04-01,456.3
2006-07-01,459.14
2006-10-01,465.61
2007-01-01,467.64
2007-04-01,468.85
2007-07-01,462.91
2007-10-01,461.75
2008-01-01,459.35
2008-04-01,446.29
2008-07-01,433.99
2008-10-01,430.45
2009-01-01,432.13
2009-04-01,421.32
2009-07-01,411.91
2009-10-01,408.81
2010-01-01,403.34
2010-04-01,400.64
2010-07-01,404.74
2010-10-01,402.53
2011-01-01,393.09
2011-04-01,388.24
2011-07-01,391.54
2011-10-01,394.27
2012-01-01,389.95
2012-04-01,387.39
2012-07-01,392.22
2012-10-01,393.81
2013-01-01,393.38
2013-04-01,397.09
2013-07-01,397.85
2013-10-01,397.77
2014-01-01,399.24
2014-04-01,405.47
2014-07-01,408.46
2014-10-01,411.77
2015-01-01,413.97
2015-04-01,417.49
2015-07-01,419.08
2015-10-01,420.92
2016-01-01,420.11
2016-04-01,427.16
2016-07-01,431.21
2016-10-01,433.02
2017-01-01,432.29
2017-04-01,441.08
2017-07-01,443.64
2017-10-01,445.34
2018-01-01,449.79
2018-04-01,455.28
2018-07-01,457.87
2018-10-01,458.25
2019-01-01,463.41
2019-04-01,472.47
2019-07-01,477.55
2019-10-01,481.09
2020-01-01,486.25
2020-04-01,491.68
2020-07-01,499.91
2020-10-01,509.22
2021-01-01,519.88
2021-04-01,543.89
2021-07-01,569.08
2021-10-01,583.07
2022-01-01,601.61
2022-04-01,642.89
2022-07-01,651.0
2022-10-01,651.04
