DATE,VTSTHPI
1975-01-01,77.35
1975-04-01,76.89
1975-07-01,67.11
1975-10-01,72.88
1976-01-01,117.01
1976-04-01,57.51
1976-07-01,81.22
1976-10-01,79.59
1977-01-01,115.26
1977-04-01,82.25
1977-07-01,76.28
1977-10-01,77.11
1978-01-01,90.77
1978-04-01,92.01
1978-07-01,99.56
1978-10-01,88.57
1979-01-01,94.51
1979-04-01,88.29
1979-07-01,95.53
1979-10-01,108.97
1980-01-01,100.00
1980-04-01,101.05
1980-07-01,103.79
1980-10-01,110.33
1981-01-01,110.46
1981-04-01,108.33
1981-07-01,101.28
1981-10-01,62.93
1982-01-01,122.3
1982-04-01,116.94
1982-07-01,108.21
1982-10-01,113.98
1983-01-01,118.27
1983-04-01,112.61
1983-07-01,118.71
1983-10-01,123.45
1984-01-01,121.79
1984-04-01,123.86
1984-07-01,126.19
1984-10-01,126.95
1985-01-01,129.54
1985-04-01,134.29
1985-07-01,136.19
1985-10-01,139.05
1986-01-01,144.32
1986-04-01,146.56
1986-07-01,152.36
1986-10-01,158.44
1987-01-01,163.36
1987-04-01,168.79
1987-07-01,173.62
1987-10-01,181.52
1988-01-01,186.67
1988-04-01,194.8
1988-07-01,201.11
1988-10-01,203.1
1989-01-01,206.67
1989-04-01,211.93
1989-07-01,216.27
1989-10-01,217.52
1990-01-01,215.39
1990-04-01,216.83
1990-07-01,214.82
1990-10-01,216.2
1991-01-01,213.2
1991-04-01,213.6
1991-07-01,213.02
1991-10-01,213.72
1992-01-01,213.81
1992-04-01,214.54
1992-07-01,216.41
1992-10-01,216.73
1993-01-01,215.9
1993-04-01,217.16
1993-07-01,217.6
1993-10-01,218.75
1994-01-01,219.35
1994-04-01,217.03
1994-07-01,217.45
1994-10-01,217.4
1995-01-01,215.02
1995-04-01,220.26
1995-07-01,220.45
1995-10-01,221.78
1996-01-01,225.59
1996-04-01,222.1
1996-07-01,220.82
1996-10-01,220.89
1997-01-01,225.12
1997-04-01,222.42
1997-07-01,225.21
1997-10-01,225.36
1998-01-01,228.78
1998-04-01,228.75
1998-07-01,229.33
1998-10-01,232.55
1999-01-01,235.17
1999-04-01,236.81
1999-07-01,241.87
1999-10-01,245.07
2000-01-01,250.39
2000-04-01,254.29
2000-07-01,259.6
2000-10-01,264.43
2001-01-01,268.85
2001-04-01,274.13
2001-07-01,280.73
2001-10-01,284.09
2002-01-01,289.94
2002-04-01,296.54
2002-07-01,301.71
2002-10-01,304.35
2003-01-01,307.77
2003-04-01,312.86
2003-07-01,321.08
2003-10-01,337.64
2004-01-01,342.03
2004-04-01,352.11
2004-07-01,374.62
2004-10-01,382.18
2005-01-01,393.86
2005-04-01,407.24
2005-07-01,421.99
2005-10-01,430.65
2006-01-01,436.56
2006-04-01,446.38
2006-07-01,448.14
2006-10-01,455.07
2007-01-01,458.4
2007-04-01,458.03
2007-07-01,458.84
2007-10-01,457.08
2008-01-01,463.44
2008-04-01,457.39
2008-07-01,454.26
2008-10-01,453.58
2009-01-01,454.05
2009-04-01,447.65
2009-07-01,444.91
2009-10-01,440.97
2010-01-01,440.68
2010-04-01,439.56
2010-07-01,440.39
2010-10-01,441.71
2011-01-01,438.82
2011-04-01,433.27
2011-07-01,434.4
2011-10-01,440.0
2012-01-01,438.39
2012-04-01,436.28
2012-07-01,437.72
2012-10-01,437.76
2013-01-01,439.66
2013-04-01,435.78
2013-07-01,437.67
2013-10-01,436.22
2014-01-01,432.81
2014-04-01,438.09
2014-07-01,439.18
2014-10-01,438.53
2015-01-01,442.33
2015-04-01,446.81
2015-07-01,446.42
2015-10-01,445.12
2016-01-01,444.42
2016-04-01,450.9
2016-07-01,455.61
2016-10-01,454.18
2017-01-01,455.62
2017-04-01,460.59
2017-07-01,461.53
2017-10-01,468.23
2018-01-01,470.79
2018-04-01,476.66
2018-07-01,477.94
2018-10-01,476.66
2019-01-01,481.62
2019-04-01,491.82
2019-07-01,499.34
2019-10-01,499.91
2020-01-01,507.3
2020-04-01,509.99
2020-07-01,521.37
2020-10-01,535.66
2021-01-01,549.33
2021-04-01,575.12
2021-07-01,611.5
2021-10-01,630.29
2022-01-01,648.98
2022-04-01,695.45
2022-07-01,731.11
2022-10-01,720.1
