DATE,WASTHPI
1975-01-01,46.26
1975-04-01,47.18
1975-07-01,49.71
1975-10-01,48.04
1976-01-01,50.36
1976-04-01,53.6
1976-07-01,56.58
1976-10-01,57.77
1977-01-01,59.74
1977-04-01,62.91
1977-07-01,67.29
1977-10-01,70.8
1978-01-01,74.33
1978-04-01,79.68
1978-07-01,84.01
1978-10-01,86.87
1979-01-01,88.95
1979-04-01,93.89
1979-07-01,95.9
1979-10-01,98.0
1980-01-01,100.00
1980-04-01,100.19
1980-07-01,103.52
1980-10-01,101.84
1981-01-01,99.87
1981-04-01,104.12
1981-07-01,105.24
1981-10-01,103.65
1982-01-01,86.61
1982-04-01,93.42
1982-07-01,93.76
1982-10-01,103.52
1983-01-01,104.74
1983-04-01,104.64
1983-07-01,103.96
1983-10-01,104.89
1984-01-01,106.8
1984-04-01,107.49
1984-07-01,109.29
1984-10-01,110.03
1985-01-01,110.5
1985-04-01,110.9
1985-07-01,111.57
1985-10-01,112.1
1986-01-01,113.44
1986-04-01,114.19
1986-07-01,114.71
1986-10-01,115.92
1987-01-01,117.06
1987-04-01,118.06
1987-07-01,118.91
1987-10-01,119.65
1988-01-01,121.95
1988-04-01,123.77
1988-07-01,126.31
1988-10-01,127.84
1989-01-01,132.22
1989-04-01,137.88
1989-07-01,144.42
1989-10-01,153.14
1990-01-01,164.23
1990-04-01,173.53
1990-07-01,176.38
1990-10-01,177.64
1991-01-01,181.91
1991-04-01,183.54
1991-07-01,184.28
1991-10-01,188.15
1992-01-01,189.04
1992-04-01,190.78
1992-07-01,193.35
1992-10-01,195.35
1993-01-01,196.21
1993-04-01,198.34
1993-07-01,201.04
1993-10-01,203.31
1994-01-01,205.84
1994-04-01,209.69
1994-07-01,211.03
1994-10-01,210.44
1995-01-01,212.57
1995-04-01,214.95
1995-07-01,218.11
1995-10-01,219.87
1996-01-01,221.86
1996-04-01,222.08
1996-07-01,223.29
1996-10-01,225.17
1997-01-01,226.7
1997-04-01,229.66
1997-07-01,234.41
1997-10-01,237.51
1998-01-01,242.13
1998-04-01,245.65
1998-07-01,250.23
1998-10-01,253.06
1999-01-01,255.45
1999-04-01,259.87
1999-07-01,262.84
1999-10-01,264.92
2000-01-01,269.56
2000-04-01,272.35
2000-07-01,276.0
2000-10-01,279.54
2001-01-01,286.34
2001-04-01,290.2
2001-07-01,293.16
2001-10-01,295.1
2002-01-01,298.72
2002-04-01,302.33
2002-07-01,306.02
2002-10-01,308.62
2003-01-01,311.15
2003-04-01,313.81
2003-07-01,317.72
2003-10-01,325.76
2004-01-01,330.71
2004-04-01,340.57
2004-07-01,354.8
2004-10-01,362.99
2005-01-01,374.59
2005-04-01,394.58
2005-07-01,412.11
2005-10-01,429.34
2006-01-01,444.7
2006-04-01,460.04
2006-07-01,473.64
2006-10-01,483.83
2007-01-01,492.52
2007-04-01,498.11
2007-07-01,499.39
2007-10-01,502.16
2008-01-01,500.8
2008-04-01,490.95
2008-07-01,476.36
2008-10-01,471.35
2009-01-01,467.66
2009-04-01,447.72
2009-07-01,432.87
2009-10-01,427.06
2010-01-01,419.67
2010-04-01,414.85
2010-07-01,414.73
2010-10-01,407.38
2011-01-01,393.68
2011-04-01,383.72
2011-07-01,384.9
2011-10-01,385.24
2012-01-01,379.02
2012-04-01,375.77
2012-07-01,382.63
2012-10-01,387.24
2013-01-01,390.02
2013-04-01,397.19
2013-07-01,405.58
2013-10-01,409.57
2014-01-01,413.97
2014-04-01,424.94
2014-07-01,434.21
2014-10-01,438.55
2015-01-01,444.49
2015-04-01,457.56
2015-07-01,470.32
2015-10-01,478.28
2016-01-01,487.76
2016-04-01,505.21
2016-07-01,520.53
2016-10-01,527.86
2017-01-01,537.37
2017-04-01,558.41
2017-07-01,574.91
2017-10-01,583.34
2018-01-01,597.0
2018-04-01,618.18
2018-07-01,625.31
2018-10-01,626.72
2019-01-01,635.45
2019-04-01,648.29
2019-07-01,656.65
2019-10-01,664.11
2020-01-01,675.47
2020-04-01,685.8
2020-07-01,701.42
2020-10-01,719.94
2021-01-01,741.48
2021-04-01,797.84
2021-07-01,844.55
2021-10-01,872.62
2022-01-01,911.22
2022-04-01,975.48
2022-07-01,967.16
2022-10-01,940.88
