DATE,WISTHPI
1975-01-01,61.86
1975-04-01,62.73
1975-07-01,64.6
1975-10-01,69.04
1976-01-01,65.48
1976-04-01,65.48
1976-07-01,67.56
1976-10-01,68.46
1977-01-01,72.88
1977-04-01,76.09
1977-07-01,78.0
1977-10-01,80.96
1978-01-01,84.69
1978-04-01,87.52
1978-07-01,90.85
1978-10-01,92.75
1979-01-01,96.71
1979-04-01,99.7
1979-07-01,99.52
1979-10-01,100.25
1980-01-01,100.00
1980-04-01,100.92
1980-07-01,104.97
1980-10-01,101.69
1981-01-01,102.84
1981-04-01,103.12
1981-07-01,103.25
1981-10-01,91.08
1982-01-01,86.28
1982-04-01,96.39
1982-07-01,98.6
1982-10-01,99.47
1983-01-01,103.93
1983-04-01,106.31
1983-07-01,105.95
1983-10-01,106.1
1984-01-01,106.14
1984-04-01,107.96
1984-07-01,108.12
1984-10-01,106.34
1985-01-01,108.02
1985-04-01,109.8
1985-07-01,110.76
1985-10-01,110.85
1986-01-01,112.43
1986-04-01,113.72
1986-07-01,114.03
1986-10-01,114.5
1987-01-01,115.4
1987-04-01,116.71
1987-07-01,118.24
1987-10-01,119.52
1988-01-01,120.32
1988-04-01,122.32
1988-07-01,124.51
1988-10-01,125.14
1989-01-01,127.44
1989-04-01,128.88
1989-07-01,131.05
1989-10-01,131.84
1990-01-01,133.89
1990-04-01,136.02
1990-07-01,137.87
1990-10-01,138.15
1991-01-01,140.09
1991-04-01,142.1
1991-07-01,144.25
1991-10-01,145.65
1992-01-01,147.34
1992-04-01,149.96
1992-07-01,151.8
1992-10-01,153.77
1993-01-01,154.98
1993-04-01,157.19
1993-07-01,159.43
1993-10-01,161.49
1994-01-01,165.74
1994-04-01,171.82
1994-07-01,175.56
1994-10-01,175.84
1995-01-01,178.01
1995-04-01,181.93
1995-07-01,184.42
1995-10-01,186.68
1996-01-01,188.18
1996-04-01,189.97
1996-07-01,192.18
1996-10-01,194.38
1997-01-01,196.57
1997-04-01,198.25
1997-07-01,200.93
1997-10-01,202.94
1998-01-01,204.26
1998-04-01,206.63
1998-07-01,209.03
1998-10-01,209.79
1999-01-01,213.51
1999-04-01,216.93
1999-07-01,219.86
1999-10-01,221.11
2000-01-01,227.9
2000-04-01,229.08
2000-07-01,232.45
2000-10-01,235.28
2001-01-01,238.84
2001-04-01,242.08
2001-07-01,245.3
2001-10-01,247.14
2002-01-01,251.2
2002-04-01,254.67
2002-07-01,257.34
2002-10-01,259.2
2003-01-01,261.89
2003-04-01,264.22
2003-07-01,268.2
2003-10-01,277.0
2004-01-01,279.15
2004-04-01,284.82
2004-07-01,295.32
2004-10-01,298.77
2005-01-01,304.25
2005-04-01,309.66
2005-07-01,315.67
2005-10-01,318.73
2006-01-01,321.18
2006-04-01,320.78
2006-07-01,322.31
2006-10-01,326.25
2007-01-01,327.59
2007-04-01,327.01
2007-07-01,325.31
2007-10-01,327.0
2008-01-01,327.78
2008-04-01,322.87
2008-07-01,317.14
2008-10-01,317.79
2009-01-01,319.3
2009-04-01,314.5
2009-07-01,307.51
2009-10-01,306.61
2010-01-01,302.69
2010-04-01,300.95
2010-07-01,304.1
2010-10-01,302.17
2011-01-01,295.5
2011-04-01,290.56
2011-07-01,293.24
2011-10-01,294.31
2012-01-01,291.56
2012-04-01,289.15
2012-07-01,291.89
2012-10-01,291.89
2013-01-01,290.89
2013-04-01,290.75
2013-07-01,290.92
2013-10-01,289.72
2014-01-01,289.11
2014-04-01,293.69
2014-07-01,296.94
2014-10-01,298.4
2015-01-01,300.4
2015-04-01,303.45
2015-07-01,305.96
2015-10-01,307.8
2016-01-01,310.57
2016-04-01,314.88
2016-07-01,319.28
2016-10-01,321.32
2017-01-01,324.31
2017-04-01,332.05
2017-07-01,336.19
2017-10-01,336.71
2018-01-01,341.45
2018-04-01,349.93
2018-07-01,354.32
2018-10-01,355.6
2019-01-01,359.2
2019-04-01,365.75
2019-07-01,370.41
2019-10-01,372.81
2020-01-01,375.86
2020-04-01,378.58
2020-07-01,385.8
2020-10-01,393.63
2021-01-01,399.15
2021-04-01,420.72
2021-07-01,441.68
2021-10-01,451.47
2022-01-01,463.65
2022-04-01,499.27
2022-07-01,510.24
2022-10-01,507.44
