DATE,WVSTHPI
1975-01-01,50.28
1975-04-01,65.3
1975-07-01,66.2
1975-10-01,66.73
1976-01-01,61.52
1976-04-01,66.11
1976-07-01,69.72
1976-10-01,63.14
1977-01-01,68.16
1977-04-01,85.23
1977-07-01,73.02
1977-10-01,85.62
1978-01-01,84.24
1978-04-01,80.41
1978-07-01,83.15
1978-10-01,85.4
1979-01-01,83.12
1979-04-01,88.78
1979-07-01,89.14
1979-10-01,95.32
1980-01-01,100.00
1980-04-01,104.98
1980-07-01,102.77
1980-10-01,117.4
1981-01-01,99.13
1981-04-01,95.11
1981-07-01,109.72
1981-10-01,108.44
1982-01-01,68.86
1982-04-01,113.93
1982-07-01,83.43
1982-10-01,86.72
1983-01-01,98.31
1983-04-01,92.1
1983-07-01,93.29
1983-10-01,92.11
1984-01-01,98.01
1984-04-01,93.45
1984-07-01,94.34
1984-10-01,87.13
1985-01-01,91.96
1985-04-01,95.38
1985-07-01,92.79
1985-10-01,88.48
1986-01-01,95.56
1986-04-01,96.54
1986-07-01,95.82
1986-10-01,98.31
1987-01-01,97.13
1987-04-01,98.87
1987-07-01,95.82
1987-10-01,97.16
1988-01-01,96.5
1988-04-01,99.83
1988-07-01,99.07
1988-10-01,98.1
1989-01-01,98.94
1989-04-01,101.45
1989-07-01,101.24
1989-10-01,101.24
1990-01-01,102.3
1990-04-01,102.01
1990-07-01,105.17
1990-10-01,103.68
1991-01-01,104.12
1991-04-01,107.52
1991-07-01,106.31
1991-10-01,109.18
1992-01-01,109.51
1992-04-01,111.43
1992-07-01,112.73
1992-10-01,113.97
1993-01-01,114.81
1993-04-01,116.31
1993-07-01,118.85
1993-10-01,119.22
1994-01-01,121.43
1994-04-01,123.18
1994-07-01,124.92
1994-10-01,124.77
1995-01-01,126.14
1995-04-01,128.62
1995-07-01,131.03
1995-10-01,131.31
1996-01-01,133.1
1996-04-01,133.89
1996-07-01,134.31
1996-10-01,134.38
1997-01-01,135.42
1997-04-01,137.79
1997-07-01,138.22
1997-10-01,140.31
1998-01-01,143.19
1998-04-01,143.22
1998-07-01,145.25
1998-10-01,146.82
1999-01-01,147.6
1999-04-01,147.19
1999-07-01,147.69
1999-10-01,146.47
2000-01-01,148.01
2000-04-01,148.88
2000-07-01,150.13
2000-10-01,151.55
2001-01-01,155.79
2001-04-01,157.33
2001-07-01,158.07
2001-10-01,159.59
2002-01-01,160.49
2002-04-01,162.33
2002-07-01,163.71
2002-10-01,166.09
2003-01-01,166.48
2003-04-01,168.21
2003-07-01,170.55
2003-10-01,172.09
2004-01-01,174.93
2004-04-01,178.31
2004-07-01,181.48
2004-10-01,184.87
2005-01-01,189.05
2005-04-01,194.97
2005-07-01,201.77
2005-10-01,204.45
2006-01-01,208.61
2006-04-01,206.82
2006-07-01,209.37
2006-10-01,211.71
2007-01-01,213.2
2007-04-01,212.72
2007-07-01,213.03
2007-10-01,214.88
2008-01-01,215.08
2008-04-01,214.53
2008-07-01,210.99
2008-10-01,209.11
2009-01-01,212.58
2009-04-01,209.89
2009-07-01,205.87
2009-10-01,204.82
2010-01-01,205.04
2010-04-01,204.38
2010-07-01,205.73
2010-10-01,207.25
2011-01-01,202.81
2011-04-01,199.71
2011-07-01,203.07
2011-10-01,204.22
2012-01-01,202.47
2012-04-01,202.95
2012-07-01,204.06
2012-10-01,204.75
2013-01-01,204.26
2013-04-01,205.11
2013-07-01,207.22
2013-10-01,209.06
2014-01-01,208.18
2014-04-01,209.59
2014-07-01,211.82
2014-10-01,212.38
2015-01-01,211.8
2015-04-01,217.06
2015-07-01,215.6
2015-10-01,217.0
2016-01-01,218.03
2016-04-01,218.89
2016-07-01,220.08
2016-10-01,221.57
2017-01-01,219.06
2017-04-01,220.76
2017-07-01,221.84
2017-10-01,225.32
2018-01-01,224.64
2018-04-01,228.21
2018-07-01,227.79
2018-10-01,227.27
2019-01-01,227.93
2019-04-01,231.33
2019-07-01,233.83
2019-10-01,236.24
2020-01-01,237.23
2020-04-01,239.89
2020-07-01,244.13
2020-10-01,247.28
2021-01-01,251.86
2021-04-01,258.3
2021-07-01,271.77
2021-10-01,279.54
2022-01-01,283.22
2022-04-01,297.35
2022-07-01,304.07
2022-10-01,304.38
