DATE,WYSTHPI
1975-01-01,49.17
1975-04-01,47.84
1975-07-01,50.07
1975-10-01,53.54
1976-01-01,54.27
1976-04-01,55.34
1976-07-01,58.37
1976-10-01,62.83
1977-01-01,63.17
1977-04-01,64.61
1977-07-01,67.04
1977-10-01,71.08
1978-01-01,72.95
1978-04-01,76.41
1978-07-01,78.68
1978-10-01,82.12
1979-01-01,87.35
1979-04-01,92.15
1979-07-01,97.35
1979-10-01,96.48
1980-01-01,100.00
1980-04-01,97.64
1980-07-01,101.14
1980-10-01,94.64
1981-01-01,106.72
1981-04-01,109.44
1981-07-01,109.59
1981-10-01,109.3
1982-01-01,110.39
1982-04-01,107.86
1982-07-01,108.92
1982-10-01,112.39
1983-01-01,110.61
1983-04-01,105.81
1983-07-01,102.92
1983-10-01,98.74
1984-01-01,100.09
1984-04-01,95.57
1984-07-01,98.27
1984-10-01,95.66
1985-01-01,97.04
1985-04-01,95.08
1985-07-01,93.84
1985-10-01,94.08
1986-01-01,97.23
1986-04-01,97.6
1986-07-01,94.61
1986-10-01,90.5
1987-01-01,92.83
1987-04-01,87.51
1987-07-01,82.68
1987-10-01,78.77
1988-01-01,80.93
1988-04-01,76.28
1988-07-01,80.94
1988-10-01,81.08
1989-01-01,76.79
1989-04-01,83.55
1989-07-01,83.22
1989-10-01,83.26
1990-01-01,87.73
1990-04-01,85.35
1990-07-01,90.97
1990-10-01,89.31
1991-01-01,89.86
1991-04-01,93.21
1991-07-01,94.64
1991-10-01,95.45
1992-01-01,96.59
1992-04-01,98.03
1992-07-01,99.8
1992-10-01,102.1
1993-01-01,102.59
1993-04-01,105.62
1993-07-01,108.44
1993-10-01,110.98
1994-01-01,113.54
1994-04-01,116.45
1994-07-01,120.01
1994-10-01,121.63
1995-01-01,123.44
1995-04-01,126.11
1995-07-01,127.58
1995-10-01,130.46
1996-01-01,131.95
1996-04-01,132.94
1996-07-01,134.15
1996-10-01,134.22
1997-01-01,135.12
1997-04-01,136.66
1997-07-01,137.88
1997-10-01,139.91
1998-01-01,141.86
1998-04-01,141.78
1998-07-01,142.64
1998-10-01,142.88
1999-01-01,143.78
1999-04-01,145.85
1999-07-01,147.33
1999-10-01,147.82
2000-01-01,149.84
2000-04-01,151.33
2000-07-01,152.89
2000-10-01,156.21
2001-01-01,157.35
2001-04-01,160.3
2001-07-01,162.75
2001-10-01,164.82
2002-01-01,167.95
2002-04-01,170.28
2002-07-01,173.36
2002-10-01,175.07
2003-01-01,177.14
2003-04-01,181.08
2003-07-01,183.59
2003-10-01,187.13
2004-01-01,190.78
2004-04-01,195.81
2004-07-01,203.15
2004-10-01,206.91
2005-01-01,211.35
2005-04-01,217.91
2005-07-01,225.96
2005-10-01,232.14
2006-01-01,238.68
2006-04-01,246.4
2006-07-01,254.17
2006-10-01,260.88
2007-01-01,267.03
2007-04-01,274.34
2007-07-01,277.88
2007-10-01,279.34
2008-01-01,280.85
2008-04-01,281.61
2008-07-01,279.74
2008-10-01,279.42
2009-01-01,279.55
2009-04-01,279.18
2009-07-01,272.59
2009-10-01,270.38
2010-01-01,265.81
2010-04-01,267.13
2010-07-01,266.89
2010-10-01,267.05
2011-01-01,263.39
2011-04-01,260.37
2011-07-01,263.83
2011-10-01,263.87
2012-01-01,264.52
2012-04-01,265.04
2012-07-01,267.12
2012-10-01,269.31
2013-01-01,270.48
2013-04-01,272.85
2013-07-01,272.94
2013-10-01,273.69
2014-01-01,277.27
2014-04-01,278.64
2014-07-01,282.78
2014-10-01,284.74
2015-01-01,286.89
2015-04-01,287.9
2015-07-01,294.62
2015-10-01,293.92
2016-01-01,293.78
2016-04-01,296.43
2016-07-01,298.77
2016-10-01,298.37
2017-01-01,297.43
2017-04-01,300.37
2017-07-01,301.53
2017-10-01,304.34
2018-01-01,309.39
2018-04-01,308.29
2018-07-01,313.21
2018-10-01,315.56
2019-01-01,314.79
2019-04-01,323.71
2019-07-01,327.99
2019-10-01,332.44
2020-01-01,335.49
2020-04-01,337.4
2020-07-01,342.08
2020-10-01,349.56
2021-01-01,355.24
2021-04-01,369.63
2021-07-01,392.52
2021-10-01,406.4
2022-01-01,416.49
2022-04-01,441.5
2022-07-01,452.34
2022-10-01,451.28
