DATE,STTMINWGCT
1968-01-01,1.4
1969-01-01,1.4
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.85
1973-01-01,1.85
1974-01-01,1.85
1975-01-01,1.85
1976-01-01,2.31
1977-01-01,2.31
1978-01-01,2.31
1979-01-01,2.91
1980-01-01,3.12
1981-01-01,3.37
1982-01-01,3.37
1983-01-01,3.37
1984-01-01,3.37
1985-01-01,3.37
1986-01-01,3.37
1987-01-01,3.37
1988-01-01,3.75
1989-01-01,3.75
1990-01-01,3.75
1991-01-01,4.25
1992-01-01,4.27
1993-01-01,4.27
1994-01-01,4.27
1995-01-01,4.27
1996-01-01,4.27
1997-01-01,4.77
1998-01-01,5.18
1999-01-01,5.18
2000-01-01,6.15
2001-01-01,6.4
2002-01-01,6.7
2003-01-01,6.9
2004-01-01,7.1
2005-01-01,7.1
2006-01-01,7.4
2007-01-01,7.65
2008-01-01,7.65
2009-01-01,8
2010-01-01,8.25
2011-01-01,8.25
2012-01-01,8.25
2013-01-01,8.25
2014-01-01,8.7
2015-01-01,9.15
2016-01-01,9.6
2017-01-01,10.1
2018-01-01,10.1
2019-01-01,11.00
2020-01-01,12.00
2021-01-01,13.00
2022-01-01,14.00
2023-01-01,14.00
