DATE,STTMINWGDC
1968-01-01,1.4
1969-01-01,1.4
1970-01-01,2
1971-01-01,2
1972-01-01,2.25
1973-01-01,2.25
1974-01-01,2.25
1975-01-01,2.25
1976-01-01,2.75
1977-01-01,2.75
1978-01-01,2.75
1979-01-01,3
1980-01-01,3.5
1981-01-01,3.75
1982-01-01,3.75
1983-01-01,3.75
1984-01-01,3.75
1985-01-01,3.75
1986-01-01,3.75
1987-01-01,3.75
1988-01-01,4.85
1989-01-01,4.85
1990-01-01,4.85
1991-01-01,4.85
1992-01-01,5.45
1993-01-01,5.45
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,5.25
1997-01-01,5.75
1998-01-01,6.15
1999-01-01,6.15
2000-01-01,6.15
2001-01-01,6.15
2002-01-01,6.15
2003-01-01,6.15
2004-01-01,6.15
2005-01-01,6.6
2006-01-01,7
2007-01-01,7
2008-01-01,7
2009-01-01,7.55
2010-01-01,8.25
2011-01-01,8.25
2012-01-01,8.25
2013-01-01,8.25
2014-01-01,9.5
2015-01-01,10.5
2016-01-01,11.5
2017-01-01,12.5
2018-01-01,13.25
2019-01-01,14.00
2020-01-01,15.00
2021-01-01,15.20
2022-01-01,16.10
2023-01-01,16.50
