DATE,STTMINWGHI
1968-01-01,1.25
1969-01-01,1.25
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,2.4
1977-01-01,2.4
1978-01-01,2.4
1979-01-01,2.65
1980-01-01,2.9
1981-01-01,3.1
1982-01-01,3.1
1983-01-01,3.1
1984-01-01,3.1
1985-01-01,3.1
1986-01-01,3.1
1987-01-01,3.1
1988-01-01,3.85
1989-01-01,3.85
1990-01-01,3.85
1991-01-01,3.85
1992-01-01,3.85
1993-01-01,3.85
1994-01-01,5.25
1995-01-01,5.25
1996-01-01,5.25
1997-01-01,5.25
1998-01-01,5.25
1999-01-01,5.25
2000-01-01,5.25
2001-01-01,5.25
2002-01-01,5.75
2003-01-01,6.25
2004-01-01,6.25
2005-01-01,6.25
2006-01-01,6.75
2007-01-01,7.25
2008-01-01,7.25
2009-01-01,7.25
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,7.25
2015-01-01,7.75
2016-01-01,8.5
2017-01-01,9.25
2018-01-01,10.1
2019-01-01,10.1
2020-01-01,10.10
2021-01-01,10.10
2022-01-01,12.00
2023-01-01,12.00
