DATE,STTMINWGKS
1979-01-01,1.6
1980-01-01,1.6
1981-01-01,1.6
1982-01-01,1.6
1983-01-01,1.6
1984-01-01,1.6
1985-01-01,1.6
1986-01-01,1.6
1987-01-01,1.6
1988-01-01,1.6
1989-01-01,1.6
1990-01-01,1.6
1991-01-01,2.65
1992-01-01,2.65
1993-01-01,2.65
1994-01-01,2.65
1995-01-01,2.65
1996-01-01,2.65
1997-01-01,2.65
1998-01-01,2.65
1999-01-01,2.65
2000-01-01,2.65
2001-01-01,2.65
2002-01-01,2.65
2003-01-01,2.65
2004-01-01,2.65
2005-01-01,2.65
2006-01-01,2.65
2007-01-01,2.65
2008-01-01,2.65
2009-01-01,2.65
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,7.25
2015-01-01,7.25
2016-01-01,7.25
2017-01-01,7.25
2018-01-01,7.25
2019-01-01,7.25
2020-01-01,7.25
2021-01-01,7.25
2022-01-01,7.25
2023-01-01,7.25
