DATE,STTMINWGMN
1968-01-01,1.15
1969-01-01,1.15
1970-01-01,1.15
1971-01-01,1.15
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,1.8
1977-01-01,1.8
1978-01-01,1.8
1979-01-01,2.3
1980-01-01,2.9
1981-01-01,3.1
1982-01-01,3.1
1983-01-01,3.1
1984-01-01,3.1
1985-01-01,3.1
1986-01-01,3.1
1987-01-01,3.1
1988-01-01,3.55
1989-01-01,3.55
1990-01-01,3.55
1991-01-01,4.25
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.25
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,6.15
2007-01-01,6.16
2008-01-01,6.16
2009-01-01,6.16
2010-01-01,6.16
2011-01-01,6.16
2012-01-01,6.16
2013-01-01,6.15
2014-01-01,8
2015-01-01,9
2016-01-01,9.5
2017-01-01,9.5
2018-01-01,9.65
2019-01-01,9.86
2020-01-01,10.00
2021-01-01,10.08
2022-01-01,10.33
2023-01-01,10.59
