DATE,STTMINWGNY
1968-01-01,1.6
1969-01-01,1.6
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.85
1973-01-01,1.85
1974-01-01,1.85
1975-01-01,1.85
1976-01-01,2.3
1977-01-01,2.3
1978-01-01,2.3
1979-01-01,2.9
1980-01-01,3.1
1981-01-01,3.35
1982-01-01,3.35
1983-01-01,3.35
1984-01-01,3.35
1985-01-01,3.35
1986-01-01,3.35
1987-01-01,3.35
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,3.8
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.25
1998-01-01,4.25
1999-01-01,4.25
2000-01-01,4.25
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,6
2006-01-01,6.75
2007-01-01,7.15
2008-01-01,7.15
2009-01-01,7.15
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,8
2015-01-01,8.75
2016-01-01,9
2017-01-01,9.7
2018-01-01,10.4
2019-01-01,11.1
2020-01-01,11.80
2021-01-01,12.50
2022-01-01,13.20
2023-01-01,14.20
