DATE,STTMINWGOH
1968-01-01,1.25
1969-01-01,1.25
1970-01-01,1.25
1971-01-01,1.25
1972-01-01,1.25
1973-01-01,1.25
1974-01-01,1.25
1975-01-01,1.25
1976-01-01,1.6
1977-01-01,1.6
1978-01-01,1.6
1979-01-01,2.3
1980-01-01,2.3
1981-01-01,2.3
1982-01-01,2.3
1983-01-01,2.3
1984-01-01,2.3
1985-01-01,2.3
1986-01-01,2.3
1987-01-01,2.3
1988-01-01,2.3
1989-01-01,2.3
1990-01-01,2.3
1991-01-01,3.8
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.25
1998-01-01,4.25
1999-01-01,4.25
2000-01-01,4.25
2001-01-01,4.25
2002-01-01,4.25
2003-01-01,4.25
2004-01-01,4.25
2005-01-01,4.25
2006-01-01,4.25
2007-01-01,6.85
2008-01-01,7
2009-01-01,7.3
2010-01-01,7.3
2011-01-01,7.4
2012-01-01,7.7
2013-01-01,7.85
2014-01-01,7.95
2015-01-01,8.1
2016-01-01,8.1
2017-01-01,8.15
2018-01-01,8.3
2019-01-01,8.55
2020-01-01,8.70
2021-01-01,8.80
2022-01-01,9.30
2023-01-01,10.10
