DATE,STTMINWGTX
1972-01-01,1.4
1973-01-01,1.4
1974-01-01,1.4
1975-01-01,1.4
1976-01-01,1.4
1977-01-01,1.4
1978-01-01,1.4
1979-01-01,1.4
1980-01-01,1.4
1981-01-01,1.4
1982-01-01,1.4
1983-01-01,1.4
1984-01-01,1.4
1985-01-01,1.4
1986-01-01,1.4
1987-01-01,1.4
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,3.35
1992-01-01,3.35
1993-01-01,3.35
1994-01-01,3.35
1995-01-01,3.35
1996-01-01,3.35
1997-01-01,3.35
1998-01-01,3.35
1999-01-01,3.35
2000-01-01,3.35
2001-01-01,3.35
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,5.15
2008-01-01,5.85
2009-01-01,6.55
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,7.25
2015-01-01,7.25
2016-01-01,7.25
2017-01-01,7.25
2018-01-01,7.25
2019-01-01,7.25
2020-01-01,7.25
2021-01-01,7.25
2022-01-01,7.25
2023-01-01,7.25
