DATE,STTMINWGUT
1968-01-01,1.15
1969-01-01,1.15
1970-01-01,1.15
1971-01-01,1.15
1972-01-01,1.35
1973-01-01,1.35
1974-01-01,1.35
1975-01-01,1.35
1976-01-01,1.7
1977-01-01,1.7
1978-01-01,1.7
1979-01-01,2.45
1980-01-01,2.6
1981-01-01,2.75
1982-01-01,2.75
1983-01-01,2.75
1984-01-01,2.75
1985-01-01,2.75
1986-01-01,2.75
1987-01-01,2.75
1988-01-01,2.75
1989-01-01,2.75
1990-01-01,2.75
1991-01-01,3.8
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.75
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,5.15
2008-01-01,5.85
2009-01-01,6.55
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,7.25
2015-01-01,7.25
2016-01-01,7.25
2017-01-01,7.25
2018-01-01,7.25
2019-01-01,7.25
2020-01-01,7.25
2021-01-01,7.25
2022-01-01,7.25
2023-01-01,7.25
